logFC	unshrunk.logFC	logCPM	PValue	FDR
ENSG00000002746	-4.37377625775281	-4.3746373420072	2.77539394521615	3.50076315254938e-06	0.000123185433820004
ENSG00000003137	-3.85681261316249	-3.85756132237196	2.77287708263545	9.53130265802908e-05	0.00210240173022134
ENSG00000003987	-3.61736670660403	-3.61838199338957	2.25042290968645	1.79094905783824e-06	6.9610561157859e-05
ENSG00000004660	-4.37197744379093	-4.37221449233794	4.62844910665875	2.59252725150442e-10	3.87367865810213e-08
ENSG00000005379	-3.63558421691156	-3.63573018484036	5.04226625654389	2.37988616651003e-05	0.000643304866136447
ENSG00000005810	-3.02601988731936	-3.0261039369067	5.63100301133772	6.27254949269037e-07	2.79203572777927e-05
ENSG00000006116	-5.85438325258372	-5.85606030273222	2.60589973189842	2.43359474334346e-09	2.5038237404351e-07
ENSG00000006432	-4.23105445850859	-4.23176769727416	2.98605427704351	1.61689480459861e-07	8.74122729453368e-06
ENSG00000006555	-3.4333440339065	-3.46579962482943	-2.43478435386463	0.00061013449801318	0.00982227350510227
ENSG00000006740	-4.78635977217631	-4.78717525751469	3.0403491644002	5.40432024664545e-12	1.4095794580154e-09
ENSG00000007264	-4.47246673766264	-4.47373287257576	2.26604927919973	5.20575790438304e-11	9.79670921069148e-09
ENSG00000007908	-4.1813025488455	-4.18779024176208	-0.155030540920302	0.000208280170945717	0.0040266596897919
ENSG00000008056	-4.7936902760028	-4.79379472685265	6.00155354299838	1.12305880449833e-08	9.40648746280379e-07
ENSG00000008086	-4.31014288092982	-4.31048157175623	4.08876536665215	2.75990093078375e-15	2.93081765271157e-12
ENSG00000008118	-4.63420974250486	-4.63517043519674	2.73366611655136	1.80126368194411e-06	6.99200709124362e-05
ENSG00000008735	-3.50122774333432	-3.50131471776713	5.74163074015124	2.66965519052747e-05	0.000709379154916388
ENSG00000010379	-3.40811305736468	-3.41088568690634	0.750797493418184	0.000719061465283612	0.0112237814421282
ENSG00000010404	-3.00930568714247	-3.00931848825651	8.33959832901845	0.000252728711738885	0.00474408807755303
ENSG00000010438	-3.74083818725552	-3.74246933485304	1.61734146185568	0.000108951366509711	0.00235775832008716
ENSG00000011083	-6.04129345448242	-6.04421502461745	1.93474648756349	6.96226528149557e-12	1.68503500731609e-09
ENSG00000011347	-4.49768705544655	-4.49786452764583	5.10018315741579	6.18088640677625e-08	3.99527122650185e-06
ENSG00000013016	-3.29241076160089	-3.29252345534417	5.29745646052265	1.20961408113133e-05	0.000357661115505453
ENSG00000013293	-4.45923728083149	-4.45967630716416	3.77955278808748	1.13482503022168e-06	4.6350120121719e-05
ENSG00000019505	-5.01879913846326	-5.01919523949679	4.19393975649486	1.79734499522899e-07	9.53125991407916e-06
ENSG00000020129	-3.9743003665525	-3.97433997262783	7.0471641114609	6.38702069524481e-12	1.57706781013121e-09
ENSG00000021645	-4.77508430432752	-4.77551165041794	3.96276628423073	1.76833335317063e-10	2.78199068376591e-08
ENSG00000022355	-5.59737223968262	-5.59797603381832	3.91192815986662	1.71525161892823e-08	1.34924051950296e-06
ENSG00000023171	-3.15748679667473	-3.15764471576502	4.76569318506687	5.55338947794621e-05	0.00131259525228341
ENSG00000033122	-4.79413133975906	-4.79526940637783	2.56563491249147	1.6219229553654e-11	3.52016475582736e-09
ENSG00000036448	-2.69410062771797	-2.69440580583445	3.66308533999013	0.0041923299452092	0.046271246692966
ENSG00000036530	-3.58388526197366	-3.58410963114064	4.40477462851726	1.76974961110024e-06	6.90573949297304e-05
ENSG00000040608	-3.8231009781515	-3.8237220692174	3.02687023684329	2.2487068696552e-06	8.5290356462926e-05
ENSG00000041353	-3.45897443286505	-3.45943164500589	3.33820882876726	0.0007629634787478	0.0117787933941262
ENSG00000047597	-3.46595630495472	-3.467373945574	1.72025974671949	0.000956191871920398	0.0140749550097431
ENSG00000049283	-3.3366901569294	-3.34528173415848	-0.832882725200488	0.00130404745912768	0.0181104844230278
ENSG00000050628	-5.10335738720752	-5.11059328835876	0.107590633684161	6.23545367683356e-09	5.70476860390674e-07
ENSG00000050748	-2.47892977522996	-2.47899880853994	5.72804850765654	0.00033155979952495	0.00596406477862968
ENSG00000053108	-5.10556543996511	-5.10801312817231	1.62905606197238	1.55467180415823e-09	1.66883073735887e-07
ENSG00000053524	-3.84893496903947	-3.84980725316717	2.54948870620392	5.71546416601117e-06	0.000188616660945812
ENSG00000054356	-3.88669016237774	-3.88677368763115	5.93814588555309	0.00020051356925454	0.00391211972979953
ENSG00000054793	-2.63875780427375	-2.63878260892004	7.26067380477254	0.00396766391341484	0.0443741470850077
ENSG00000054803	-3.6421983031071	-3.6429337929126	2.71958202518566	0.00419750352290463	0.0462939798776136
ENSG00000055163	-2.984694730079	-2.98473332626162	6.73959043945214	0.000206833930803319	0.00400432620068809
ENSG00000055813	-4.62398555829332	-4.62788164129626	0.737139926460021	8.32457961881649e-10	1.02706659911157e-07
ENSG00000058335	-5.13932016705416	-5.13997683446591	3.52988216270998	1.13752480470278e-11	2.60178173407942e-09
ENSG00000058404	-3.74546918629557	-3.74554450279667	6.03532147798075	5.47622120271837e-05	0.00129744989037154
ENSG00000059915	-4.2676248685214	-4.26775085535865	5.49545543305914	8.69341313895063e-08	5.31109104592198e-06
ENSG00000060140	-5.63383309271123	-5.6421711771276	0.200649861467081	1.4534538107998e-11	3.2016080629577e-09
ENSG00000060566	-4.16848247339375	-4.27838065937329	-3.42235787685561	8.11446129165573e-05	0.00182473584336943
ENSG00000060709	-5.02890499697309	-5.02968919323263	3.21719924337904	1.7783569397575e-10	2.78303501298682e-08
ENSG00000061492	-3.64567165322426	-3.73524368776713	-3.3792306727141	4.94288161533212e-05	0.0011948913979698
ENSG00000061918	-2.89948443199727	-2.89961566049814	4.94716055188298	0.00208530678716882	0.0264618938018209
ENSG00000063180	-3.85889342242989	-3.85897317963829	5.99427920673553	4.29435789875215e-07	2.01084153955112e-05
ENSG00000065325	-6.11581553112143	-6.12292719782087	0.722930280964875	1.01481223543786e-16	1.6763570560283e-13
ENSG00000065609	-4.86084982234961	-4.86107897588026	4.90215256744175	1.21140257946465e-07	6.96312028711634e-06
ENSG00000065621	-3.12402274446081	-3.12564550333561	1.41359800897747	0.00111786061488591	0.0159570175338539
ENSG00000066248	-4.11879076498716	-4.11895741335033	5.03197726625293	2.07953528192256e-05	0.000570940924032182
ENSG00000067191	-3.5611943397284	-3.56138783942278	4.60974604390396	2.48806272382178e-08	1.8402999261223e-06
ENSG00000067606	-3.74648103361899	-3.74669871305629	4.50644987428392	3.77399940420992e-05	0.000949374773982891
ENSG00000067715	-5.48668594271094	-5.4867790702	6.53875221172969	5.89800280625841e-11	1.06285585115932e-08
ENSG00000067798	-3.12725696353322	-3.12756251078179	3.8057768690015	0.00227532072095203	0.0284501204023498
ENSG00000067840	-2.9718125817269	-2.97185380727536	6.64026451044203	0.00099532749856948	0.0145573378467609
ENSG00000067842	-5.881316240781	-5.88278896412278	2.80887517627472	4.08429176851958e-15	3.68007064985337e-12
ENSG00000069424	-4.18357032204911	-4.18367018220576	5.79604794548612	6.09155381378922e-12	1.52206942100175e-09
ENSG00000069712	-4.09334092667676	-4.09394887357389	3.15911554432521	4.45001921778072e-11	8.48185073214691e-09
ENSG00000070159	-3.62934251029023	-3.6303249203453	2.30099400841422	0.00152183815951248	0.0206434013845547
ENSG00000070182	-4.4238557846193	-4.42499281694698	2.39816155843334	6.40012456251853e-07	2.81634184318662e-05
