logFC	unshrunk.logFC	logCPM	PValue	FDR
ENSG00000000003	2.89984204173069	2.90010804315535	6.54776344381764	0.00157232154436926	0.0212409853704115
ENSG00000002586	3.20386283803096	3.20391195958136	9.32887876062031	0.000789237331649298	0.0121152208669387
ENSG00000003436	4.0277185101912	4.0291372870684	5.37540589782677	0.00018815881383529	0.00371494964845851
ENSG00000005073	9.52144906206758	144269485.162349	0.989480888009372	3.95623559051284e-06	0.000136311610822286
ENSG00000006327	3.30448434132944	3.30490484163785	6.34468971217512	0.00274416307730112	0.0328645297790363
ENSG00000007968	5.64290264903637	5.66308411398683	3.23612531009608	1.5985982161344e-07	8.66257759117095e-06
ENSG00000008196	7.59086078238361	8.16037526504644	0.700119758949798	0.000808419013683123	0.0123649850580525
ENSG00000011028	3.15071209205291	3.15086209509266	7.65903809762195	0.00405764215851526	0.0452041708285099
ENSG00000012223	8.27317806659261	8.27498652550086	9.35358165364237	0.000382605669067125	0.00664509168460392
ENSG00000015413	6.8281216878786	6.87392687225922	3.26788141678664	2.1352707904329e-06	8.17118940575698e-05
ENSG00000024526	3.60797582755041	3.61215441723526	3.37134507604154	0.00033701372677023	0.00604532712635991
ENSG00000026025	3.53518274736458	3.53519662250878	11.5186280788197	9.06341834777455e-06	0.000280428388296284
ENSG00000026508	3.69926877048135	3.69934344232486	9.26901616887476	0.00036385367960713	0.00639788604934263
ENSG00000029559	5.57287165905813	5.5821437343609	4.27528035776878	0.000669373230917869	0.0105924127983565
ENSG00000035499	3.19351186733079	3.19726195158281	3.07215911160609	0.0026499783160063	0.0319912526382993
ENSG00000037965	7.03050101155117	7.34821466696103	0.820009710034455	3.59006132972308e-05	0.000910033108081722
ENSG00000038945	3.65509311217814	3.65562111115102	6.40010823968505	0.000760136281725168	0.0117534540825877
ENSG00000041982	4.32956574304352	4.32967943848101	9.33364976974237	1.58781356017157e-05	0.0004513580152786
ENSG00000050405	2.8949654564582	2.895127311136	7.25863114607199	0.00364321215683813	0.0413936837108999
ENSG00000051180	3.83679415100996	3.84334057623492	2.97519717221088	1.81719140214578e-05	0.00050687025470359
ENSG00000051341	3.11925609878966	3.12617978251242	2.11107804333993	0.00247291037047473	0.0303464783143606
ENSG00000064886	4.52934162215223	4.52960698887725	8.32019799067967	0.00206865600342634	0.0263085618502475
ENSG00000065328	4.89970218282208	4.9136643732715	3.00079733018452	1.11310749670275e-06	4.55256372860516e-05
ENSG00000065911	3.08206224760534	3.08251947657716	5.97480409241362	0.00272862271130759	0.0327544883722325
ENSG00000065978	2.67376808450145	2.6738021344516	9.24936873271513	0.00182830874133491	0.0238120596210478
ENSG00000066279	4.60630286807288	4.61204780905205	3.96879918888044	3.91392432566351e-06	0.000135321658022417
ENSG00000068489	2.88913724971323	2.89048592344558	4.19608104476386	0.000776545931700546	0.0119512508970932
ENSG00000069011	7.68547528138658	7.79566497117951	2.91160794713374	6.6096242228889e-06	0.000213388237397805
ENSG00000072571	4.22582416174535	4.23217732297567	3.42793418234052	1.08629561000922e-05	0.000327921680254107
ENSG00000072694	4.10131312322346	4.10675388537449	3.52012483350705	0.00215435607697578	0.0272002101683821
ENSG00000073792	4.0647838297258	4.06781262901914	4.32345557961371	0.00298422146078447	0.0351713444202566
ENSG00000074410	3.80266243070354	3.80315982300272	6.64548481663093	0.00301672077173551	0.0355103624017354
ENSG00000075218	5.35896935771083	5.36849551151247	4.02071245469482	7.73159772049491e-09	6.882973850934e-07
ENSG00000078399	9.86067136973436	144269485.501988	1.32971426910667	1.68619445405256e-05	0.000475235126983875
ENSG00000078898	5.99657632761365	6.3059324992728	-0.131431493744372	0.00116909257732164	0.0165690174900293
ENSG00000080986	6.01570697979829	6.03156632005255	3.96374313240711	4.6975883607365e-12	1.2471258242691e-09
ENSG00000082929	6.03786311641637	6.6090801678047	-0.827510670842337	7.09071559289037e-05	0.00162181028799233
ENSG00000085840	4.2423046047956	4.25156342983669	2.90783551570963	1.82763316328584e-06	7.08511662022701e-05
ENSG00000086991	4.22870143322151	4.23723957642519	3.01219572675067	6.42314655437901e-06	0.000208272453269253
ENSG00000087245	3.6570982854382	3.65737742080289	7.32139612924384	0.000971592448998663	0.0142382108814816
