logFC	unshrunk.logFC	logCPM	PValue	FDR
ENSG00000002746	-3.41092148323754	-3.41139169161065	4.57049762338814	0.0028523951821815	0.0450521631719688
ENSG00000004660	-3.58424527130339	-3.58439273835683	6.39339718491898	0.000181650680695552	0.00687924903736212
ENSG00000005379	-3.54272018577151	-3.5428725100943	6.31005612928334	0.000289831910695461	0.00954270577452148
ENSG00000006116	-4.19026481134323	-4.19083415195898	4.98673585936248	0.00200078913947949	0.0354645290342035
ENSG00000006432	-3.29462764187232	-3.29502263066924	4.72082925687586	0.0031442917617144	0.0478765535502936
ENSG00000006740	-3.46225708371842	-3.46260024650906	5.06930110689241	0.000720559548624135	0.0179463200686222
ENSG00000007264	-3.38829139257797	-3.3889232972372	4.12695761262005	0.000393715077568571	0.0117781705209655
ENSG00000008056	-3.7500128932302	-3.75006723237513	7.97926182980382	0.00133329018088091	0.0270627630154582
ENSG00000008086	-3.22574803802807	-3.2259160325896	5.89364943034131	0.00237665237876148	0.0397634731853975
ENSG00000008118	-3.74094454044958	-3.74150219739005	4.61475903835473	0.00215017976534942	0.0370925221279078
ENSG00000009709	-4.105533187942	-4.11910440094904	0.385120286688294	0.000433431640101206	0.0126486568345859
ENSG00000011083	-4.40298537151003	-4.40399813450183	4.35085802617354	0.000442662978085294	0.0128558704128887
ENSG00000011347	-3.49621944652312	-3.49631387043588	6.95905918883973	0.00127205725232186	0.0261043143651863
ENSG00000020129	-3.16532683698958	-3.16535079837087	8.65048891055437	0.00155004789132434	0.0299031621176832
ENSG00000033122	-3.8905748915497	-3.89123242974151	4.5096616790867	0.000116024611838944	0.0049151813265708
ENSG00000036530	-3.20657343877677	-3.20676118567208	5.71712186703065	0.0011386802509893	0.0241591536025562
ENSG00000040608	-3.41538003425858	-3.41589099125101	4.4552875737461	0.00246732598633724	0.0407016031129617
ENSG00000050628	-4.15296968999098	-4.1570245042557	2.13105438133263	0.000161034092999932	0.00631348029692195
ENSG00000053108	-3.90368027968454	-3.90482295819507	3.72685430439896	0.00117770292561658	0.0248667387636313
ENSG00000058335	-3.58427798931122	-3.58451366661772	5.71720357583486	0.00294613648355535	0.0459315619471091
ENSG00000058404	-3.33151385768358	-3.33157532042408	7.43508433495922	0.00236750569195681	0.0397188813645615
ENSG00000060140	-4.2808605002612	-4.28439584298325	2.44449199604068	8.64367431904472e-05	0.0039583763949872
ENSG00000060709	-4.03695351114967	-4.03737996706832	5.26435625661943	0.000114633541650651	0.00488792560812158
ENSG00000063180	-3.22531059931941	-3.22536572360694	7.50054986506942	0.00296304667713202	0.0461653766984533
ENSG00000065325	-5.27097403311745	-5.2753312171089	3.06344304595635	5.42095050287841e-09	3.27073048591169e-06
ENSG00000065609	-3.86041824761435	-3.86054168181187	6.89397884721184	0.001931466327457	0.0347606326225558
ENSG00000066248	-3.44264116302069	-3.44275336869567	6.66365363037084	0.00119484795275195	0.0249450350274357
ENSG00000067191	-3.02713377877714	-3.02727660152409	5.95735876643324	0.0010842974918685	0.0235327658891675
ENSG00000067715	-4.11276072301264	-4.11279943261681	8.79291540983001	0.000645373456665512	0.0166226712947337
ENSG00000067842	-3.92446296051158	-3.92486607628974	5.24486064035027	0.00278099950388805	0.0441556855439699
ENSG00000069424	-3.09043156678712	-3.09048041189341	7.55889926670911	0.00162940795380841	0.030866665272537
ENSG00000069712	-3.15067082297873	-3.15100423623151	4.84155778159871	0.0031006014321971	0.0474045136004351
ENSG00000070182	-3.59948747383847	-3.60017828194486	4.1811168443594	0.000614571253248764	0.0160865022679675
ENSG00000070388	-3.13643432258418	-3.15161583388419	-0.593080145230125	0.0023223937879217	0.0391948613130785
ENSG00000070729	-5.43360267861389	-5.44139448076561	2.38189798026736	1.1825446229964e-05	0.000970732378618885
ENSG00000070808	-4.09813847070881	-4.09817465533685	8.87701318109764	0.00184938156977156	0.0337535477259906
ENSG00000070886	-3.83651284635345	-3.84896139529383	0.274909357362641	6.6352558309649e-05	0.0032614106766702
ENSG00000072657	-4.26277773887079	-4.26451232401811	3.44976480579752	0.00169554013247802	0.0317950004329639
ENSG00000073670	-3.88961068943721	-3.89000656699641	5.23988007566363	0.000125320156479892	0.00520563968414064
ENSG00000074211	-3.55170736514531	-3.55179966217913	7.04052059846658	0.00227403298880818	0.0386342798534868
ENSG00000074706	-3.45372938745906	-3.45416650160757	4.71291685710836	0.000421447223548074	0.012343698171249
ENSG00000075035	-4.08692156932286	-4.0877452166417	4.36184202473276	0.000775373265147697	0.018863768529309
ENSG00000077264	-3.45226729582461	-3.45248373349986	5.72463280756301	0.00264624240548393	0.0428045671675262
ENSG00000078053	-3.3328243975039	-3.33295870283383	6.30914602374645	0.000133339913325284	0.00548215582315569
ENSG00000078328	-3.8206430833351	-3.82084465942409	6.15138616620784	0.00240750370886746	0.0400838855121851
ENSG00000079841	-3.93810299490222	-3.93868517062697	4.72742453954245	0.00100168220973246	0.0223431824702688
ENSG00000080224	-4.18575560252456	-4.19288315036217	1.36164845889403	0.000554573736379164	0.0150045768540076
ENSG00000086506	-3.57125367680249	-3.58926453671082	-0.411960823506113	0.00106503265925746	0.0232974800456505
ENSG00000089169	-3.73447558243287	-3.73463071894274	6.45252793467879	0.00253584002654024	0.0415196493897707
ENSG00000089199	-3.50596739440406	-3.50609377251625	6.54722700834305	0.0010711157877768	0.0233570896529042
ENSG00000091137	-2.96300389017961	-2.96511670811685	2.03140872961774	0.00220453917077142	0.0378140357835092
ENSG00000091428	-3.61660046779579	-3.61672149937558	6.70646880700631	0.00100112256503593	0.0223431824702688
ENSG00000091622	-3.43990786636532	-3.44011179889517	5.79954653762759	0.000945194190597721	0.0213989836734385
ENSG00000091664	-4.37736891901621	-4.37993179005612	2.99409109392196	0.000470596079931446	0.0134089324593454
ENSG00000094796	-3.84044554310544	-3.87583722022891	-1.12578760601435	0.0016752258150077	0.0315365833224616
ENSG00000099960	-3.92749725238215	-3.93145342829	1.96949259084041	0.000376266894677797	0.0115092842029835
ENSG00000100321	-3.45525381782217	-3.45530887596339	7.70128227754909	0.000114576135723729	0.00488792560812158
ENSG00000100341	-3.75701523730605	-3.77489877193888	-0.279008794409004	0.00151702711476016	0.0293600099339388
ENSG00000100884	-4.41854551277957	-4.41885014545117	6.09590966462076	0.000129475715175318	0.00534148189750618
ENSG00000101076	-3.91368183747011	-3.98743291370632	-1.96422831638408	6.78312657249439e-05	0.00331132933015304
ENSG00000101180	-4.12918155747959	-4.13058444576365	3.63371270981598	0.00131971359834373	0.0268097373589459
ENSG00000101210	-3.44941942730911	-3.44945659202887	8.26316799804158	0.00225447007772268	0.0383705083609021
ENSG00000101292	-4.30719654121681	-4.35176751761434	-1.05838173618497	0.00155580880425445	0.0299489560429711
ENSG00000101438	-3.81192690921189	-3.81258710843422	4.43405464325047	0.00211233744916985	0.0367284956759836
ENSG00000101489	-3.75924994797697	-3.75942962788359	6.26270857082527	0.00212041070328433	0.0367893543587808
ENSG00000102003	-3.72099739693765	-3.72103493620269	8.4870857905707	0.000982729057725623	0.0220624958875816
ENSG00000102468	-3.86481797223753	-3.86548025202776	4.47721397375843	0.000139926109376346	0.00566606832833682
ENSG00000103154	-4.36517245318177	-4.36566507240958	5.35481227219367	1.81449463403378e-05	0.00132299134434354
ENSG00000104044	-3.64418992997624	-3.65325540596422	0.561149062600911	0.00236852480780918	0.0397188813645615
ENSG00000104888	-4.14375112612984	-4.14378767364232	8.90385318323439	0.00177575252031433	0.032739504450165
ENSG00000105278	-3.85014107952437	-3.85222508881338	2.8188287002175	0.000187026777941425	0.00700885754478003
ENSG00000105376	-4.14125456395948	-4.14161131216465	5.61584478396289	1.44011011737677e-05	0.00112114895396035
ENSG00000105649	-3.66749357258174	-3.66759506574922	7.00531149745813	0.00081911597610634	0.0195534569409994
ENSG00000106089	-3.60687353244313	-3.60701611988287	6.46174531522362	0.000366235576748569	0.0113608347162596
ENSG00000106113	-3.67110959442279	-3.67715468855158	1.14889997640112	0.00146428982638552	0.0285915620307347
ENSG00000106236	-3.46991154448616	-3.47001235298471	6.84177295939476	0.00196171641159445	0.034991917130392
ENSG00000106976	-3.62836867171719	-3.62839739984716	8.79125807904756	0.000708867529479024	0.0177282994367324
ENSG00000107295	-3.39399331077831	-3.39410478400416	6.63100048000976	0.00292760495716297	0.0457320959621356
ENSG00000107864	-3.13687750676734	-3.13725990232356	4.63203467011647	0.00147084084222754	0.0286962594068872
ENSG00000107954	-3.81593978911145	-3.81631600274179	5.24786256034225	0.000487372674136839	0.0137089185520029
ENSG00000108684	-4.1289109516492	-4.13059687791417	3.36970334729974	0.000674775714026894	0.0171424375409311
ENSG00000109158	-3.79754706468527	-3.79809081237879	4.70110771955204	0.00227844491580322	0.0386422976795466
ENSG00000110148	-4.3053241889245	-4.30698106421998	3.55503339946627	0.000448898849353811	0.0129745207548561
ENSG00000110975	-4.36138402324915	-4.39451698424243	-0.619828415796975	0.00310209491385302	0.0474045136004351
ENSG00000111218	-3.94972897626767	-3.95086302773472	3.7793264718784	0.00080086503242644	0.0193474241166964
ENSG00000111344	-4.34353615349154	-4.34420320648131	4.89803851272289	0.000100921477054078	0.00444459658252394
ENSG00000112053	-3.46832328698011	-3.47453686522172	0.932812293008023	0.000588855309847079	0.0155998178351805
ENSG00000112186	-2.73904332560389	-2.739134723674	6.35594556447172	0.00296683757225758	0.0461946180444286
ENSG00000112232	-4.09339664428265	-4.09909609355762	1.60063801223762	0.00025822800134642	0.00874063756591094
ENSG00000112619	-3.73071885802083	-3.73520756549972	1.6170358007941	0.000128085275262177	0.00530224705519275
ENSG00000113100	-4.34184957705499	-4.34554878532021	2.43646692390674	0.000573035567171554	0.0152813705835561
ENSG00000114812	-3.58022294262194	-3.58123246609653	3.61950214617581	0.000360658445607782	0.0112166635648173
ENSG00000115155	-3.26422896449481	-3.26699065094076	1.90203067652989	4.90598593861254e-05	0.00267271026280982
ENSG00000115194	-4.33874738131668	-4.33928810180351	5.19625018215715	3.04436930458865e-05	0.00189852219113547
ENSG00000115252	-3.57320681003882	-3.5735737122827	5.07002280756297	0.000233907425298938	0.00816949609575192
ENSG00000115593	-3.76893046254648	-3.78335024076035	0.012610062041178	0.000524424317489575	0.0144315353230255
ENSG00000116254	-4.32539477981832	-4.32556186534969	6.8765720333695	0.000609676083477128	0.0160043623250499
ENSG00000116544	-3.77521283068863	-3.77558068078912	5.24373867507966	0.000821503330823902	0.0195910685633439
ENSG00000116983	-3.89623284779165	-3.89631904089361	7.44392953724649	0.00158687116259948	0.0303467104898383
ENSG00000117069	-3.31878012403493	-3.31952405217792	3.83228452020886	0.000221839227583242	0.00791992295635201
ENSG00000117152	-3.52116620285109	-3.52125900753613	7.00600910879819	0.000378525999889892	0.0115603170693448
ENSG00000118160	-4.1931508843478	-4.19336987793115	6.36616544953119	0.00110086020765409	0.0237044417714942
ENSG00000118473	-3.03112609871476	-3.03135267827237	5.29565013271907	0.00150740051798209	0.0292440547435529
ENSG00000118733	-3.89971435450941	-3.90075959176531	3.85210043981706	0.00196011164894849	0.0349891527631086
ENSG00000119125	-3.91910717118256	-3.91928276333456	6.43808338974931	0.00119014615803848	0.0249043922252685
ENSG00000119698	-4.09629169735476	-4.0970825899082	4.42956111407463	3.22373718078204e-05	0.00197466175433995
ENSG00000121742	-3.96887341011726	-3.96983428200021	4.03520659557623	0.00324567350501805	0.0490488944083316
ENSG00000122012	-4.13346981795697	-4.13427491065108	4.43584773644275	0.000249820670807277	0.00853093602665071
ENSG00000122254	-3.46079481625642	-3.4611011848897	5.23184503673765	0.00235161692156098	0.0395222303516384
ENSG00000122733	-4.00550616871385	-4.00569306830292	6.42544512931696	0.00091622319303924	0.0210130106830434
ENSG00000123360	-3.16431067379983	-3.16454788398187	5.3437115151169	0.000755853004669806	0.018519549659595
ENSG00000123901	-3.94691804884555	-3.94861122195241	3.20115699252812	0.00194297141853461	0.0348377951076629
ENSG00000124140	-3.9136897009922	-3.91380193375727	7.07864944921604	0.001410762613242	0.028068709734528
ENSG00000124493	-4.19105997285517	-4.19463237859988	2.34819636254054	0.000115446780503312	0.00490526866314599
ENSG00000124507	-4.14072811959508	-4.14081495228156	7.6528282857858	0.00200793227159309	0.0355274468054455
ENSG00000125084	-4.04143407945412	-4.07717463137581	-0.986718062901612	0.000485552478021964	0.0136736563647399
ENSG00000125814	-3.64341682589477	-3.64347067018026	7.89834175164577	0.000307246758668529	0.0099264970196871
ENSG00000126583	-5.19178944958692	-5.19233927003066	5.96500516242594	6.37096171240025e-05	0.00320995386152542
ENSG00000126733	-3.86180634909802	-3.86353331688777	3.09701271196733	0.00141464966211487	0.0281012042277628
ENSG00000127377	-3.73976579855932	-3.75549880866934	-0.125039616676597	0.000414277131285193	0.0122077708015102
ENSG00000127561	-3.80148488245481	-3.80174046815402	5.7922654062538	0.00045189666324935	0.0130299570739066
ENSG00000128656	-3.12538856081157	-3.12541673677835	8.38255555498703	0.002499553275001	0.0410648187466809
ENSG00000129990	-3.69283148877212	-3.69305523281678	5.88790561356375	0.0011914281439365	0.0249043922252685
ENSG00000130540	-4.08371080225556	-4.08387318548111	6.69862470673249	0.000903659803790706	0.0208498333696796
ENSG00000130822	-3.84348183510996	-3.84395139224887	4.95352914752516	6.91343437003585e-05	0.00335037801378404
ENSG00000131738	-5.37755472638342	-5.8470967274277	-2.83497063391203	7.24192583586291e-10	8.5233926260612e-07
ENSG00000132026	-3.63597023399483	-3.63927787237923	1.97139441810385	0.0024466437351214	0.0404433560982328
ENSG00000132359	-3.17790044263901	-3.17804427644576	6.07623064104897	0.000684687623414211	0.0173028807366268
ENSG00000132872	-3.80656218330612	-3.80681956874743	5.78655273843508	0.00216172532078397	0.0372118964991443
ENSG00000132932	-4.20259025852034	-4.20293358630823	5.72645203479718	0.000186238976160116	0.006990188881257
ENSG00000132938	-3.58440693840443	-3.58591526312165	3.04606240566999	0.002925755923417	0.0457320959621356
ENSG00000134115	-3.18100911055293	-3.18433059874036	1.5664885977398	0.00306411830394533	0.0471015485015392
ENSG00000134343	-4.10528198801471	-4.10650422570935	3.81037760466781	0.000586742293941684	0.0155609214527347
ENSG00000134709	-3.83904278143276	-3.84108342015418	2.8375012466409	0.0012896389899115	0.0263763960868849
ENSG00000135127	-3.25139973416004	-3.25240701689054	3.33726811127665	0.00172086406103335	0.0320953116298136
ENSG00000135423	-3.42443037477058	-3.43106713232631	0.809253363558379	0.00171618674505402	0.0320804863955397
ENSG00000135519	-3.88520045081147	-3.88552698365111	5.5135161943446	0.000222821622020672	0.00794324523758774
ENSG00000135625	-4.2321529238463	-4.23798334208007	1.69167244941199	2.82082853118038e-05	0.00179832778959322
ENSG00000135709	-3.73684087452635	-3.7369018213688	7.80198730231868	4.22990236104179e-05	0.00241334429270408
ENSG00000136457	-3.37897375743413	-3.38591898769213	0.712078669270761	0.00194095063600145	0.0348377951076629
ENSG00000136531	-3.63355004693063	-3.63369111027663	6.50056919586187	0.000630151239084352	0.0163527634452277
ENSG00000136854	-3.4417055421213	-3.44173432702753	8.62500570053071	0.000617420684661382	0.0161257710748785
ENSG00000136883	-4.83830504207704	-4.8566498348686	0.615500915902886	3.79049097686365e-06	0.000410222911370526
ENSG00000137252	-4.18910454522204	-4.32789415858206	-2.5051167813754	0.000916809997127941	0.0210130106830434
ENSG00000137261	-3.57549786320084	-3.57603813305753	4.51465939784023	0.00088386680578244	0.0204911061390523
ENSG00000137825	-3.13526942544298	-3.13566105522402	4.59674542707854	0.00120676830848359	0.0251070227215025
ENSG00000137843	-3.96974769865766	-3.97601050826443	1.35315799228731	0.000195865420314735	0.00720581715529848
ENSG00000138944	-3.96679393822321	-3.96709143924774	5.72061956041074	0.000558442555085744	0.0150345661572812
ENSG00000139220	-3.18437128784806	-3.18467363600534	5.01108466677884	0.00171041699090241	0.0320122091659115
ENSG00000139287	-3.98780676026069	-4.02341993843365	-0.996356252813678	0.000426577052865676	0.0124636932129058
ENSG00000139874	-4.33628557898243	-4.33764639808727	3.86497020915193	0.000866955436133906	0.0202743241236974
ENSG00000139970	-2.99033337457481	-2.99035772122438	8.47768846565251	0.00113224319663446	0.0240894139074936
ENSG00000140465	-3.48567970169083	-3.51211132791923	-1.03116090321845	3.009895586279e-05	0.00188188653055071
ENSG00000140488	-3.04020653574635	-3.10331085566016	-2.42382308346486	0.0022714928995934	0.0386329877651777
ENSG00000141404	-3.50018737703281	-3.50062494129468	4.75262496288917	0.000111220176966959	0.0047931924123582
ENSG00000142408	-4.09425115376854	-4.09450767116614	6.04859411253489	0.000682090957816812	0.017273434602257
ENSG00000142609	-3.05010579114399	-3.05388241694181	1.28312708792523	0.00167107925528679	0.0315323117647314
ENSG00000143921	-3.90783052586749	-3.98631691382877	-2.08283212163519	0.000540315687356941	0.0147658448314358
ENSG00000144290	-3.6859889849859	-3.68621627702549	5.85919260603516	0.00142544716886627	0.0281697936193423
ENSG00000144550	-3.91629858812641	-3.91855287480382	2.76472636428076	0.000239910775397557	0.00830703967495643
ENSG00000144583	-3.40141580854992	-3.40247713469565	3.39110143029801	0.00141005792142901	0.028068709734528
ENSG00000144619	-3.46854199369097	-3.46966148903782	3.37327848571305	0.00170950097437536	0.0320122091659115
ENSG00000145198	-3.42389437941842	-3.42470420694365	3.79970134084285	0.00183436670236697	0.0335637649696167
ENSG00000145335	-3.51772923113537	-3.51784907934556	6.63433918463928	0.000142900985430769	0.00573838998733141
ENSG00000146151	-3.41154949157911	-3.4133759817658	2.62608163434623	0.000922515880689825	0.0210633853023351
ENSG00000146360	-4.4044801101667	-4.41667340541853	0.800337312021372	0.00241245599252036	0.0400979427847703
ENSG00000147246	-4.54670673175094	-4.55242931506943	2.00011137230644	0.000256742415564692	0.00870255822645825
ENSG00000147571	-4.02158134079038	-4.029981314203	0.981594657069416	0.00246137676417402	0.040659046424761
