logFC	unshrunk.logFC	logCPM	PValue	FDR
ENSG00000002746	-4.37377620970652	-4.37463729389877	2.77539394521615	3.47246434110665e-06	0.000122189650554397
ENSG00000003137	-3.85681411255384	-3.85756282340706	2.77287708263545	9.48713545975156e-05	0.00209265938991285
ENSG00000003987	-3.61736685659207	-3.61838214359461	2.25042290968645	1.78750853559455e-06	6.93861342002197e-05
ENSG00000004660	-4.37197727931714	-4.37221432780845	4.62844910665875	2.55584886055489e-10	3.81887487536378e-08
ENSG00000005379	-3.63558409014389	-3.63573005804475	5.04226625654389	2.36387706007491e-05	0.000638977459129702
ENSG00000005810	-3.02601982588373	-3.02610387546271	5.63100301133772	6.24775436546631e-07	2.78099892668825e-05
ENSG00000006116	-5.85438284610296	-5.85605989529713	2.60589973189842	2.38447505822578e-09	2.45328655298565e-07
ENSG00000006432	-4.23105445212843	-4.23176769088233	2.98605427704351	1.60683481154077e-07	8.67682215241678e-06
ENSG00000006555	-3.43334409669386	-3.46579968905613	-2.43478435386463	0.000610098904170194	0.00982170049626235
ENSG00000006740	-4.78635982411329	-4.78717530950998	3.0403491644002	5.35422051955369e-12	1.39651221867026e-09
ENSG00000007264	-4.47246673602752	-4.47373287093779	2.26604927919973	5.20383264369175e-11	9.79308606503358e-09
ENSG00000007908	-4.18130156679627	-4.18778925148347	-0.155030540920302	0.000207145791327978	0.00400431476255532
ENSG00000008056	-4.7936902496887	-4.79379470053461	6.00155354299838	1.10265333245128e-08	9.24381012280212e-07
ENSG00000008086	-4.31014287505897	-4.31048156588231	4.08876536665215	2.75581950036465e-15	2.92648346513723e-12
ENSG00000008118	-4.63420970028115	-4.63517039291279	2.73366611655136	1.78351182010637e-06	6.93214907961343e-05
ENSG00000008735	-3.50122767989884	-3.50131465432331	5.74163074015124	2.65273604298075e-05	0.000705513895366634
ENSG00000010379	-3.40811308538177	-3.41088571503518	0.750797493418184	0.000719117722445486	0.0112242763040389
ENSG00000010404	-3.00930568855471	-3.00931848966878	8.33959832901845	0.00025279028339382	0.00474524386769687
ENSG00000010438	-3.74083822522325	-3.74246937291248	1.61734146185568	0.00010888662277159	0.00235635723543702
ENSG00000011083	-6.041292544208	-6.04421411067133	1.93474648756349	6.78891321898985e-12	1.65460283322495e-09
ENSG00000011347	-4.4976868738982	-4.497864346051	5.10018315741579	6.08590460162105e-08	3.93387581357827e-06
ENSG00000013016	-3.29241077263978	-3.29252346638498	5.29745646052265	1.20817699632814e-05	0.000356792517454283
ENSG00000013293	-4.45923735349262	-4.45967637987229	3.77955278808748	1.12256505941922e-06	4.58493811494108e-05
ENSG00000019505	-5.01879896034951	-5.01919506128187	4.19393975649486	1.76940685983061e-07	9.41373418860671e-06
ENSG00000020129	-3.97430036274186	-3.97433996881696	7.0471641114609	6.37697391748524e-12	1.56973287833327e-09
ENSG00000021645	-4.77508391344008	-4.77551125929253	3.96276628423073	1.73728190012971e-10	2.73313968351623e-08
ENSG00000022355	-5.59737196042226	-5.5979757543199	3.91192815986662	1.68355534569538e-08	1.32430779494462e-06
ENSG00000023171	-3.15748679790596	-3.15764471699655	4.76569318506687	5.55353628609663e-05	0.00131054641214918
ENSG00000033122	-4.79413123688878	-4.79526930334081	2.56563491249147	1.61568039984438e-11	3.50661613204182e-09
ENSG00000036448	-2.69410058272015	-2.69440576081425	3.66308533999013	0.00418860888722171	0.0462073297095901
ENSG00000036530	-3.58388521979723	-3.5841095889501	4.40477462851726	1.76648328723705e-06	6.89299397148379e-05
ENSG00000040608	-3.82310097874599	-3.82372206981261	3.02687023684329	2.24900254402472e-06	8.50786789364261e-05
ENSG00000041353	-3.45897451838269	-3.45943173058061	3.33820882876726	0.00076046393067854	0.0117428030625461
ENSG00000047597	-3.46595615150913	-3.46737379180201	1.72025974671949	0.000955562527293581	0.0140517785294497
ENSG00000049283	-3.33669028622947	-3.34528186490719	-0.832882725200488	0.00130413219680657	0.0181116612516798
ENSG00000050628	-5.10335832092586	-5.11059422994539	0.107590633684161	6.15797200958922e-09	5.63388122255772e-07
ENSG00000050748	-2.47892934109856	-2.47899837435804	5.72804850765654	0.000329183819465413	0.00592491022275097
ENSG00000053108	-5.10556450332786	-5.10801218835797	1.62905606197238	1.53398426040107e-09	1.6525901448828e-07
ENSG00000053524	-3.84893496990063	-3.84980725402945	2.54948870620392	5.71623010447539e-06	0.000188641937765229
ENSG00000054356	-3.88669010950602	-3.88677363475289	5.93814588555309	0.000199111740246256	0.00388476934677308
ENSG00000054793	-2.63875780080485	-2.638782605451	7.26067380477254	0.00396670825786689	0.0443406403531632
ENSG00000054803	-3.64219765462202	-3.6429331437068	2.71958202518566	0.00418355348467377	0.0461915259239844
ENSG00000055163	-2.98469473131557	-2.98473332749827	6.73959043945214	0.000206859990894887	0.00400431476255532
ENSG00000055813	-4.62398563432154	-4.62788171774648	0.737139926460021	8.3305722066248e-10	1.02780595017337e-07
ENSG00000058335	-5.13931966693794	-5.13997633388565	3.52988216270998	1.11470800421516e-11	2.55964405964843e-09
ENSG00000058404	-3.74546910230482	-3.74554441879644	6.03532147798075	5.43396844980552e-05	0.00128743918634675
ENSG00000059915	-4.26762483455421	-4.26775082138529	5.49545543305914	8.5721833861325e-08	5.24455351447045e-06
ENSG00000060140	-5.63383077513408	-5.64216883324342	0.200649861467081	1.42379538739489e-11	3.15933821259700e-09
ENSG00000060566	-4.16848579610035	-4.27838430207187	-3.42235787685561	8.12853847044685e-05	0.0018268629091479
