logFC	unshrunk.logFC	logCPM	PValue	FDR
ENSG00000000003	2.89984203813198	2.90010803955568	6.54776344381764	0.00157208560186554	0.0212281531725114
ENSG00000002586	3.20386283751573	3.20391195906614	9.32887876062031	0.000789504225122506	0.0121193178264288
ENSG00000003436	4.02771871288026	4.02913749019612	5.37540589782677	0.000187182844039145	0.00369568040150063
ENSG00000005073	9.52144628630385	144269485.162347	0.989480888009372	3.92495815104152e-06	0.0001355455350326
ENSG00000006327	3.30448480390963	3.30490530449094	6.34468971217512	0.00273613514896047	0.0327806332211297
ENSG00000007968	5.64290276034687	5.66308422755139	3.23612531009608	1.59708397988967e-07	8.66496362747187e-06
ENSG00000008196	7.59087529183767	8.16039564700384	0.700119758949798	0.000803266905611995	0.012292505492263
ENSG00000011028	3.1507121263581	3.1508621294049	7.65903809762195	0.00404792716922673	0.0450959409703213
ENSG00000012223	8.2731782771221	8.27498673658099	9.35358165364237	0.000379265178891409	0.00660250048545501
ENSG00000015413	6.82812318702795	6.8739284573945	3.26788141678664	2.11599051075433e-06	8.0974082170874e-05
ENSG00000024526	3.60797578862451	3.61215437820751	3.37134507604154	0.000336944340427798	0.00604264355746692
ENSG00000026025	3.53518274794955	3.53519662309376	11.5186280788197	9.05787843456405e-06	0.000280256979576824
ENSG00000026508	3.69926883332195	3.69934350517219	9.26901616887476	0.000362381840791499	0.0063757761266831
ENSG00000029559	5.57287012014529	5.58214217827193	4.27528035776878	0.000664581360307076	0.0105165844424537
ENSG00000035499	3.19351186463904	3.19726194890415	3.07215911160609	0.00264914777205353	0.0319682466940908
ENSG00000037965	7.03048582832366	7.34819619881254	0.820009710034455	3.56744169630396e-05	0.000904299329905388
ENSG00000038945	3.65509308264029	3.65562108163288	6.40010823968505	0.000757040875969461	0.0117116823132549
ENSG00000041982	4.32956583533721	4.32967953078902	9.33364976974237	1.57766533638218e-05	0.000448473241988409
ENSG00000050405	2.89496545503431	2.89512730971194	7.25863114607199	0.00364345100761358	0.0413805852789848
ENSG00000051180	3.83679419470007	3.84334062153607	2.97519717221088	1.81373658204022e-05	0.000505906599722175
ENSG00000051341	3.11925551859892	3.12617919720802	2.11107804333993	0.00247030392494135	0.0303019871717022
ENSG00000064886	4.52934170687863	4.52960707364166	8.32019799067967	0.00205832736781655	0.0261772052842845
ENSG00000065328	4.89970215985353	4.91366434989141	3.00079733018452	1.11286713119706e-06	4.55158064360569e-05
ENSG00000065911	3.08206239634532	3.08251962541402	5.97480409241362	0.00272345972477749	0.0326925116901631
ENSG00000065978	2.67376809089995	2.67380214085058	9.24936873271513	0.00182566758905503	0.0237672504785298
ENSG00000066279	4.60630231886397	4.612047256123	3.96879918888044	3.9049185693293e-06	0.000135010289233067
ENSG00000068489	2.88913706489544	2.89048573817313	4.19608104476386	0.000775148781620009	0.0119359263970426
ENSG00000069011	7.68549052715254	7.79568194897062	2.91160794713374	6.54015239928392e-06	0.000211374882000335
ENSG00000072571	4.22582413627991	4.23217729725537	3.42793418234052	1.08602376949211e-05	0.000327835845300288
ENSG00000072694	4.10131312188875	4.10675388449808	3.52012483350705	0.002147146208566	0.027132700962814
ENSG00000073792	4.06478445734889	4.06781325983472	4.32345557961371	0.00297305953803291	0.0350658279666285
ENSG00000074410	3.80266254003149	3.80315993239732	6.64548481663093	0.00300472609303735	0.0353691708829662
ENSG00000075218	5.35896939302387	5.36849554724174	4.02071245469482	7.72751040837547e-09	6.87933516415079e-07
ENSG00000078399	9.8606718220502	144269485.501988	1.32971426910667	1.67219820349367e-05	0.000471290439646263
ENSG00000078898	5.99658615410676	6.30594548288752	-0.131431493744372	0.00116277597636323	0.0164794951769229
ENSG00000080986	6.015707187582	6.03156653171872	3.96374313240711	4.69426040302429e-12	1.24624231092432e-09
ENSG00000082929	6.03786258214625	6.60907949196764	-0.827510670842337	7.08952157316081e-05	0.00162153718812587
ENSG00000085840	4.24230461616111	4.25156344295559	2.90783551570963	1.82364044325514e-06	7.06963819292677e-05
