logFC	unshrunk.logFC	logCPM	PValue	FDR
ENSG00000002746	-3.41092311330488	-3.41139332284868	4.57049762338814	0.00288420916060287	0.0454357074947714
ENSG00000004660	-3.5842450939314	-3.58439256094329	6.39339718491898	0.000184358546319177	0.00698478674547411
ENSG00000005379	-3.5427205160711	-3.54287284047081	6.31005612928334	0.000293996172256993	0.00962727764077378
ENSG00000006116	-4.19026471493597	-4.1908340554768	4.98673585936248	0.00203596536835896	0.0358933815610107
ENSG00000006432	-3.29462907014854	-3.2950240598118	4.72082925687586	0.00317515631446878	0.048346512614126
ENSG00000006740	-3.46225716286331	-3.46260032569438	5.06930110689241	0.000729788546419091	0.0180643249018239
ENSG00000007264	-3.38829054536708	-3.38892244922022	4.12695761262005	0.000396011402203342	0.0117701221438122
ENSG00000008056	-3.7500128630683	-3.75006720221075	7.97926182980382	0.00135462243902969	0.0273577053920858
ENSG00000008086	-3.22574853972442	-3.22591653441778	5.89364943034131	0.00239951822788572	0.0400483906720567
ENSG00000008118	-3.74094374977747	-3.7415014060616	4.61475903835473	0.00218183737011733	0.0375313350608778
ENSG00000009709	-4.10554435918519	-4.11911577610336	0.385120286688294	0.000439174890953204	0.0127803747079559
ENSG00000011083	-4.40298616102153	-4.40399892515622	4.35085802617354	0.000452366587064097	0.0130747487571316
ENSG00000011347	-3.49621963176529	-3.49631405570437	6.95905918883973	0.00128884221117278	0.0263549995279189
ENSG00000020129	-3.16532686451399	-3.16535082589631	8.65048891055437	0.00155823042503666	0.0300370072506668
ENSG00000033122	-3.8905760578782	-3.891233597195	4.5096616790867	0.000118215885041107	0.00497483688719958
ENSG00000036530	-3.20657345208116	-3.2067611989805	5.71712186703065	0.00114785215777918	0.024377081634319
ENSG00000040608	-3.41538012940965	-3.41589108650803	4.4552875737461	0.00249432489474442	0.0410845943751383
ENSG00000050628	-4.15297874337949	-4.15703361009544	2.13105438133263	0.000163283739558	0.00637652066422778
ENSG00000053108	-3.90368012117281	-3.90482279939277	3.72685430439896	0.00119612087622728	0.025189512414371
ENSG00000058335	-3.58427880940735	-3.58451448700501	5.71720357583486	0.00298721725479925	0.0464002754559924
ENSG00000058404	-3.33151397185764	-3.331575434609	7.43508433495922	0.00239235008377913	0.0399563854130972
ENSG00000060140	-4.2808643454291	-4.28439970784956	2.44449199604068	8.79171532969732e-05	0.0040138763652431
ENSG00000060709	-4.03695459493108	-4.0373810515256	5.26435625661943	0.000117336199445782	0.00497417594020627
