drug,smiles,BBB_score,MW,LogP,TPSA,HBD,HBA
AV-412,CC1=CC=C(C=C1)S(=O)(=O)O.CC1=CC=C(C=C1)S(=O)(=O)O.CC(C)(C#CC1=CC2=C(C=C1NC(=O)C=C)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)N4CCN(CC4)C,0.0,851.4229999999995,7.1513400000000065,182.13000000000002,4.0,10.0
Abarelix,CC(C)CC(C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)N(C)C(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C,2.0,1416.089,1.1679999999999804,424.97999999999985,13.0,16.0
Abivertinib,CN1CCN(CC1)C2=C(C=C(C=C2)NC3=NC4=C(C=CN4)C(=N3)OC5=CC=CC(=C5)NC(=O)C=C)F,3.0,487.5390000000002,4.5092000000000025,98.41,3.0,7.0
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,5.0,485.94700000000023,4.389900000000003,88.61000000000001,2.0,7.0
Aldesleukin,,,,,,,
Alitretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,6.0,300.44200000000006,5.602600000000005,37.3,1.0,1.0
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,4.0,441.4790000000001,3.835020000000002,101.21000000000001,2.0,5.0
Alvocidib,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,5.0,401.846,3.3046000000000024,94.14,3.0,6.0
Amivantamab,,,,,,,
Anifrolumab,,,,,,,
Antithymocyte immunoglobulin (rabbit),,,,,,,
Belinostat,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO,5.0,318.35400000000004,2.006,95.5,3.0,4.0
Bevacizumab,,,,,,,
Bexarotene,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,6.0,348.4860000000002,6.103720000000006,37.3,1.0,1.0
Binimetinib,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,7.0,441.23200000000014,3.0113,88.41000000000001,3.0,5.0
Bleomycin,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,1.0,1415.5760000000005,-7.703580000000028,627.07,20.0,31.0
Bosutinib,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,3.0,530.4560000000001,5.190380000000005,82.88000000000001,1.0,8.0
Brigatinib,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC,3.0,584.1050000000001,5.090000000000004,85.86,2.0,9.0
Buserelin,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,1.0,1239.4470000000006,-1.669100000000012,440.76999999999987,15.0,15.0
Cabozantinib,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F,2.0,501.51400000000024,5.5408000000000035,98.78,2.0,6.0
Capmatinib,CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F,7.0,412.4280000000001,3.429000000000002,85.07000000000001,1.0,5.0
Carfilzomib,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,2.0,719.924,2.5835000000000052,158.47,4.0,8.0
Cetuximab,,,,,,,
Choline,C[N+](C)(C)CCO,7.0,104.17299999999999,-0.3150999999999999,20.23,1.0,1.0
Cintredekin besudotox,,,,,,,
Cisplatin,N.N.Cl[Pt]Cl,7.0,300.04600000000005,1.7004999999999997,70.0,2.0,2.0
Copanlisib,COC1=C(C=CC2=C3NCCN3C(=NC(=O)C4=CN=C(N=C4)N)N=C21)OCCCN5CCOCC5,2.0,480.5290000000004,0.6848000000000003,142.01,2.0,10.0
Crizotinib,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,4.0,450.3450000000002,5.037700000000004,77.99,2.0,5.0
Cyclosporine,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,2.0,1202.6349999999982,3.2690000000000063,278.8,5.0,12.0
Dabrafenib,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,2.0,519.5740000000002,5.364900000000002,110.85999999999999,2.0,7.0
Dacarbazine,CN(C)N=NC1=C(NC=N1)C(=O)N,4.0,182.18699999999995,0.06890000000000013,99.73,2.0,4.0
Daclizumab,,,,,,,
Dacomitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4,4.0,469.9480000000003,5.155100000000003,79.38000000000001,2.0,6.0
Dasatinib,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,3.0,488.01700000000034,3.313540000000002,106.50999999999999,3.0,9.0
Decitabine,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,4.0,228.20799999999997,-2.1387999999999985,123.49000000000001,3.0,7.0
Degarelix,CC(C)CC(C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CC2=CC=C(C=C2)NC(=O)N)NC(=O)C(CC3=CC=C(C=C3)NC(=O)C4CC(=O)NC(=O)N4)NC(=O)C(CO)NC(=O)C(CC5=CN=CC=C5)NC(=O)C(CC6=CC=C(C=C6)Cl)NC(=O)C(CC7=CC8=CC=CC=C8C=C7)NC(=O)C,2.0,1632.2890000000002,1.5146999999999755,512.8699999999998,17.0,18.0
Denileukin diftitox,,,,,,,
Diethylstilbestrol,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,7.0,268.356,4.828600000000005,40.46,2.0,2.0
Dimethyl fumarate,COC(=O)C=CC(=O)OC,7.0,144.12599999999998,-0.11140000000000017,52.60000000000001,0.0,4.0
Entinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,5.0,376.4160000000001,3.342500000000001,106.34,3.0,5.0
Entrectinib,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6,4.0,560.649,5.026900000000004,85.52,3.0,6.0
Erdafitinib,CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC,6.0,446.55500000000023,4.183600000000003,77.33,1.0,7.0
Erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,7.0,393.4430000000002,3.405100000000002,74.73,1.0,7.0
Estradiol acetate,CC(=O)OC1=CC2=C(C=C1)C3CCC4(C(C3CC2)CCC4O)C,7.0,314.425,3.8289000000000026,46.53,1.0,3.0
Estradiol benzoate,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)OC(=O)C5=CC=CC=C5,6.0,376.4960000000001,5.122800000000005,46.53,1.0,3.0
Estradiol cypionate,CC12CCC3C(C1CCC2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O,6.0,396.5710000000002,6.130500000000008,46.53,1.0,3.0
