Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-1.11	57/143	2.362977706157356E-41	5.424215324484211E-37	0	0	16.496316060762258	1543.1654750869177	TOP2A;SPARC;HJURP;MCM10;FOXM1;LOXL2;KIF15;CDC20;CSRP2;PTTG1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;IGFBP2;SOX11;MMP9;CCNA2;ASPM;MELK;KIFC1;TMSB15A;BIRC5;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;SPP1;E2F2;BUB1;GINS2;RRM2;UBE2C;GDF15;PLK1;NDC80;TPX2;KIF18B;KIF4A;CDK2;CDK1;ID3;TGFBI;EZH2;SPC25
LJP006 BT20 24H-palbociclib-10	59/168	4.648836928539675E-39	5.335702584731412E-35	0	0	13.4910715356479	1190.7786573010064	TOP2A;SPARC;HJURP;MCM10;FOXM1;KIF15;CDC20;CSRP2;PTTG1;EXO1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;MMP9;CCNA2;ASPM;NEIL3;MELK;KIFC1;TMSB15A;BIRC5;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;PLP2;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-3.33	58/163	8.794601483795829E-39	6.729335902017776E-35	0	0	13.752555016784783	1205.0907453572622	TOP2A;HJURP;TNC;MCM10;FOXM1;KIF15;CDC20;PTTG1;EXO1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;EMP3;CDC25C;CCNA2;ASPM;NEIL3;KIFC1;TMSB15A;DEPDC1;BIRC5;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;PLP2;EZH2;APOBEC3B;SPC25
LJP006 A375 24H-palbociclib-10	55/154	6.355411318157135E-37	3.159653048410749E-33	0	0	13.781967923710447	1148.6766094485713	TOP2A;HJURP;MCM10;FOXM1;KIF15;CDC20;PTTG1;EXO1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CDC25C;MMP9;CCNA2;ASPM;NEIL3;KIFC1;TMSB15A;DEPDC1;BIRC5;KIF20A;ASF1B;TROAP;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;BRIP1;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.37	51/129	6.88227629799771E-37	3.159653048410749E-33	0	0	16.154144691014032	1345.1023033676163	TOP2A;SPARC;HJURP;MCM10;FOXM1;KIF15;CDC20;PTTG1;EXO1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CCNA2;ASPM;NEIL3;KIFC1;TMSB15A;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;TROAP;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;E2F2;BUB1;GINS2;RRM2;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK1;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-1.11	50/124	1.092738767516671E-36	4.180636401390864E-33	0	0	16.675396326559117	1380.795790244494	TOP2A;HJURP;FOXM1;KIF15;CDC20;PTTG1;RCC1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CDC25C;CCNA2;ASPM;NEIL3;MELK;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;ASF1B;TROAP;NCAPG;CDCA8;HMMR;TYMS;CENPA;AURKA;RAD51AP1;CCNB2;SPP1;BUB1;HOXC6;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK2;CDK1;EZH2;SPC25
LJP006 BT20 24H-palbociclib-0.37	58/178	2.477703331939936E-36	8.125097140668747E-33	0	0	12.02402088772846	985.7981455568639	TOP2A;HJURP;TNC;MCM10;FOXM1;KIF15;CDC20;PTTG1;EXO1;OIP5;MYBL2;GTSE1;CEP55;DLGAP5;ANXA1;CCNA2;ASPM;NEIL3;KIFC1;TMSB15A;DEPDC1;BIRC5;TAGLN2;KIF2C;KIF20A;ASF1B;SLC43A3;TROAP;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK2;CDK1;PLP2;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-10	58/180	5.005728150375591E-36	1.436331121148396E-32	0	0	11.82566451226298	961.2193446564725	TOP2A;HJURP;MCM10;FOXM1;KIF15;CDC20;PTTG1;EXO1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;IGFBP2;F2R;CCNA2;ASPM;NEIL3;MELK;KIFC1;DEPDC1;BIRC5;KIF20A;ASF1B;TMEM45A;NNMT;PCNA;TROAP;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;HOXC6;E2F8;CA12;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK2;CDK1;EZH2;SPC25
LJP006 HT29 24H-palbociclib-0.37	59/195	6.637254284345105E-35	1.6928685788571323E-31	0	0	10.797385620915033	849.7302769629648	TOP2A;HJURP;MCM10;FOXM1;KIF15;CDC20;CSRP2;PTTG1;MDK;EXO1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CCNA2;ASPM;NEIL3;MELK;TMSB15A;KIFC1;DEPDC1;BIRC5;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK1;CENPM;PLP2;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-mitoxantrone-0.37	53/154	1.1514003224664215E-34	2.6430394402216707E-31	0	0	12.98268931951561	1014.5571094860651	TOP2A;HJURP;MCM10;FOXM1;KIF15;CDC20;PTTG1;EXO1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;IGFBP2;CCNA2;ASPM;NEIL3;MELK;DEPDC1;CKS2;BIRC5;KIF20A;ASF1B;TROAP;NCAPG;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;EIF4EBP1;SPP1;BUB1;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B;SPC25
