Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-3.33	52/163	1.4587266722039663E-51	3.035026714187572E-47	0	0	31.03325698579936	3632.5754231140522	HJURP;TNC;KIF14;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;DLGAP5;KIF23;EMP3;CDC25C;CCNA2;ASPM;ESPL1;KIFC1;BIRC5;DTL;ASF1B;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;EZH2;SPC25
LJP006 BT20 24H-palbociclib-0.37	52/178	2.70686081568297E-49	2.815947306554994E-45	0	0	27.317836965294592	3054.9777465376956	HJURP;TNC;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;DLGAP5;ANXA1;KIF23;CCNA2;ASPM;ESPL1;KIFC1;BIRC5;KIF2C;DTL;ASF1B;SLC43A3;TROAP;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK2;EZH2;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	48/143	7.832325583670924E-49	5.431978869795241E-45	0	0	33.04995599366309	3660.891078678141	PCNA;TROAP;HJURP;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;CDC20;CCNB2;PTTG1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;BUB1;DLGAP5;GINS2;RRM2;UBE2C;GDF15;IGFBP2;PLK1;SOX11;KIF23;NDC80;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;BIRC5;CHI3L1;DTL;ASF1B;EZH2;SPC25
LJP006 HME1 24H-palbociclib-10	55/215	1.2770043517154783E-48	6.516922910012408E-45	0	0	22.947666952054796	2530.6587861225635	KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;PBK;NUSAP1;RCC1;OIP5;MYBL2;TK1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;WEE1;KIF18B;RAD51;KIF4A;CDK2;EZH2;SPC25
LJP006 A375 24H-palbociclib-10	49/154	1.5883451190940825E-48	6.516922910012408E-45	0	0	30.612080536912753	3369.2081896362342	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;ESPL1;KIFC1;BIRC5;DTL;ASF1B;TROAP;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;BRIP1;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;EZH2;SPC25
LJP006 BT20 24H-PHA-793887-3.33	52/184	1.8793394914964166E-48	6.516922910012408E-45	0	0	26.068104776579354	2864.706515543258	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;SPC25
LJP006 HT29 24H-palbociclib-0.37	53/195	2.1981228941022934E-48	6.533449276384616E-45	0	0	24.769641659480694	2718.1333038498747	KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;MDK;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;DLGAP5;KIF23;WDR76;CCNA2;ASPM;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-0.37	46/129	3.124297579078148E-48	8.125516928787494E-45	0	0	36.03330264579915	3941.498305044771	TROAP;HJURP;KIF14;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;PTTG1;EXO1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;BUB1;DLGAP5;GINS2;RRM2;PLK1;KIF23;NDC80;CCNA2;TPX2;ASPM;KIF18A;KIF18B;ESPL1;KIFC1;KIF4A;BIRC5;KIF2C;DTL;ASF1B;EZH2;SPC25
LJP006 BT20 24H-palbociclib-10	50/168	7.424824083255251E-48	1.7164543319578752E-44	0	0	27.870513040004564	3024.4873247183045	HJURP;KIF14;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;DLGAP5;KIF23;CCNA2;ASPM;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK2;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-3.33	48/150	1.1245424025621315E-47	2.3397229227707704E-44	0	0	30.770804642927406	3326.4508551925237	PCNA;TROAP;HJURP;KIF14;BUB1B;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;SKA1;AURKB;KIF15;LMNB1;AURKA;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;BUB1;DLGAP5;E2F8;GINS2;CDKN2C;RRM2;IGFBP2;PLK1;KIF23;NDC80;CCNA2;TPX2;ASPM;KIF18B;RAD51;ESPL1;KIF4A;BIRC5;KIF2C;DTL;ASF1B;EZH2;SPC25
