Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-palbociclib-0.37	57/129	7.121722121584268E-46	1.529603477273869E-41	0	0	21.08762169680111	2192.1798394175194	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;NEIL3;ESPL1;KIFC1;TMSB15A;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;E2F2;BUB1;GINS2;RRM2;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK1;EZH2;SPC25
LJP006 A375 24H-palbociclib-10	61/154	1.4865626954126103E-45	1.5964196786036022E-41	0	0	17.550056395217684	1811.5144105375164	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;ESPL1;KIFC1;TMSB15A;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;BRIP1;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;SPC25
LJP006 BT20 24H-palbociclib-3.33	62/163	5.150795470298998E-45	3.687626170369396E-41	0	0	16.440996200460383	1676.6063963889667	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;ESPL1;KIFC1;TMSB15A;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;EZH2;SPC25
LJP006 BT20 24H-PHA-793887-3.33	65/184	8.960551853947789E-45	4.811368317977266E-41	0	0	14.677221099410229	1488.6150955573214	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;SPC25
LJP006 HME1 24H-palbociclib-1.11	55/124	2.0935004173106413E-44	8.992840392599592E-41	0	0	21.176807574021588	2129.855443545322	TOP2A;HJURP;KIF14;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;MELK;ESPL1;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKA;RAD51AP1;CCNB2;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK2;CDK1;EZH2;SPC25
LJP006 BT20 24H-palbociclib-10	62/168	4.4588862712461847E-44	1.5961326555637592E-40	0	0	15.661381533745574	1563.3010169281954	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;IGF2BP3;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;EZH2;SPC25
LJP006 HT29 24H-palbociclib-0.37	65/195	6.052833000520335E-43	1.857182102645368E-39	0	0	13.427566807313642	1305.3022632384468	TOP2A;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;MDK;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;WDR76;CCNA2;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-3.33	58/150	1.2188919767554795E-42	3.015328367429106E-39	0	0	16.798716240765412	1621.2547157330246	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;IGFBP2;KIF23;CCNA2;NEIL3;ESPL1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;BUB1;E2F8;GINS2;CDKN2C;RRM2;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;EZH2;SPC25
LJP006 HME1 24H-palbociclib-3.33	63/183	1.2635233870407837E-42	3.015328367429106E-39	0	0	14.066760168302945	1357.0860416662363	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK2;CDK1;CENPM;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-1.11	56/139	2.260501296028656E-42	4.855104683610348E-39	0	0	17.936680053547523	1720.001832662588	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;NEIL3;MELK;ESPL1;DEPDC1;BIRC5;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;EZH2;SPC25
