Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-XMD-1150-10	17/151	1.1879190042540707E-10	1.7408953007343405E-6	0	0	8.802768074521012	201.175362028577	POSTN;ENPEP;SPARC;NNMT;PLA2G2A;TNC;FN1;EMP3;MMP14;COL3A1;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;PLP2;GBP1
LJP008 HA1E 24H-(+)-JQ1-0.04	10/62	2.5971363634439405E-8	1.9030516703135475E-4	0	0	13.074926803300507	228.37021883404458	CXCL10;CXCL9;NMB;SRPX2;LOX;IGFBP3;CHI3L2;CHI3L1;GBP1;CD44
LJP006 HME1 24H-BI-2536-1.11	12/102	4.073519347207483E-8	1.9899142011108552E-4	0	0	9.110801393728224	155.03097645314764	POSTN;NNMT;LOX;COL4A2;COL4A1;MDK;SLC43A3;TGFB1I1;TNC;SERPINH1;PLP2;GBP1
LJP006 HME1 24H-BI-2536-10	12/119	2.2825566417363972E-7	8.014051368759018E-4	0	0	7.656647888241232	117.09158101322315	POSTN;COL3A1;SPARC;NNMT;SRPX2;LOX;COL4A2;COL4A1;TNC;SERPINH1;TAGLN2;GBP1
LJP005 A549 24H-dasatinib-0.12	8/45	3.0299352064059895E-7	8.014051368759018E-4	0	0	14.610569332218816	219.29813543615143	POSTN;COL3A1;SPARC;COL4A2;COL4A1;CHI3L1;TGFBI;GBP1
LJP006 HS578T 24H-BI-2536-1.11	12/123	3.2810855143332726E-7	8.014051368759018E-4	0	0	7.379225915811282	110.17126242756392	CXCL10;POSTN;CXCL9;COL3A1;WEE1;NNMT;LOX;IGFBP3;TGFB1I1;IGF2BP3;HOXB7;GBP1
LJP007 HCC515 24H-TPCA-1-3.33	8/51	8.281299730190435E-7	0.0016572144595963097	0	0	12.568049228802046	176.00416444693013	CXCL10;CXCL9;PLAU;IGFBP3;TNC;CHI3L1;GBP1;EGFR
LJP008 PC3 24H-I-BET151-3.33	14/187	9.046547715298859E-7	0.0016572144595963097	0	0	5.544914308893621	77.16143299343972	POSTN;SPARC;IGFBP3;MRC2;MMP14;COL3A1;LOX;COL4A2;COL4A1;MDK;ID3;TAGLN2;IGF2BP3;NES
LJP005 HCC515 24H-crizotinib-10	7/37	1.0905746405717997E-6	0.0017758190397310803	0	0	15.718835616438357	215.80084169739868	COL3A1;COL4A2;COL4A1;IGFBP3;ID3;GBP1;CD99
LJP006 BT20 24H-XMD11-85H-10	9/74	1.5607206826316392E-6	0.0018232042756098012	0	0	9.37527851458886	125.3508757223824	SFRP4;POSTN;COL3A1;SPARC;COL4A1;ANXA5;F2R;TAGLN2;VIM
LJP005 HEPG2 24H-BYL719-3.33	7/39	1.588108584079436E-6	0.0018232042756098012	0	0	14.734910102739725	196.7547656915724	POSTN;COL3A1;TNC;ID3;CHI3L1;TAGLN2;EMP3
LJP006 HS578T 24H-BI-2536-10	11/118	1.607568045119141E-6	0.0018232042756098012	0	0	6.994223779854621	93.30845703496232	POSTN;CXCL9;NNMT;COL4A2;IGFBP3;TGFB1I1;TNC;EMP3;NES;GBP1;EGFR
LJP005 HA1E 24H-XMD16-144-0.37	8/56	1.7316039556714931E-6	0.0018232042756098012	0	0	11.256013745704468	149.32748354750336	CXCL9;LOX;IGFBP3;TNC;HAS2;LYZ;GBP1;CD44
LJP006 HCC515 24H-XMD-1150-10	10/96	1.7417168105450166E-6	0.0018232042756098012	0	0	7.892089804458035	104.65415589222818	POSTN;COL3A1;NNMT;COL4A2;COL4A1;IGFBP3;LYZ;HOXB7;CD44;HOXB6
LJP005 HCC515 24H-GDC-0980-0.37	9/76	1.959934263897294E-6	0.0019148557758276563	0	0	9.094493051981472	119.52528096646269	CXCL9;IGFBP3;PLA2G2A;TNC;LYZ;PITX1;GBP1;NES;IDO1
LJP006 A375 24H-BI-2536-0.37	9/77	2.190555876941976E-6	0.002006412273536541	0	0	8.96029411764706	116.7647755339925	CXCL9;POSTN;COL3A1;SPARC;COL4A2;COL4A1;PLP2;HOXB7;GBP1
LJP008 HA1E 24H-methylstat-10	9/80	3.0280098731313043E-6	0.0026103226288670153	0	0	8.58037882467217	109.0360645263818	MS4A6A;CXCL10;CXCL9;LOX;IGFBP3;TAGLN2;LYZ;GBP1;IDO1
LJP006 HA1E 24H-BI-2536-10	12/154	3.6182538555681035E-6	0.002835917644913291	0	0	5.759140207096236	72.15925669938743	CXCL10;FKBP10;POSTN;SPARC;LOX;IGFBP3;TGFB1I1;MMP2;SERPINH1;EMP3;PLP2;GBP1
LJP005 PC3 24H-SAR-245408-10	8/62	3.813803225593156E-6	0.002835917644913291	0	0	10.002290950744559	124.79742037364993	CXCL10;CXCL9;PRRX1;IGF2BP3;HOXB7;GBP1;CD44;HOXB6
LJP009 A375 24H-vorinostat-10	12/155	3.870239024105481E-6	0.002835917644913291	0	0	5.718574108818011	71.2659816029664	COL3A1;SPARC;COL4A2;COL4A1;TGFB1I1;SERPINH1;TGFBI;VIM;NID1;HOXB7;NES;IDO1
LJP008 HA1E 24H-I-BET151-0.37	10/109	5.54969865755796E-6	0.0038728968488815196	0	0	6.85121107266436	82.91175957328274	CXCL10;POSTN;CXCL9;SRPX2;IGFBP3;TGFB1I1;CHI3L1;EMP3;GBP1;IDO1
LJP008 HA1E 24H-(+)-JQ1-1.11	10/110	6.025055034714972E-6	0.003944397856855707	0	0	6.7823529411764705	81.52106051591159	CXCL10;CXCL9;LOX;IGFBP3;TGFB1I1;TNC;TAGLN2;IGF2BP3;EMP3;GBP1
LJP008 HA1E 24H-PFI-1-10	12/164	6.930286802723866E-6	0.003944397856855707	0	0	5.377498624610306	63.88258299400865	CXCL10;POSTN;CXCL9;SRPX2;LOX;PLAU;IGFBP3;CLEC5A;TNC;IGF2BP3;GBP1;IDO1
LJP006 HEPG2 24H-GDC-0941-0.37	6/32	6.93611121342384E-6	0.003944397856855707	0	0	15.496193226568654	184.0757041246419	CXCL10;CXCL9;POSTN;COL3A1;FOXD1;LYZ
