Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-10	48/180	6.887863428610814E-44	1.3404471018419506E-39	0	0	24.403623867541395	2425.329343305497	TOP2A;NNMT;PCNA;HJURP;BUB1B;MCM10;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;HOXC6;E2F8;GINS2;CDKN2C;F2R;KIF23;NDC80;TPX2;ASPM;KIF18A;WEE1;MELK;RAD51;ESPL1;KIFC1;KIF4A;CDK2;BIRC5;HOXB7;DTL;ASF1B;EZH2;SPC25
LJP006 HME1 24H-palbociclib-10	48/215	7.131129167371151E-40	6.938945236310498E-36	0	0	19.254521884066918	1735.582079800601	TOP2A;PCNA;KIF14;HJURP;BUB1B;MCM10;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;RCC1;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;GINS2;CDKN2C;KIF23;CDC25C;NDC80;TPX2;ASPM;KIF18A;WEE1;MELK;RAD51;ESPL1;KIFC1;KIF4A;CDK2;BIRC5;DTL;ASF1B;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-1.11	41/139	1.496708740760557E-39	9.709149601313732E-36	0	0	27.464833584440488	2455.2888364138817	TOP2A;HJURP;KIF14;BUB1B;MCM10;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;GINS2;KIF23;NDC80;TPX2;ASPM;MELK;RAD51;ESPL1;KIF4A;BIRC5;KIF2C;HOXB7;DTL;ASF1B;EZH2;SPC25
LJP006 HT29 24H-palbociclib-0.37	46/195	2.1165114798468296E-39	1.0073987196596042E-35	0	0	20.559177222438556	1830.8163069074735	TOP2A;PCNA;KIF14;HJURP;BUB1B;MCM10;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;MDK;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;GINS2;CDKN2C;KIF23;WDR76;NDC80;TPX2;ASPM;KIF18A;MELK;RAD51;ESPL1;KIFC1;KIF4A;BIRC5;DTL;ASF1B;EZH2;SPC25
LJP006 BT20 24H-PHA-793887-3.33	45/184	2.5882501404336988E-39	1.0073987196596042E-35	0	0	21.496843341653207	1909.9910183398617	TOP2A;PCNA;HJURP;KIF14;BUB1B;MCM10;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;RCC1;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;GINS2;CDKN2C;KIF23;CDC25C;NDC80;TPX2;ASPM;WEE1;MELK;RAD51;ESPL1;KIFC1;KIF4A;CDK2;BIRC5;DTL;ASF1B;SPC25
LJP006 BT20 24H-palbociclib-3.33	43/163	3.94880042216033E-39	1.280793416927703E-35	0	0	23.656052927927927	2091.8434151752103	TOP2A;PCNA;HJURP;KIF14;MCM10;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;GINS2;CDKN2C;KIF23;CDC25C;NDC80;TPX2;ASPM;WEE1;RAD51;ESPL1;KIFC1;KIF4A;CDK2;BIRC5;DTL;ASF1B;EZH2;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	41/143	5.546142474502962E-39	1.4867573188595374E-35	0	0	26.382385840242137	2323.96411104196	TOP2A;PCNA;HJURP;MCM10;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;E2F2;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;GINS2;GDF15;SOX11;KIF23;NDC80;TPX2;ASPM;MELK;ESPL1;KIFC1;KIF4A;CDK2;BIRC5;DTL;ASF1B;EZH2;SPC25
LJP006 A375 24H-palbociclib-10	42/154	6.670859360805806E-39	1.4867573188595374E-35	0	0	24.68308080808081	2169.7185784948038	TOP2A;HJURP;KIF14;BUB1B;MCM10;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CCNB2;BRIP1;CDC45;PTTG1;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;GINS2;CDKN2C;KIF23;CDC25C;NDC80;TPX2;ASPM;RAD51;ESPL1;KIFC1;KIF4A;BIRC5;DTL;ASF1B;EZH2;SPC25
LJP006 HME1 24H-palbociclib-1.11	39/124	6.875708272820428E-39	1.4867573188595374E-35	0	0	29.939764705882354	2630.8916736140086	TOP2A;HJURP;KIF14;TTK;HMMR;TYMS;CENPA;KIF15;LMNB1;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;RCC1;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;HOXC6;GINS2;CDKN2C;KIF23;CDC25C;NDC80;TPX2;ASPM;KIF18A;MELK;ESPL1;KIFC1;KIF4A;CDK2;BIRC5;DTL;ASF1B;EZH2;SPC25
LJP006 BT20 24H-palbociclib-0.37	44/178	1.1380404567173382E-38	2.151158568151361E-35	0	0	21.735087275486972	1898.971224124449	TOP2A;SLC43A3;HJURP;KIF14;BUB1B;MCM10;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;GINS2;CDKN2C;KIF23;NDC80;TPX2;ASPM;KIF18A;RAD51;ESPL1;KIFC1;KIF4A;CDK2;BIRC5;KIF2C;DTL;ASF1B;EZH2;SPC25
