Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-XMD-1150-10	11/151	2.169581664999606E-6	0.010667768830091818	0	0	6.731752963194011	87.7886301106667	SPARC;NNMT;ANXA1;LOX;PLA2G2A;TNC;SERPINH1;FN1;TAGLN2;EMP3;PLP2
LJP008 HA1E 24H-dasatinib-1.11	9/96	2.3247302190069567E-6	0.010667768830091818	0	0	8.81012091356919	114.28406527746682	FOXD1;NNMT;LOX;IGFBP3;TNC;CHI3L2;HAS2;TAGLN2;TGFBI
LJP006 HS578T 24H-JW-7-24-1-0.12	5/19	2.4189951995673055E-6	0.010667768830091818	0	0	30.009118541033434	388.0826717404556	TNC;CHI3L2;TAGLN2;EMP3;CD44
LJP008 HA1E 24H-dasatinib-10	8/75	3.229693285952098E-6	0.010682210543286564	0	0	10.135357694287185	128.14257786121195	PLAU;IGFBP3;TAGLN2;TGFBI;ANXA2P2;CD99;LOXL2;LTF
LJP007 HA1E 24H-tanespimycin-10	10/134	5.0997264505619256E-6	0.013493876188186855	0	0	6.884992987377279	83.90275291909651	SPARC;ANXA1;LOX;TNFRSF12A;PLAU;IGFBP3;TNC;FN1;TAGLN2;CD44
LJP008 HA1E 24H-(+)-JQ1-1.11	9/110	7.19907253944161E-6	0.01587395494946875	0	0	7.5835154944065835	89.80064125704045	CXCL10;LOX;IGFBP3;TGFB1I1;TNC;TAGLN2;EMP3;S100A11;LTF
LJP006 HCC515 24H-A443654-1.11	10/145	1.0277486190846655E-5	0.019424448900700178	0	0	6.320450885668277	72.59388539868631	NNMT;ANXA1;PLA2G2A;TNC;CHI3L1;TAGLN2;TGFBI;CD44;LOXL2;LTF
LJP006 HA1E 24H-canertinib-10	8/93	1.6198666816767306E-5	0.021999834964868334	0	0	7.9817444219066935	88.04328327091345	NNMT;LOX;IGFBP3;ANXA5;TNC;TAGLN2;EMP3;LOXL2
LJP008 HA1E 24H-dasatinib-3.33	9/123	1.7828778378488955E-5	0.021999834964868334	0	0	6.714285714285714	73.41867746271993	LOX;ANXA2;TNFRSF12A;IGFBP3;TAGLN2;TGFBI;ANXA2P2;CD99;LOXL2
LJP005 HA1E 24H-NVP-AUY922-3.33	9/124	1.9025807557970397E-5	0.021999834964868334	0	0	6.655561829474873	72.34405497951899	LOX;TNFRSF12A;PLAU;IGFBP3;TNC;FN1;TAGLN2;TGFBI;CD44
