Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 A375 24H-A443654-0.12	9/120	3.216022313257263E-7	0.003627799925229813	0	0	11.27027027027027	168.48998110082158	SPARC;IGFBP3;TNC;TGFBI;TFPI;NES;SLC16A4;S100A11;PPIC
LJP006 HCC515 24H-saracatinib-10	9/129	5.950139290191591E-7	0.003627799925229813	0	0	10.42024647887324	149.37090944066665	TPX2;ANXA1;PCNA;TMSB15A;IGFBP3;TNC;ID3;NES;GBP1
LJP006 HCC515 24H-A443654-1.11	9/145	1.5887958667647083E-6	0.005497159824130176	0	0	9.186878624689312	122.66811052343299	NNMT;ANXA1;PCNA;DYNLT1;TMSB15A;TNC;TGFBI;CD44;PPIC
LJP006 BT20 3H-NVP-TAE684-3.33	5/29	2.3550423430896575E-6	0.005497159824130176	0	0	28.28909817351598	366.5970611268393	ANXA1;TMSB15A;TNC;SOX11;TGFBI
LJP005 A375 24H-geldanamycin-0.04	7/81	2.6500790569992783E-6	0.005497159824130176	0	0	12.990334084084084	166.80785484905968	SPARC;TMSB15A;IGFBP3;TNC;SOX11;TGFBI;NES
LJP006 HCC515 24H-KIN001-043-10	8/117	2.983168388634823E-6	0.005497159824130176	0	0	10.131519856290499	128.89851065364786	SPARC;PCNA;TMSB15A;IGFBP3;TNC;ID3;S100A4;TFPI
LJP006 HS578T 24H-BI-2536-10	8/118	3.179871625568981E-6	0.005497159824130176	0	0	10.038906547997458	127.07920245453481	NNMT;ANXA1;PCNA;IGFBP3;TNC;NES;GBP1;S100A11
LJP006 PC3 24H-BI-2536-3.33	8/120	3.6064686397442522E-6	0.005497159824130176	0	0	9.858641358641359	123.55619784269327	FCGBP;CSTA;IGFBP3;SOX11;S100A4;TGFBI;TFPI;CD99
LJP005 A375 24H-BX-912-3.33	5/33	4.5935427874472804E-6	0.006223740083348015	0	0	24.242906066536204	297.9661397897201	CSTA;SOX11;NES;CD44;AQP1
LJP006 BT20 24H-KIN001-043-3.33	8/127	5.502844264594973E-6	0.0066480158109488464	0	0	9.27543045190104	112.3277395231946	FCGBP;OSR2;NNMT;VNN1;TMSB15A;STON1;ID3;TGFBI
LJP009 A375 24H-GSK1059615-10	6/60	5.997061991179048E-6	0.0066480158109488464	0	0	15.168582375478927	182.39068824233627	SPARC;TNC;SOX11;PI3;TREM1;PPIC
LJP007 HCC515 24H-NVP-BGT226-3.33	8/132	7.323898298784525E-6	0.007127303841275025	0	0	8.899165350778254	105.2270043742987	TFAP2A;SPARC;ANXA1;PCNA;IGFBP3;TNC;ID3;NES
LJP007 HCC515 24H-quizartinib-10	7/95	7.711694958576563E-6	0.007127303841275025	0	0	10.91595643939394	128.5110723874378	TFAP2A;CSTA;SPARC;ANXA1;PCNA;TNC;NES
LJP006 HS578T 24H-JW-7-24-1-10	8/134	8.182897636366274E-6	0.007127303841275025	0	0	8.757020757020758	102.57504944953105	NNMT;PCNA;IGFBP3;ID3;S100A4;GBP1;CD99;PPIC
LJP006 HME1 24H-KIN001-043-0.12	7/98	9.474464323489638E-6	0.007702107864042176	0	0	10.554487179487179	122.0828069359672	CSTA;SPARC;ANXA1;TMSB15A;SOX11;PI3;CD44
LJP006 HT29 24H-AZD-5438-1.11	8/139	1.0710279909849125E-5	0.007947126967271321	0	0	8.42064805423584	96.36847758526898	FCGBP;CSTA;SPARC;VNN1;TMSB15A;TFPI;NES;S100A11
LJP006 A549 24H-lapatinib-10	4/19	1.1079314289290838E-5	0.007947126967271321	0	0	35.980045351473926	410.54781643363776	ANXA1;TMSB15A;TNC;CD44
LJP008 PC3 24H-I-BET151-3.33	9/187	1.2703498828383588E-5	0.008605914706294971	0	0	7.004233264757082	78.96315600271552	CSTA;SPARC;ANXA1;IGFBP3;ID3;S100A4;TFPI;NES;AQP1
LJP005 HCC515 24H-HG-5-113-01-10	8/144	1.3866272375434074E-5	0.008899227649791742	0	0	8.109008638420404	90.70778511513019	FCGBP;NNMT;ANXA1;PCNA;DYNLT1;TNC;TGFBI;SLC16A4
LJP008 PC3 24H-CX-5461-3.33	5/42	1.558827263821643E-5	0.009504169827520559	0	0	18.337652721214365	202.97932540878224	FCGBP;CSTA;PCNA;SPARC;APOC1
LJP005 A549 24H-TG-101348-10	9/194	1.7032293691559556E-5	0.009890085203565581	0	0	6.736810049486106	73.97286493775347	TPX2;KIF18A;CSTA;NNMT;IGFBP3;TNC;ID3;GBP1;NES
LJP006 HS578T 24H-BI-2536-0.04	6/76	2.3715133452758107E-5	0.01310774644069121	0	0	11.692019704433498	124.51296156710917	ANXA1;TMSB15A;IGFBP3;SOX11;GBP1;CD99
LJP006 A549 24H-radicicol-0.12	4/23	2.472348434770361E-5	0.01310774644069121	0	0	28.399570354457573	301.2557407340479	CSTA;ANXA1;TNC;TGFBI
LJP009 PC3 24H-XMD-892-10	8/157	2.5923855565273564E-5	0.013171478948456076	0	0	7.396630215422162	78.1109813274414	CSTA;PCNA;SPARC;ANXA1;IGFBP3;S100A4;TGFBI;NES
LJP005 MCF10A 24H-XMD16-144-1.11	5/48	3.0255464839459145E-5	0.014757405530094593	0	0	15.774131889136667	164.1429937358153	ANXA1;IGFBP3;TREM1;GBP1;CD44
LJP006 SKBR3 24H-OSI-027-0.37	6/81	3.4131751292481625E-5	0.016007791356173882	0	0	10.909793103448276	112.21030391046082	CSTA;TNC;SOX11;PI3;AQP1;PPIC
LJP005 HCC515 24H-NVP-AUY922-1.11	7/120	3.548209438240466E-5	0.016024765144408978	0	0	8.49016715830875	86.99434812567212	ANXA1;PCNA;TNFRSF12A;IGFBP3;ID3;SOX11;TGFBI
LJP006 A375 24H-geldanamycin-0.37	8/166	3.863101647558676E-5	0.016590100156468536	0	0	6.972116491103833	70.84684845682813	SPARC;IGFBP3;TNC;ID3;SOX11;TGFBI;NES;S100A11
LJP007 HCC515 24H-NVP-BGT226-0.37	7/122	3.9454888021780186E-5	0.016590100156468536	0	0	8.341666666666667	84.5874413894531	SPARC;PCNA;TNC;ID3;PI3;NES;PPIC
LJP006 HS578T 24H-BI-2536-1.11	7/123	4.157409080032029E-5	0.01689848210730352	0	0	8.269336685823754	83.42134469920813	NNMT;ANXA1;IGFBP3;S100A4;TFPI;GBP1;S100A11
LJP006 PC3 24H-BI-2536-0.12	5/52	4.48215167679488E-5	0.017098796122288512	0	0	14.428737977266103	144.4723886415162	CSTA;ANXA1;IGFBP3;SOX11;S100A4
LJP006 HCC515 24H-WYE-125132-3.33	6/85	4.487136919085062E-5	0.017098796122288512	0	0	10.35530336097774	103.67430067203425	CSTA;PCNA;DYNLT1;IGFBP3;TNC;NES
LJP005 HCC515 24H-withaferin-a-3.33	7/128	5.36209266206648E-5	0.019813744824617775	0	0	7.925619834710743	77.93714650536182	FCGBP;SPARC;PCNA;TMSB15A;IGFBP3;GBP1;CD44
LJP008 HA1E 24H-LY2603618-3.33	5/55	5.8913311021555024E-5	0.02052539755990977	0	0	13.560958904109588	132.07619304242513	SPARC;TNC;TFPI;S100A11;AQP1
LJP005 MCF7 3H-NVP-BEZ235-1.11	5/55	5.8913311021555024E-5	0.02052539755990977	0	0	13.560958904109588	132.07619304242513	CSTA;TNC;ID3;GBP1;NES
LJP006 PC3 24H-XMD-1150-10	5/56	6.429827544077991E-5	0.02136682434236254	0	0	13.294386247649745	128.31712023027518	IGFBP3;SOX11;S100A4;NES;CD44
LJP007 HCC515 24H-HG-9-91-01-10	6/91	6.589560434077335E-5	0.02136682434236254	0	0	9.621419878296146	92.62963124599953	OSR2;TPX2;SPARC;PCNA;ID3;TGFBI
LJP006 BT20 3H-geldanamycin-0.04	3/11	6.658515048464627E-5	0.02136682434236254	0	0	50.272804054054056	483.4750130399611	TFAP2A;SPARC;TNC
LJP005 MDAMB231 3H-NVP-BEZ235-0.12	4/30	7.343549452484594E-5	0.02296083128810183	0	0	20.746206174777605	197.48527681020508	PI3;GBP1;CD99;CD44
LJP006 A375 24H-afatinib-10	7/136	7.873807520487498E-5	0.024003302226206138	0	0	7.431093884582257	70.21925755763033	CSTA;SPARC;IGFBP3;TNC;SOX11;TGFBI;NES
LJP005 MDAMB231 3H-NVP-AUY922-10	4/31	8.382175442492476E-5	0.024336249368036487	0	0	19.976820357772738	187.51877661393013	SHOX2;STON1;SOX11;PI3
LJP006 PC3 24H-saracatinib-0.37	4/31	8.382175442492476E-5	0.024336249368036487	0	0	19.976820357772738	187.51877661393013	CD163;SPARC;IGFBP3;PI3
LJP006 PC3 24H-KIN001-043-1.11	5/60	8.97316617386016E-5	0.02544622984280251	0	0	12.325031133250311	114.8531058862675	FCGBP;CSTA;IGFBP3;PI3;AQP1
LJP005 HCC515 24H-torin-2-3.33	6/97	9.41315498052124E-5	0.02575406628206135	0	0	8.984312239484654	83.29191723079542	CSTA;PCNA;IGFBP3;TNC;ID3;GBP1
LJP007 HCC515 24H-GDC-0068-10	4/32	9.523619002643338E-5	0.02575406628206135	0	0	19.262390670553938	178.35337499952578	TFAP2A;IGFBP3;GBP1;NES
LJP005 BT20 24H-crizotinib-10	5/61	9.71532761173382E-5	0.02575406628206135	0	0	12.10432974559687	111.83457346643843	MS4A6A;SPARC;TMSB15A;TGFBI;GBP1
LJP007 HCC515 24H-SGI-1776-10	6/99	1.0542829852697421E-4	0.025803384062062517	0	0	8.790211345939934	80.49617994549301	TFAP2A;STEAP3;PCNA;IGFBP3;NES;PPIC
LJP008 PC3 24H-I-BET-0.04	4/33	1.0773871797184728E-4	0.025803384062062517	0	0	18.597231996246773	169.9006207121669	IGFBP3;S100A4;PI3;AQP1
LJP006 A375 24H-afatinib-1.11	4/33	1.0773871797184728E-4	0.025803384062062517	0	0	18.597231996246773	169.9006207121669	SPARC;TMSB15A;IGFBP3;SOX11
LJP005 A549 24H-XMD16-144-10	7/143	1.079196807581752E-4	0.025803384062062517	0	0	7.046109068627451	64.36002904770739	NNMT;ANXA1;IGFBP3;TGFBI;TFPI;SLC16A4;S100A11
LJP006 LNCAP 24H-palbociclib-1.11	7/143	1.079196807581752E-4	0.025803384062062517	0	0	7.046109068627451	64.36002904770739	TPX2;SPARC;PCNA;TMSB15A;ID3;SOX11;TGFBI
LJP009 PC3 24H-XMD-892-1.11	4/34	1.2139026117191446E-4	0.027080928319209004	0	0	17.976417233560092	162.08436425249585	CSTA;IGFBP3;PI3;NES
LJP005 BT20 24H-dovitinib-10	4/34	1.2139026117191446E-4	0.027080928319209004	0	0	17.976417233560092	162.08436425249585	STEAP3;CSTA;SPARC;ANXA1
LJP007 HEPG2 24H-doramapimod-0.37	4/34	1.2139026117191446E-4	0.027080928319209004	0	0	17.976417233560092	162.08436425249585	TMSB15A;SOX11;CD44;AQP1
LJP006 HME1 24H-BI-2536-0.37	6/102	1.2436706461175202E-4	0.027080928319209004	0	0	8.514224137931034	76.56222925025476	CSTA;SPARC;ANXA1;PCNA;SOX11;GBP1
LJP006 HME1 24H-BI-2536-1.11	6/102	1.2436706461175202E-4	0.027080928319209004	0	0	8.514224137931034	76.56222925025476	CD163;NNMT;ANXA1;TNC;SOX11;GBP1
LJP006 A549 24H-CHIR-99021-10	6/103	1.3124654479919624E-4	0.02717650922295615	0	0	8.426022040526128	75.31543331560185	NNMT;VNN1;IGFBP3;TFPI;SLC16A4;S100A11
LJP008 PC3 24H-I-BET-0.37	5/65	1.3166200214454E-4	0.02717650922295615	0	0	11.295091324200913	100.92471899700949	CSTA;IGFBP3;S100A4;S100A11;CD99
LJP005 PC3 24H-pelitinib-10	5/65	1.3166200214454E-4	0.02717650922295615	0	0	11.295091324200913	100.92471899700949	CSTA;SPARC;SOX11;PI3;GBP1
LJP006 HCC515 24H-GSK-2126458-10	7/148	1.3372072768389119E-4	0.02717650922295615	0	0	6.794523246650906	60.60549666181787	TPX2;PCNA;IGFBP3;TNC;ID3;NES;GBP1
LJP006 BT20 24H-CHIR-99021-10	6/106	1.5371201493831916E-4	0.030727283773079733	0	0	8.172	71.75367182803208	SPARC;TMSB15A;STON1;ID3;TGFBI;S100A11
LJP005 HEPG2 24H-TWS-119-10	6/107	1.6184092519652156E-4	0.03183045551365136	0	0	8.090679412768862	70.62270440927828	TPX2;SPARC;PCNA;TMSB15A;ID3;CD99
LJP006 A375 24H-torin-1-10	8/205	1.6875315244989922E-4	0.03194943533492815	0	0	5.580774555393845	48.48059901305729	TPX2;FCGBP;SPARC;TMSB15A;ID3;S100A4;NES;CD99
LJP005 HCC515 24H-crizotinib-10	4/37	1.6986224410931315E-4	0.03194943533492815	0	0	16.339723768295197	141.83734435979983	IGFBP3;ID3;GBP1;CD99
LJP007 HCC515 24H-HG-14-10-04-3.33	6/108	1.7030615850174922E-4	0.03194943533492815	0	0	8.010953346855985	69.51835465525572	TFAP2A;PCNA;IGFBP3;TNC;NES;PPIC
LJP006 HME1 24H-JW-7-24-1-10	6/109	1.7911762709805606E-4	0.032599408131846204	0	0	7.932775359892869	68.43976424639688	TPX2;SPARC;NNMT;PCNA;TNC;GBP1
LJP006 PC3 24H-BI-2536-10	6/109	1.7911762709805606E-4	0.032599408131846204	0	0	7.932775359892869	68.43976424639688	FCGBP;CSTA;SPARC;ANXA1;S100A4;CD99
LJP005 HEPG2 24H-WH-4-025-3.33	4/38	1.8873744299268403E-4	0.03287806256932556	0	0	15.858343337334935	135.98773153295377	NNMT;TNFRSF12A;TNC;TFPI
LJP005 PC3 24H-dasatinib-0.12	4/38	1.8873744299268403E-4	0.03287806256932556	0	0	15.858343337334935	135.98773153295377	MS4A6A;CSTA;CD163;IGFBP3
LJP006 HEPG2 24H-GSK-2126458-0.04	4/38	1.8873744299268403E-4	0.03287806256932556	0	0	15.858343337334935	135.98773153295377	CSTA;SPARC;TNC;TGFBI
