Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HS578T 24H-XMD-1150-10	17/142	2.0637393547928403E-7	0.002761898506885842	0	0	5.169870333988213	79.58279237670392	POSTN;NNMT;CDKN2C;IGFBP3;TGFB1I1;EGFR;HOXA10;CXCL10;CDC45;COL4A2;TAGLN2;IGFBP7;MYBL2;TK1;GBP1;IDO1;APOBEC3B
LJP005 HCC515 24H-YM-201636-0.37	8/27	3.1011660755511363E-7	0.002761898506885842	0	0	15.813858971753708	236.99151076763278	CXCL10;POSTN;NNMT;CDC45;CSRP2;IGFBP7;IDO1;APOBEC3B
LJP006 HS578T 24H-BI-2536-10	14/118	2.7175426127528922E-6	0.016134956339451504	0	0	5.0927734375	65.26787688627007	POSTN;NNMT;PCNA;IGFBP3;TGFB1I1;IGFBP2;EMP3;EGFR;HOXA10;CDC45;COL4A2;IGFBP7;NES;GBP1
LJP008 A549 24H-(+)-JQ1-3.33	10/77	3.283410004345241E-5	0.11640146443155092	0	0	5.6135022561610555	57.95403837652878	CA12;POSTN;NNMT;COL4A2;COL4A1;GDF15;IGFBP3;IGFBP2;IQGAP2;TFPI
LJP006 MCF10A 24H-dasatinib-1.11	8/49	3.7887103576976983E-5	0.11640146443155092	0	0	7.3200866371598075	74.52506842503055	COL4A2;PLAU;COL4A1;TGFB1I1;IGFBP3;MYBL2;IGF2BP3;TGFBI
LJP006 HME1 24H-XMD-1150-10	14/151	4.6647887224512854E-5	0.11640146443155092	0	0	3.859460538321168	38.489948089335655	CA12;POSTN;ENPEP;NNMT;CDKN2C;PLA2G2A;EMP3;MMP14;COL4A2;COL4A1;SERPINH1;TAGLN2;IGFBP7;GBP1
LJP005 A549 24H-TG-101348-10	16/194	5.7481842437498505E-5	0.11640146443155092	0	0	3.400925313945803	33.20677571238646	NNMT;IGFBP3;AURKB;CDC45;COL4A2;ESPL1;COL4A1;CDK2;ID3;OIP5;MYBL2;TK1;PITX1;NES;GBP1;APOBEC3B
LJP005 HS578T 24H-TG-101348-10	13/135	5.842559440830199E-5	0.11640146443155092	0	0	4.019684913558943	39.18290975905743	CDKN2C;IGFBP3;TGFB1I1;IGFBP2;HOXA10;CXCL10;COL4A2;ESPL1;COL4A1;EIF4EBP1;IGFBP7;IGF2BP3;GBP1
LJP005 HCC515 24H-neratinib-3.33	15/174	5.8815022450255907E-5	0.11640146443155092	0	0	3.5658900417235904	34.73573874004595	PCNA;IGFBP3;IGFBP2;CDC45;COL4A2;ESPL1;COL4A1;CDK2;CENPM;OIP5;IGFBP7;MYBL2;TK1;GBP1;APOBEC3B
LJP006 HME1 24H-BI-2536-1.11	11/102	7.714108169708548E-5	0.13740369471884867	0	0	4.549514563106796	43.08333232507925	CA12;POSTN;NNMT;COL4A2;COL4A1;MDK;SLC43A3;TGFB1I1;IGFBP2;SERPINH1;GBP1
