Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP009 MCF7 24H-ON-01910-0.04	5/25	4.095420916090237E-4	0.9998848217075927	0	0	9.409090909090908	73.39533956969437	PCNA;SPARC;CSRP2;CDKN2C;CYTL1
LJP005 PC3 24H-TGX-221-0.37	6/43	8.245611558544306E-4	0.9998848217075927	0	0	6.109679446888749	43.38275185130738	CA12;CSTA;CSRP2;HP;LPL;CHI3L1
LJP006 HS578T 24H-BI-2536-10	10/118	0.0010574676880814593	0.9998848217075927	0	0	3.5029658564814814	24.00189539618454	HOXA10;ANXA1;PCNA;TGFB1I1;IGFBP2;TNC;IGFBP7;EMP3;GBP1;S100A11
LJP007 HEPG2 24H-BIX-02189-3.33	5/31	0.0011513875559922507	0.9998848217075927	0	0	7.235530427019789	48.96129680239658	ABCC3;IL1R2;APOC1;IQGAP2;CD99
LJP006 HME1 24H-BI-2536-0.37	9/102	0.0014008363015099734	0.9998848217075927	0	0	3.6568571967553294	24.028059883853775	ENPEP;CSTA;SPARC;ANXA1;PCNA;TGFB1I1;IGFBP2;IGFBP7;GBP1
CPC013 VCAP 24H-BRD-K97764662-10.0	4/21	0.0019284420551989962	0.9998848217075927	0	0	8.839881898705428	55.25848033736992	MTHFD2;ID3;NOX4;EDA2R
LJP005 PC3 24H-NU-7441-0.37	5/35	0.0020193482762799354	0.9998848217075927	0	0	6.2695035460992905	38.9021469669271	CA12;SRPX;SPP1;LPL;CPVL
LJP006 HME1 3H-celastrol-0.04	5/35	0.0020193482762799354	0.9998848217075927	0	0	6.2695035460992905	38.9021469669271	SRPX;TNC;SPP1;CYTL1;IGFBP7
LJP006 HS578T 24H-GSK-1059615-3.33	6/51	0.002043755183525295	0.9998848217075927	0	0	5.021447028423773	31.097652661332514	PCNA;MTHFD2;TNC;EMP3;GBP1;S100A11
LJP006 HME1 24H-XMD-1150-10	11/151	0.002076664718222368	0.9998848217075927	0	0	2.973413474979033	18.36675176235639	CA12;ENPEP;MMP14;SPARC;ANXA1;CDKN2C;TNC;IGFBP7;EMP3;PLP2;GBP1
LJP006 PC3 24H-BI-2536-10	9/109	0.0022226255676639226	0.9998848217075927	0	0	3.3996491228070176	20.768681186908722	HOXA10;CA12;FCGBP;CSTA;SPARC;ANXA1;CDKN2C;TGFB1I1;CD99
LJP006 BT20 3H-geldanamycin-1.11	4/22	0.0023088663764903356	0.9998848217075927	0	0	8.348348348348349	50.682811310548935	HOXA10;ANXA1;IGFBP2;CYTL1
LJP006 A549 24H-celastrol-10	6/53	0.0024937288205103087	0.9998848217075927	0	0	4.807273626917367	28.81468356428996	HOXA10;CA12;CSTA;SPP1;EMP3;TFPI
LJP006 SKBR3 3H-nintedanib-0.12	4/23	0.0027379367581887373	0.9998848217075927	0	0	7.908555171713067	46.6648303605575	HP;SPP1;ID3;HOXA5
LJP006 MDAMB231 3H-QL-XII-47-0.37	5/38	0.002928571120512475	0.9998848217075927	0	0	5.698669480100815	33.24171044562087	HOXA10;SPP1;LPL;CHI3L1;HOXA5
LJP005 MDAMB231 3H-torin-2-1.11	6/57	0.0036119980846160186	0.9998848217075927	0	0	4.429320565435477	24.908258393224862	SPARC;CSRP2;IL1R2;CHI3L1;ID3;CD99
LJP008 HT29 24H-GSK-461364-3.33	5/40	0.00367892468278457	0.9998848217075927	0	0	5.372478585244543	30.113466547530273	ENPEP;CSTA;CDKN2C;IGFBP2;ANG
LJP006 MCF7 3H-PHA-793887-1.11	4/26	0.004345879696195985	0.9998848217075927	0	0	6.8290628290628295	37.14004312027039	CA12;FCGBP;SPP1;TFPI
LJP008 PC3 24H-CX-5461-3.33	5/42	0.004557888270144195	0.9998848217075927	0	0	5.081551570913273	27.39411533298337	FCGBP;CSTA;PCNA;SPARC;APOC1
LJP008 HEPG2 24H-(+)-JQ1-0.12	5/42	0.004557888270144195	0.9998848217075927	0	0	5.081551570913273	27.39411533298337	CA12;CD163;IL1R2;IGFBP2;SPP1
LJP005 MCF10A 3H-AZD-6482-10	5/42	0.004557888270144195	0.9998848217075927	0	0	5.081551570913273	27.39411533298337	IGFBP2;TNC;CHI3L1;IGFBP7;EMP3
LJP006 PC3 24H-MK-2206-0.12	4/27	0.0049980181972398355	0.9998848217075927	0	0	6.53181131442001	34.610198787759764	CA12;CSTA;SPP1;LPL
LJP007 MCF7 24H-PD-0325901-0.12	4/27	0.0049980181972398355	0.9998848217075927	0	0	6.53181131442001	34.610198787759764	CA12;ANXA1;PLAU;IGFBP7
LJP009 A549 24H-SYK-inhibitor-10	5/43	0.005049116956015918	0.9998848217075927	0	0	4.947572024839662	26.165442011944084	CA12;PRDX4;ID3;TFPI;SLC16A4
LJP006 HME1 24H-BI-2536-1.11	8/102	0.005251328435387578	0.9998848217075927	0	0	3.2095372133454756	16.84774088498458	CA12;CD163;ANXA1;TGFB1I1;IGFBP2;TNC;PLP2;GBP1
LJP006 HME1 3H-geldanamycin-0.37	5/44	0.005576697474330682	0.9998848217075927	0	0	4.8204632247185435	25.01414785280796	CA12;SRPX;IGFBP2;HP;SPP1
CPC006 AGS 6H-pik-90-10.0	6/63	0.005934538471484392	0.9998848217075927	0	0	3.9618523051815586	20.312282136229715	HOXA10;CA12;MTHFD2;ANXA5;IGFBP2;CHI3L1
LJP008 HEPG2 24H-I-BET151-3.33	7/83	0.00596391037040673	0.9998848217075927	0	0	3.4699540112416964	17.773204764132117	CA12;FCGBP;IL1R2;IGFBP2;SPP1;LPL;HOXA5
LJP005 PC3 24H-TG-101348-1.11	5/45	0.006142001436012868	0.9998848217075927	0	0	4.699709864603482	23.933764183996804	CA12;CSRP2;CLEC5A;IGFBP2;SPP1
LJP005 SKBR3 24H-AKT-inhibitor-1-2-0.12	4/29	0.0064922726960008415	0.9998848217075927	0	0	6.008648648648649	30.26642022845541	CSRP2;VNN1;TFPI;CPVL
LJP007 A375 24H-HG-14-10-04-0.37	4/29	0.0064922726960008415	0.9998848217075927	0	0	6.008648648648649	30.26642022845541	CA12;SRPX;CSTA;CSRP2
LJP006 A549 24H-celastrol-3.33	9/129	0.00678215150881169	0.9998848217075927	0	0	2.8301169590643274	14.132078365304766	ABCC3;CA12;FCGBP;CSTA;SPARC;PCNA;IGFBP2;EMP3;SLC16A4
LJP005 SKBR3 3H-dasatinib-3.33	4/30	0.0073393006804715255	0.9998848217075927	0	0	5.777249777249777	28.39236171675345	FCGBP;CSTA;HP;GBP1
LJP006 MDAMB231 3H-geldanamycin-0.04	4/30	0.0073393006804715255	0.9998848217075927	0	0	5.777249777249777	28.39236171675345	HOXA10;CA12;SPP1;CHI3L1
LJP006 HEPG2 24H-BI-2536-10	9/131	0.0074778383782959194	0.9998848217075927	0	0	2.7834339948231235	13.627168204821373	ABCC3;CA12;FCGBP;SPARC;IL1R2;IGFBP2;SPP1;ANG;GBP1
LJP006 MDAMB231 24H-PI-103-0.37	3/16	0.007683605136094332	0.9998848217075927	0	0	8.654957759004002	42.13810223550128	CA12;PCNA;SPP1
LJP007 HEPG2 24H-dasatinib-10	3/16	0.007683605136094332	0.9998848217075927	0	0	8.654957759004002	42.13810223550128	CA12;TNC;IGFBP7
LJP008 HA1E 24H-I-BET151-0.37	8/109	0.007776464295672783	0.9998848217075927	0	0	2.986015333050815	14.502041832650296	PRDX4;ANXA1;SRPX2;TGFB1I1;DPEP1;CHI3L1;EMP3;GBP1
LJP005 MDAMB231 24H-neratinib-10	5/48	0.008077682856702332	0.9998848217075927	0	0	4.371148396383428	21.063035193852087	HOXA10;PCNA;PLAU;CYTL1;IGFBP7
LJP006 MDAMB231 3H-JW-7-24-1-3.33	5/48	0.008077682856702332	0.9998848217075927	0	0	4.371148396383428	21.063035193852087	SPARC;CSRP2;SPP1;ID3;CHI3L1
LJP005 HS578T 3H-NU-7441-10	4/31	0.00825603108530647	0.9998848217075927	0	0	5.562991562991563	26.684620819380275	HOXA10;TFPI;GBP1;CD99
LJP006 A549 24H-dasatinib-1.11	5/49	0.008807196972853997	0.9998848217075927	0	0	4.271584315104625	20.213931724084873	CSTA;SPARC;PCNA;IL1R2;IGFBP7
LJP007 PC3 24H-quizartinib-10	5/49	0.008807196972853997	0.9998848217075927	0	0	4.271584315104625	20.213931724084873	CA12;SRPX;PCNA;IL1R2;TNC
LJP005 HS578T 24H-TG-101348-10	9/135	0.00903134000961056	0.9998848217075927	0	0	2.6945140629351156	12.683224618696464	HOXA10;CSTA;SPARC;ANXA1;CDKN2C;TGFB1I1;IGFBP2;IGFBP7;GBP1
LJP005 MDAMB231 24H-AKT-inhibitor-1-2-10	3/17	0.00915160113856303	0.9998848217075927	0	0	8.036333608587944	37.721155069642535	CDKN2C;SPP1;CHI3L1
LJP006 MDAMB231 24H-WZ-4-145-1.11	3/17	0.00915160113856303	0.9998848217075927	0	0	8.036333608587944	37.721155069642535	CDKN2C;CHI3L1;GBP1
CPC003 VCAP 24H-am580-10.0	7/90	0.009194506682845653	0.9998848217075927	0	0	3.176160954497602	14.893492195331454	CA12;ANXA2;IGFBP2;SPP1;CHI3L1;COL8A1;PLP2
LJP006 A549 24H-XMD-1150-10	4/32	0.009244654956122651	0.9998848217075927	0	0	5.3640375068946495	25.12359470096804	CA12;IGFBP2;IGFBP7;EMP3
LJP006 A375 24H-nintedanib-1.11	5/50	0.009580972391192996	0.9998848217075927	0	0	4.176445304104878	19.412018332058498	CA12;CSTA;IGFBP2;LPL;ID3
LJP006 SKBR3 24H-geldanamycin-0.37	7/91	0.009743515691870975	0.9998848217075927	0	0	3.1381877022653724	14.533428246955866	ABCC3;CSTA;PCNA;ANXA5;TNC;CHI3L1;ID3
LJP008 A375 24H-AZ20-3.33	6/70	0.009838215178426743	0.9998848217075927	0	0	3.527252906976744	16.30113218130126	CA12;CSTA;ANXA2;IL1R2;ID3;IGFBP7
LJP005 SKBR3 24H-geldanamycin-10	7/92	0.010316074332695215	0.9998848217075927	0	0	3.1011079383209594	14.184628922265054	FCGBP;CSTA;IL1R2;ANXA5;IGFBP2;SPP1;ID3
LJP009 HCC515 24H-chelerythrine chloride-10	5/51	0.010400236972430347	0.9998848217075927	0	0	4.085442771844252	18.65383218133434	SPARC;PCNA;IGFBP2;TNC;IGFBP7
LJP008 HEPG2 24H-PFI-1-0.37	5/51	0.010400236972430347	0.9998848217075927	0	0	4.085442771844252	18.65383218133434	CSTA;SPARC;ANXA1;SPP1;LPL
LJP005 BT20 3H-PF-477736-10	3/18	0.010772120363924352	0.9998848217075927	0	0	7.500192678227361	33.98182746273065	SRPX;CSTA;IGFBP7
