Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-3.33	59/163	4.1670585823957396E-39	9.490475921406297E-35	0	0	13.623969347172373	1203.9993294307528	TOP2A;HJURP;KIF14;MCM10;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;EMP3;CDC25C;CCNA2;ASPM;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;RAD51;KIF4A;CDK2;CDK1;CENPM;PLP2;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-10	61/180	1.8424580734627076E-38	2.0980991311556583E-34	0	0	12.331683115724166	1071.4645903016153	TOP2A;HJURP;BUB1B;MCM10;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;IGFBP2;F2R;KIF23;CCNA2;ASPM;MELK;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;HOXB7;DTL;ASF1B;NNMT;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;CCNB2;CDC45;BUB1;HOXC6;E2F8;CA12;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;WEE1;RAD51;KIF4A;CDK2;CDK1;EZH2
LJP006 BT20 24H-palbociclib-10	59/168	3.066663422175324E-38	2.3281086480014336E-34	0	0	12.99560373451184	1122.5296251002462	TOP2A;SPARC;HJURP;KIF14;MCM10;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;MELK;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;IGF2BP3;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK2;CDK1;CENPM;PLP2;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-1.11	54/139	9.137922129207574E-38	5.202904412317562E-34	0	0	15.176205218929677	1294.3148108355754	TOP2A;HJURP;KIF14;BUB1B;MCM10;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;MELK;ESPL1;DEPDC1;BIRC5;KIF2C;KIF20A;HOXB7;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;PLK1;NDC80;TPX2;RAD51;KIF4A;CDK1;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-0.37	52/129	2.242316566216259E-37	1.021375195911506E-33	0	0	16.098896103896102	1358.5558810024315	TOP2A;SPARC;HJURP;KIF14;BUB1B;MCM10;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;ESPL1;KIFC1;DEPDC1;BIRC5;KIF2C;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;BUB1;GINS2;RRM2;PLK1;NDC80;TPX2;KIF18A;KIF4A;CDK1;EZH2;APOBEC3B
LJP006 A375 24H-palbociclib-10	56/154	2.7194627072575793E-37	1.032262719296523E-33	0	0	13.675520459440058	1151.413373204047	TOP2A;HJURP;KIF14;BUB1B;MCM10;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-0.37	59/178	1.3137873093841935E-36	4.2745008530321435E-33	0	0	11.897284008180826	982.9553810897539	TOP2A;HJURP;KIF14;BUB1B;MCM10;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;ESPL1;KIFC1;DEPDC1;BIRC5;TAGLN2;KIF2C;KIF20A;DTL;ASF1B;SLC43A3;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK2;CDK1;PLP2;EZH2;APOBEC3B
LJP006 HT29 24H-palbociclib-0.37	61/195	3.6502334450484666E-36	1.0391758338872353E-32	0	0	10.942638262543163	892.9003758032939	TOP2A;KIF14;HJURP;BUB1B;MCM10;FOXM1;KIF15;LMNB1;CDC20;PTTG1;MDK;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;WDR76;CCNA2;ASPM;MELK;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK1;CENPM;PLP2;EZH2;APOBEC3B
LJP006 HME1 24H-palbociclib-1.11	50/124	5.49860243275748E-36	1.3914518934005735E-32	0	0	16.0696232391993	1304.6697214425067	TOP2A;HJURP;KIF14;FOXM1;KIF15;LMNB1;CDC20;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;MELK;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKA;CCNB2;BUB1;HOXC6;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF4A;CDK2;CDK1;EZH2
LJP006 BT20 24H-palbociclib-0.12	49/120	1.3287800562511223E-35	3.026296578111931E-32	0	0	16.395786925788855	1316.6836224928638	TOP2A;HJURP;KIF14;BUB1B;MCM10;FOXM1;KIF15;LMNB1;CDC20;PTTG1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;CEP55;DLGAP5;CCNA2;ASPM;MELK;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CDC45;BUB1;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF4A;CDK1;PLP2;EZH2;APOBEC3B
