Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-3.33	37/163	2.795610463350854E-38	5.553480185446471E-34	0	0	31.537774308266112	2727.07711705849	PCNA;TROAP;HJURP;TNC;KIF14;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;PLK1;KIF23;EMP3;CCNA2;TPX2;ASPM;WEE1;KIF18B;RAD51;ESPL1;CDK2;PLP2;DTL;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-0.37	37/178	9.49597265705602E-37	9.431874841620892E-33	0	0	28.161182808200596	2335.8231312338453	SLC43A3;TROAP;HJURP;TNC;KIF14;BUB1B;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;ANXA1;PLK1;KIF23;CCNA2;TPX2;ASPM;KIF18B;RAD51;ESPL1;CDK2;PLP2;DTL;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-1.11	33/139	6.951520531334024E-35	4.0438419322288435E-31	0	0	32.75360710321865	2576.120913326416	TROAP;HJURP;KIF14;BUB1B;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;PLK1;KIF23;CCNA2;TPX2;ASPM;MELK;KIF18B;RAD51;ESPL1;DTL;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-10	35/168	8.142646729884407E-35	4.0438419322288435E-31	0	0	27.94736842105263	2193.68293371266	PCNA;TROAP;HJURP;KIF14;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;PLK1;KIF23;CCNA2;TPX2;ASPM;MELK;KIF18B;RAD51;ESPL1;CDK2;PLP2;DTL;EZH2;APOBEC3B
LJP006 HS578T 24H-palbociclib-1.11	34/156	1.4986695442331028E-34	5.954214099238118E-31	0	0	29.454080733298078	2293.981460092557	PCNA;TROAP;HJURP;KIF14;BUB1B;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;PLK1;KIF23;CCNA2;TPX2;ASPM;MELK;KIF18B;RAD51;ESPL1;CDK2;DTL;EZH2;APOBEC3B
LJP006 A375 24H-mitoxantrone-0.12	38/222	2.398097078278873E-34	7.93969974333497E-31	0	0	22.236263736263737	1721.3807237376507	ARHGAP11A;ERCC6L;TROAP;KIF14;HJURP;NCAPG;BUB1B;MCM10;TTK;MKI67;AURKB;KIF15;AURKA;LMNB1;CDC20;RAD51AP1;CDC45;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;CA12;PLK1;KIF23;WDR76;CCNA2;TPX2;ASPM;MELK;KIF18B;RAD51;ESPL1;CENPI;PLP2;DTL;APOBEC3B
LJP006 HCC515 24H-PD-173074-10	34/162	5.980439635680504E-34	1.6971633337541885E-30	0	0	28.064852150537636	2146.944324753321	PCNA;HJURP;TNC;KIF14;BUB1B;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;ORC1;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;CA12;IGFBP3;CCNA2;TPX2;ASPM;MELK;KIF18B;RAD51;CDK2;DTL;EZH2;APOBEC3B
LJP006 A375 24H-NVP-TAE684-10	35/178	7.081782618903941E-34	1.758495146556585E-30	0	0	25.97977697977698	1983.0459245241175	PCNA;HJURP;KIF14;BUB1B;NCAPG;MCM10;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;PLAU;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;POSTN;IGFBP3;PLK1;FN1;KIF23;CCNA2;TPX2;ASPM;KIF18B;RAD51;COL4A2;COL4A1;NES;DTL;EZH2;APOBEC3B
LJP006 HT29 24H-palbociclib-0.37	36/195	8.624318222867352E-34	1.9035786833028883E-30	0	0	24.14397046759639	1838.16032181133	PCNA;TROAP;KIF14;HJURP;NCAPG;BUB1B;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;PLK1;KIF23;WDR76;CCNA2;TPX2;ASPM;MELK;KIF18B;RAD51;ESPL1;PLP2;DTL;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-10	35/180	1.07310714232154E-33	2.131727338221739E-30	0	0	25.618825722274	1944.8467437769557	PCNA;TROAP;HJURP;BUB1B;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CDC45;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;CA12;F2R;PLK1;KIF23;CCNA2;TPX2;ASPM;WEE1;MELK;KIF18B;RAD51;ESPL1;CDK2;DTL;EZH2
LJP006 BT20 24H-PHA-793887-3.33	35/184	2.425224872137385E-33	4.3797356440917414E-30	0	0	24.925993107201162	1871.9267234009021	PCNA;TROAP;HJURP;KIF14;BUB1B;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;PLK1;KIF23;CCNA2;TPX2;ASPM;WEE1;MELK;KIF18B;RAD51;ESPL1;CDK2;DTL;APOBEC3B
LJP006 A375 24H-palbociclib-10	33/154	2.75734710627185E-33	4.564558355507525E-30	0	0	28.67136606708799	2149.5221048804488	TROAP;HJURP;KIF14;BUB1B;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;BRIP1;CDC45;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;PLK1;KIF23;CCNA2;TPX2;ASPM;KIF18B;RAD51;ESPL1;DTL;EZH2;APOBEC3B
LJP006 HCC515 24H-PHA-793887-3.33	35/186	3.618022538361247E-33	5.133715551753298E-30	0	0	24.593341686056917	1837.1073872011941	PCNA;TROAP;HJURP;KIF14;BUB1B;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;PLK1;KIF23;CCNA2;TPX2;ASPM;WEE1;MELK;KIF18B;RAD51;ESPL1;DTL;EZH2;APOBEC3B
LJP006 PC3 24H-NVP-TAE684-10	35/186	3.618022538361247E-33	5.133715551753298E-30	0	0	24.593341686056917	1837.1073872011941	PCNA;HJURP;KIF14;BUB1B;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;RAD51AP1;CDC45;ORC1;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;IGFBP3;PLK1;KIF23;WDR76;CCNA2;TPX2;ASPM;MELK;KIF18B;RAD51;ESPL1;CDK2;DTL;EZH2
LJP006 HCC515 24H-PD-0325901-3.33	34/171	4.276816317692011E-33	5.6639304100634526E-30	0	0	26.209167255317478	1953.4242534822772	PCNA;HJURP;TNC;KIF14;BUB1B;NCAPG;MCM10;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;ORC1;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;POSTN;ANXA1;PLK1;CCNA2;TPX2;ASPM;WEE1;MELK;KIF18B;RAD51;ESPL1;DTL;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-10	32/146	1.2416339799618853E-32	1.5415661882464282E-29	0	0	29.363195222097797	2157.205154631826	PCNA;TROAP;HJURP;TNC;KIF14;BUB1B;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;PLK1;KIF23;CCNA2;TPX2;ASPM;WEE1;KIF18B;ESPL1;DTL;EZH2;APOBEC3B
LJP006 MCF10A 24H-canertinib-3.33	35/193	1.412089308396824E-32	1.6403321921126504E-29	0	0	23.495381457406776	1723.096122773225	PCNA;TROAP;KIF14;HJURP;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;PLAU;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;PLK1;FN1;KIF23;CCNA2;TPX2;ASPM;KIF18B;RAD51;COL4A2;ESPL1;VIM;DTL;EZH2;APOBEC3B
LJP005 A549 24H-NVP-BEZ235-3.33	34/177	1.486331711957096E-32	1.6403321921126504E-29	0	0	25.101812166328294	1839.6217440930388	TROAP;HJURP;KIF14;BUB1B;NCAPG;MCM10;TTK;MKI67;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;EXO1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;POLQ;PLK1;KIF23;CCNA2;TPX2;ASPM;MELK;KIF18B;RAD51;ESPL1;CDK2;DTL;EZH2
