Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP009 PC3 24H-XMD-892-3.33	10/75	2.0277019049552826E-7	0.0027382227502099708	0	0	10.23728813559322	157.76881880818758	CA12;CSTA;COL3A1;SPARC;MDK;IGFBP3;S100A4;MMP9;CD44;LTF
LJP008 HEPG2 24H-I-BET-10	12/124	4.429716693671547E-7	0.0027382227502099708	0	0	7.1610190151145785	104.76398969489186	CA12;STEAP3;CSTA;SLC43A3;IL1R2;CLEC5A;SPP1;CHI3L1;PI3;TGFBI;EMP3;MMP9
LJP008 PC3 24H-I-BET-0.04	7/33	5.443782803598352E-7	0.0027382227502099708	0	0	17.77013422818792	256.3096894618739	IGFBP3;CHI3L2;S100A4;PI3;LYZ;AQP1;LTF
LJP008 HEPG2 24H-GSK-1070916-10	11/131	5.424128796730927E-6	0.017045515153716065	0	0	6.103316326530612	74.00059420686546	CA12;CSTA;COL3A1;ANXA1;PLAU;SPP1;CHI3L1;S100A4;PI3;LYZ;AQP1
LJP006 PC3 24H-saracatinib-0.37	6/31	6.394279387890427E-6	0.017045515153716065	0	0	15.788628762541807	188.8336864301566	CD163;SPARC;IL1R2;IGFBP3;PI3;MMP9
LJP006 A549 24H-XMD-1150-10	6/32	7.769615877411901E-6	0.017045515153716065	0	0	15.180602006688963	178.6041824243332	CA12;IGFBP3;FN1;IGFBP7;EMP3;CD44
LJP008 HEPG2 24H-NPK76-II-72-1-10	7/49	8.883618211222077E-6	0.017045515153716065	0	0	10.991610738255034	127.84673987123192	ADAMDEC1;COL3A1;ANXA1;CHI3L1;LPL;LYZ;AQP1
LJP008 A375 24H-AZ20-3.33	8/70	1.109231669080904E-5	0.017045515153716065	0	0	8.529597045726078	97.31637230152246	CA12;CSTA;COL3A1;ANXA2;IL1R2;IGFBP7;PI3;LTF
LJP008 HEPG2 24H-PFI-1-10	11/143	1.2560170384785194E-5	0.017045515153716065	0	0	5.545068027210885	62.57598085053093	CA12;STEAP3;CD163;SLC43A3;IL1R2;SPP1;CHI3L1;TGFBI;EMP3;AQP1;IDO1
LJP005 A549 24H-neratinib-3.33	7/52	1.330541396882684E-5	0.017045515153716065	0	0	10.257270693512304	115.16186083221413	CSRP2;MDK;CHI3L2;CHI3L1;TGFBI;MMP9;LTF
