Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 PC3 24H-NVP-TAE684-10	39/186	3.5960821163996234E-31	6.825363856926485E-27	0	0	17.02671858216971	1193.5779602635082	TOP2A;PCNA;HJURP;BUB1B;CDCA8;MCM10;TTK;FOXM1;TYMS;NCAPH;SKA1;KIF15;LMNB1;RAD51AP1;CSRP2;CDC45;ORC1;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;GINS2;CDKN2C;RRM2;WDR76;CCNA2;TPX2;NEIL3;MELK;KIF18B;RAD51;ESPL1;CDK4;CDK2;HOXB7;DTL;ASF1B
LJP006 BT20 24H-palbociclib-10	37/168	1.9252348130255533E-30	1.55293142628521E-26	0	0	18.02280097789752	1233.1651872978562	TOP2A;PCNA;HJURP;CDCA8;MCM10;TTK;FOXM1;TYMS;NCAPH;KIF15;LMNB1;RAD51AP1;CSRP2;CDC45;EXO1;NUSAP1;OIP5;MYBL2;IGF2BP3;TK1;GTSE1;GINS2;CDKN2C;RRM2;CCNA2;TPX2;NEIL3;MELK;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;CDK2;CENPM;DTL;ASF1B
LJP006 HT29 24H-palbociclib-0.37	39/195	2.4545807580904268E-30	1.55293142628521E-26	0	0	16.03700657894737	1093.3966426527793	TOP2A;PCNA;HJURP;CDCA8;BUB1B;MCM10;TTK;TYMS;FOXM1;NCAPH;SKA1;KIF15;LMNB1;RAD51AP1;CSRP2;CDC45;MDK;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;GINS2;CDKN2C;RRM2;WDR76;CCNA2;TPX2;NEIL3;MELK;KIF18B;RAD51;ESPL1;TMSB15A;KIFC1;CENPM;DTL;ASF1B
LJP006 LNCAP 24H-palbociclib-10	37/180	2.8074870902667103E-29	1.332152624331554E-25	0	0	16.500251382604326	1084.7707117094908	TOP2A;PCNA;HJURP;BUB1B;CDCA8;MCM10;TTK;FOXM1;TYMS;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;HOXC6;GINS2;CDKN2C;RRM2;F2R;CCNA2;TPX2;NEIL3;MELK;KIF18B;RAD51;ESPL1;KIFC1;CDK2;HOXB7;DTL;ASF1B
LJP006 MCF7 24H-palbociclib-10	32/127	1.8792966825490027E-28	6.180692076796099E-25	0	0	21.187476730411237	1352.6399779150547	TOP2A;PCNA;HJURP;MCM10;TTK;NID1;FOXM1;TYMS;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;NUSAP1;E2F2;MYBL2;TK1;GTSE1;GINS2;RRM2;CCNA2;TPX2;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;CENPM;DTL;ASF1B
LJP006 BT20 24H-palbociclib-3.33	35/163	1.9538541865530343E-28	6.180692076796099E-25	0	0	17.337535511363637	1106.1794735126039	TOP2A;PCNA;HJURP;CDCA8;MCM10;TTK;FOXM1;TYMS;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;OSR2;GINS2;CDKN2C;RRM2;CCNA2;TPX2;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;CDK2;CENPM;DTL;ASF1B
LJP006 A375 24H-palbociclib-10	34/154	4.4148057814216205E-28	1.1970430533054623E-24	0	0	17.91418554476807	1128.3683066770614	TOP2A;HJURP;BUB1B;CDCA8;MCM10;TTK;FOXM1;TYMS;NCAPH;KIF15;LMNB1;RAD51AP1;BRIP1;CDC45;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;GINS2;CDKN2C;RRM2;CCNA2;TPX2;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;CENPM;DTL;ASF1B
LJP006 LNCAP 24H-palbociclib-1.11	33/143	5.89186112658878E-28	1.397844052283188E-24	0	0	18.916451612903227	1186.039018326575	TOP2A;PCNA;HJURP;CDCA8;MCM10;TTK;FOXM1;TYMS;NCAPH;KIF15;LMNB1;RAD51AP1;CSRP2;CDC45;NUSAP1;E2F2;OIP5;MYBL2;TK1;GTSE1;GINS2;RRM2;SOX11;CCNA2;TPX2;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;CDK2;DTL;ASF1B
LJP006 BT20 24H-PHA-793887-3.33	36/184	1.0420037678699011E-27	2.1974701682411915E-24	0	0	15.457434633330399	960.3495763975031	TOP2A;PCNA;HJURP;BUB1B;CDCA8;MCM10;TTK;FOXM1;TYMS;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;GINS2;CDKN2C;RRM2;CCNA2;TPX2;NEIL3;MELK;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;CDK2;CENPM;DTL;ASF1B
LJP005 A549 24H-dovitinib-10	38/215	1.732302803234264E-27	3.287910720538633E-24	0	0	13.711957025099565	844.9355346787374	TOP2A;ARHGAP11A;HJURP;CDCA8;BUB1B;MCM10;TTK;TYMS;FOXM1;NCAPH;SKA1;KIF15;LMNB1;RAD51AP1;BRIP1;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;GINS2;POLQ;RRM2;LYZ;CCNA2;TPX2;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;CDK2;CENPM;KIF2C;HOXB7;DTL;ASF1B
LJP006 HCC515 24H-palbociclib-1.11	32/139	4.206778313636408E-27	7.258604762983547E-24	0	0	18.79977161402771	1141.768416974347	TOP2A;HJURP;BUB1B;CDCA8;MCM10;TTK;FOXM1;TYMS;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;GINS2;RRM2;CCNA2;TPX2;NEIL3;MELK;KIF18B;RAD51;ESPL1;KIF2C;HOXB7;DTL;ASF1B
LJP006 HCC515 24H-palbociclib-0.37	31/129	6.632548665213023E-27	1.0490481138811931E-23	0	0	19.83022632129775	1195.3225820585253	TOP2A;HJURP;BUB1B;CDCA8;MCM10;TTK;FOXM1;TYMS;NCAPH;KIF15;LMNB1;RAD51AP1;EXO1;NUSAP1;E2F2;OIP5;MYBL2;TK1;GTSE1;GINS2;RRM2;CCNA2;TPX2;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;KIF2C;DTL;ASF1B
LJP006 HS578T 24H-palbociclib-1.11	33/156	1.2250640306991659E-26	1.7885934848207822E-23	0	0	16.905900865460268	1008.6773767897389	TOP2A;PCNA;HJURP;BUB1B;CDCA8;MCM10;TTK;FOXM1;TYMS;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;GINS2;CDKN2C;RRM2;CCNA2;TPX2;NEIL3;MELK;KIF18B;RAD51;ESPL1;CDK2;DTL;ASF1B
