Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-3.33	56/163	1.6968753634201456E-36	3.558517324628387E-32	0	0	12.977261402719881	1068.8627244480165	TOP2A;HJURP;MCM10;KIF15;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;OSR2;EMP3;CDC25C;CCNA2;NEIL3;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CDK2;CDK1;CENPM;PLP2;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-1.11	49/124	1.9062378834649322E-35	1.998785732707155E-31	0	0	16.080756013745706	1285.581613907398	TOP2A;HJURP;KIF15;CDC20;PTTG1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CDC25C;CCNA2;NEIL3;MELK;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;LTF;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKA;RAD51AP1;CCNB2;SPP1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;CDK2;CDK1;EZH2;SPC25
LJP006 A375 24H-palbociclib-10	52/154	1.573666518410039E-33	8.442061592278592E-30	0	0	12.57890064175735	950.1082629946504	TOP2A;HJURP;MCM10;KIF15;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CDC25C;MMP9;CCNA2;NEIL3;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-10	54/168	1.6102353902586603E-33	8.442061592278592E-30	0	0	11.710628711857465	884.2570166709044	TOP2A;HJURP;MCM10;KIF15;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;MMP9;CCNA2;NEIL3;MELK;KIFC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CDK2;CDK1;CENPM;PLP2;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.37	48/129	2.677618527392277E-33	1.1230467627588688E-29	0	0	14.56237189570523	1092.1834299349775	TOP2A;TROAP;HJURP;NCAPG;CDCA8;MCM10;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;PTTG1;EXO1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;PLK1;NDC80;CCNA2;TPX2;NEIL3;KIFC1;CDK1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	50/143	4.0493381793524246E-33	1.4153111826533282E-29	0	0	13.237599722511273	987.3496021752654	TOP2A;HJURP;MCM10;KIF15;CDC20;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;MMP9;CCNA2;MELK;KIFC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;SPP1;E2F2;BUB1;GINS2;RRM2;UBE2C;GDF15;PLK1;NDC80;TPX2;CDK2;CDK1;ID3;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-1.11	49/139	1.1332372260552901E-32	3.3950168382293553E-29	0	0	13.390105956471936	984.9446555978149	TOP2A;HJURP;MCM10;KIF15;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CCNA2;NEIL3;MELK;DEPDC1;BIRC5;KIF2C;KIF20A;HOXB7;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;RRM2;PLK1;NDC80;TPX2;RAD51;CDK1;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-mitoxantrone-0.37	51/154	1.963150619888302E-32	5.146153956209697E-29	0	0	12.200797772258598	890.757946369582	TOP2A;HJURP;MCM10;KIF15;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CCNA2;NEIL3;MELK;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;EIF4EBP1;SPP1;BUB1;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-PHA-793887-3.33	55/184	2.8633046653161463E-32	6.671818015149434E-29	0	0	10.545957918050942	765.9607965742623	TOP2A;HJURP;MCM10;KIF15;CDC20;PTTG1;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CDC25C;CCNA2;NEIL3;MELK;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CDK2;CDK1;CENPM;APOBEC3B;SPC25
LJP006 HS578T 24H-palbociclib-0.12	49/142	3.629900193877928E-32	7.612263696581402E-29	0	0	12.956130140782617	937.9398382600988	TOP2A;HJURP;MCM10;KIF15;CDC20;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CCNA2;NEIL3;MELK;KIFC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;SPP1;BUB1;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CDK2;CDK1;EZH2;APOBEC3B;SPC25
