Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-palbociclib-0.37	52/129	2.5478147002533353E-38	4.7904011994163215E-34	0	0	16.88930441286462	1461.988816044403	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;TMSB15A;DEPDC1;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;BUB1;RRM2;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;EZH2;APOBEC3B;SPC25
LJP006 A375 24H-palbociclib-10	54/154	5.246223607505189E-36	4.931974813415628E-32	0	0	13.524094488188977	1098.6373194954028	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;TMSB15A;DEPDC1;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;BRIP1;BUB1;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-1.11	51/139	3.4177032120967246E-35	2.1419885264614205E-31	0	0	14.466666666666667	1148.0965041685024	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;DEPDC1;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;BUB1;RRM2;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-1.11	48/124	1.8236103287473284E-34	8.571880350276817E-31	0	0	15.713815789473685	1220.7603846498646	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;CENPA;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;NUSAP1;PBK;RCC1;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;UBE2C;PLK1;KIF23;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;DTL;ASF1B;EZH2;SPC25
LJP006 A375 24H-palbociclib-1.11	47/120	4.765807046350285E-34	1.493445068091301E-30	0	0	16.000445339081175	1227.656989586409	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;AURKA;RAD51AP1;CCNB2;NUSAP1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;UBE2C;PLK1;KIF23;NDC80;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;DEPDC1;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.12	47/120	4.765807046350285E-34	1.493445068091301E-30	0	0	16.000445339081175	1227.656989586409	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;NUSAP1;PBK;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;UBE2C;PLK1;NDC80;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;DEPDC1;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-3.33	53/163	1.9169685980204465E-33	4.5863978434146686E-30	0	0	12.044823066841415	907.3914819801773	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;DLGAP5;OSR2;KIF23;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;TMSB15A;DEPDC1;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;BUB1;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-PHA-793887-1.11	45/111	1.9514510555960723E-33	4.5863978434146686E-30	0	0	16.90661478599222	1273.351022910404	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;CCNB2;NUSAP1;PBK;RCC1;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;UBE2C;PLK1;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;DEPDC1;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.12	42/96	6.000374575402371E-33	1.2535449196301711E-29	0	0	19.223370657479183	1426.2488850604939	TOP2A;TROAP;KIF14;HJURP;BUB1B;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;CCNB2;EXO1;PBK;NUSAP1;OIP5;GTSE1;BUB1;DLGAP5;PLK1;KIF23;NDC80;CCNA2;ASPM;TPX2;NEIL3;KIF18A;KIF18B;ESPL1;TMSB15A;KIF4A;MFAP2;DEPDC1;KIF20A;ASF1B;SPC25
LJP006 BT20 24H-palbociclib-10	53/168	1.082642034103352E-32	2.0355835525211225E-29	0	0	11.518114992307254	847.7714873832932	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;IGF2BP3;BUB1;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;EZH2;APOBEC3B;SPC25
LJP005 A549 24H-dovitinib-10	59/215	1.5763589229025915E-32	2.6944273153104113E-29	0	0	9.506588083866816	696.1446796446427	TOP2A;ARHGAP11A;ERCC6L;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;PBK;NUSAP1;OIP5;MYBL2;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;DEPDC1;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;BRIP1;BUB1;POLQ;RRM2;UBE2C;PLK1;NDC80;TPX2;COL3A1;KIF18A;KIF18B;RAD51;KIF4A;ID3;APOBEC3B;SPC25
LJP005 MCF10A 24H-mitoxantrone-0.37	56/192	1.8453162101132775E-32	2.8913029485458204E-29	0	0	10.320123839009288	754.0921953235643	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;DEPDC1;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;EIF4EBP1;IGF2BP3;BUB1;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.37	54/178	2.612766641244046E-32	3.7788644914361965E-29	0	0	10.892811785623572	792.1504713930583	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;TMSB15A;DEPDC1;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;BUB1;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	49/143	3.1871790208310766E-32	4.2237835080046514E-29	0	0	12.974146300868263	940.9316250143538	TOP2A;HJURP;MCM10;MKI67;FOXM1;LOXL2;KIF15;LMNB1;CDC20;NUSAP1;PBK;OIP5;MYBL2;GTSE1;DLGAP5;SOX11;KIF23;CCNA2;ASPM;MELK;ESPL1;KIFC1;TMSB15A;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;BUB1;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;KIF4A;ID3;TGFBI;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-3.33	50/150	3.3696815562211343E-32	4.2237835080046514E-29	0	0	12.45691906005222	902.7268236683636	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;DEPDC1;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;BUB1;RRM2;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-palbociclib-10	48/137	4.20219657769776E-32	4.93810625336708E-29	0	0	13.40941011235955	968.7912024154722	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;UBE2C;PLK1;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-0.37	56/195	4.5699555987456627E-32	5.054370892212703E-29	0	0	10.095797046573267	728.5452181656614	TOP2A;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;MDK;EXO1;PBK;NUSAP1;OIP5;MYBL2;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;DEPDC1;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;BUB1;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;EZH2;APOBEC3B;SPC25
