Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-XMD-1150-10	17/151	2.1450290783108155E-7	0.003382496353588325	0	0	5.1412446137513275	78.94351564030863	CA12;ENPEP;SPARC;NNMT;PLA2G2A;TNC;FN1;EMP3;COL3A1;LOX;COL4A2;COL4A1;MFAP2;TAGLN2;IGFBP7;PLP2;CEP55
LJP005 A549 24H-TG-101348-10	18/194	1.6913798046160759E-6	0.01333568406949545	0	0	4.144296740994855	55.07756240754275	TOP2A;CSTA;NNMT;IGFBP3;TNC;HMMR;MKI67;KIF15;LOXL2;COL3A1;KIF18B;COL4A2;COL4A1;CDK2;CDK1;ID3;CEP55;LTF
LJP009 HEPG2 24H-PF-3758309-1.11	15/153	6.296327789178361E-6	0.02997924778782865	0	0	4.385643115942029	52.52046203800325	TOP2A;TGIF1;SPARC;IL1R2;IGFBP2;HMMR;MKI67;KIF15;COL3A1;TMSB15A;EIF4EBP1;CDK1;SPP1;IGFBP7;CEP55
LJP006 A549 24H-XMD-1150-10	7/32	1.0728403952554891E-5	0.02997924778782865	0	0	11.177049180327868	127.89467908605377	CA12;IGFBP3;IGFBP2;FN1;IGFBP7;EMP3;CD44
LJP005 HEPG2 24H-GDC-0980-10	14/141	1.1036668903097065E-5	0.02997924778782865	0	0	4.441075842650646	50.69171555551554	TOP2A;CA12;CSTA;PLA2G2A;TNC;HMMR;MKI67;KIF15;COL3A1;PLAU;CDK1;SPP1;ID3;CEP55
LJP006 LNCAP 24H-palbociclib-1.11	14/143	1.2975518382401246E-5	0.02997924778782865	0	0	4.371770697352093	49.19311447149339	TOP2A;SPARC;IGFBP2;HMMR;MKI67;LOXL2;KIF15;KIF18B;TMSB15A;CDK2;CDK1;SPP1;ID3;CEP55
LJP006 BT20 24H-palbociclib-3.33	15/163	1.3583499671925642E-5	0.02997924778782865	0	0	4.087204391891892	45.803888558534055	TOP2A;OSR2;TNC;HMMR;EMP3;MKI67;KIF15;WEE1;KIF18B;TMSB15A;CDK2;CDK1;DEPDC1;PLP2;CEP55
LJP006 HCC515 24H-A443654-1.11	14/145	1.5209206817339667E-5	0.02997924778782865	0	0	4.304581739696244	47.753349319288446	TOP2A;CA12;NNMT;PLA2G2A;TNC;HMMR;MKI67;LOXL2;COL3A1;TMSB15A;CDK1;TAGLN2;CD44;LTF
LJP006 HCC515 24H-canertinib-10	10/79	2.4592212591368145E-5	0.0430882889281427	0	0	5.807858957119379	61.639275959851524	TOP2A;COL3A1;SPARC;COL4A2;COL4A1;IGFBP3;IGFBP2;PLA2G2A;CDK1;IGFBP7
LJP005 A375 24H-HG-5-113-01-3.33	10/81	3.06810642014225E-5	0.04328487287440454	0	0	5.6436764919413385	58.64832361493486	TOP2A;CSTA;SPARC;COL4A2;IGFBP3;FN1;CDK1;MKI67;CEP55;LTF
LJP009 HEPG2 24H-QL-XI-92-10	11/98	3.075671745982591E-5	0.04328487287440454	0	0	5.072622779519331	52.70151792844179	TOP2A;SPARC;KIF18B;TNC;CDK1;IGFBP7;HMMR;VIM;MKI67;CEP55;KIF15
LJP006 HCC515 24H-KIN001-043-10	12/117	3.3683143501344755E-5	0.04328487287440454	0	0	4.590357882283348	47.27386050245529	TOP2A;SPARC;COL4A2;COL4A1;TMSB15A;IGFBP3;TNC;FN1;CDK1;ID3;IGFBP7;MKI67
LJP006 LNCAP 24H-palbociclib-0.37	11/100	3.7191499392052244E-5	0.04328487287440454	0	0	4.958120531154239	50.57000494391321	TOP2A;CA12;IGFBP2;CDK2;CDK1;DEPDC1;ID3;HMMR;MKI67;CEP55;KIF15
