Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP005 PC3 24H-SAR-245408-10	7/62	3.0677261212708384E-6	0.03224486926067778	0	0	12.81948051948052	162.73784342836865	TFAP2B;CXCL10;CXCL9;CDKN2C;PRRX1;HOXB7;GBP1
LJP007 HA1E 24H-AT7867-0.12	5/40	5.054509784251657E-5	0.23385013324192166	0	0	14.258297258297258	141.0522672863712	TFAP2B;CXCL10;CXCL9;GBP1;AQP1
LJP006 MCF7 3H-OSI-027-1.11	4/24	9.336867306873018E-5	0.23385013324192166	0	0	19.87638190954774	184.43204684381155	GBP1;AQP1;HOXC6;IDO1
LJP005 SKBR3 24H-withaferin-a-0.37	5/46	1.0022662446841152E-4	0.23385013324192166	0	0	12.168021680216802	112.04407681346312	CXCL10;ADAMDEC1;CXCL9;GBP1;IDO1
LJP009 PC3 24H-XMD-1499-3.33	5/47	1.1124066846252577E-4	0.23385013324192166	0	0	11.877705627705629	108.13242895095655	TFAP2B;CXCL10;TMSB15A;GPR65;IDO1
LJP008 HEPG2 24H-NPK76-II-72-1-10	5/49	1.3603350597125822E-4	0.2383080302106492	0	0	11.336662075298438	100.92587362083383	CXCL10;ADAMDEC1;CXCL9;GBP1;AQP1
LJP009 HEPG2 24H-JWE-035-3.33	5/52	1.808948152454142E-4	0.2635283686570858	0	0	10.61143348377391	91.44503429535452	CXCL10;CXCL9;SOX11;GBP1;HOXC6
LJP006 A549 24H-OSI-027-3.33	4/29	2.0057339446833664E-4	0.2635283686570858	0	0	15.897085427135679	135.35303646781324	CXCL10;CXCL9;CSTA;IDO1
LJP008 MCF7 24H-GSK-461364-0.04	6/92	3.5076594978323856E-4	0.32971124565512294	0	0	6.980639830008263	55.5337218373357	TFAP2B;CXCL10;ADAMDEC1;CXCL9;CDKN2C;HOXC6
LJP005 BT20 3H-BYL719-1.11	4/34	3.7641850897740227E-4	0.32971124565512294	0	0	13.244221105527638	104.42815347644509	CXCL10;CXCL9;GBP1;IDO1
LJP006 PC3 24H-PD-173074-10	4/34	3.7641850897740227E-4	0.32971124565512294	0	0	13.244221105527638	104.42815347644509	CXCL10;SPARC;CDKN2C;IDO1
LJP007 HEPG2 24H-doramapimod-0.37	4/34	3.7641850897740227E-4	0.32971124565512294	0	0	13.244221105527638	104.42815347644509	TFAP2B;TMSB15A;SOX11;AQP1
LJP007 HCC515 24H-TPCA-1-10	6/95	4.1692055924369854E-4	0.32976501509972783	0	0	6.744310728340843	52.488372892986355	TFAP2A;CXCL10;CXCL9;CDKN2C;HOXB7;GBP1
LJP005 HS578T 24H-TG-101348-10	7/135	4.632080258578193E-4	0.32976501509972783	0	0	5.488002232142857	42.13322780205612	CXCL10;CXCL9;CSTA;SPARC;CDKN2C;HOXB7;GBP1
LJP005 MCF10A 3H-nilotinib-10	4/36	4.705998693269829E-4	0.32976501509972783	0	0	12.415201005025125	95.11909179173335	TFAP2A;TMSB15A;SOX11;IDO1
LJP006 HME1 24H-BI-2536-0.37	6/102	6.092200114204333E-4	0.3734829181923715	0	0	6.250317258883249	46.27316807752393	TFAP2B;CXCL9;CSTA;SPARC;SOX11;GBP1
LJP009 PC3 24H-dabrafenib-3.33	4/39	6.416997131321152E-4	0.3734829181923715	0	0	11.349318018664752	83.43326412701819	TFAP2B;CXCL9;SPARC;GBP1
LJP005 SKBR3 3H-BX-912-1.11	4/40	7.073839063017471E-4	0.3734829181923715	0	0	11.033500837520938	80.03632031727817	CXCL10;CXCL9;GBP1;AQP1
LJP006 MCF7 3H-radicicol-10	4/40	7.073839063017471E-4	0.3734829181923715	0	0	11.033500837520938	80.03632031727817	CXCL10;CXCL9;SPARC;GBP1
LJP006 A375 24H-BI-2536-0.04	5/70	7.269376232031596E-4	0.3734829181923715	0	0	7.665889665889666	55.39885398548438	TFAP2B;CXCL9;SPARC;SOX11;GBP1
LJP005 HS578T 3H-PD-184352-0.12	4/41	7.776859190360006E-4	0.3734829181923715	0	0	10.73475485535787	76.85212619328468	CXCL10;CXCL9;CSTA;GBP1
LJP008 HA1E 24H-I-BET151-0.12	5/72	8.267449198441016E-4	0.3734829181923715	0	0	7.4363033318257195	52.782987766585265	CXCL10;CXCL9;GBP1;AQP1;IDO1
LJP005 HS578T 3H-torin-2-0.04	4/42	8.527818510719167E-4	0.3734829181923715	0	0	10.451732345940227	73.86246341792808	CXCL10;CXCL9;CSTA;GBP1
LJP006 HS578T 3H-ZSTK-474-10	4/42	8.527818510719167E-4	0.3734829181923715	0	0	10.451732345940227	73.86246341792808	CXCL10;TMSB15A;SOX11;GBP1
LJP006 HS578T 3H-WYE-125132-0.04	4/44	0.0010180610208560634	0.42206323015944697	0	0	9.928140703517588	68.40345404408369	CXCL10;CXCL9;CSTA;IDO1
LJP006 A375 24H-BI-2536-0.37	5/77	0.0011207654750346326	0.42206323015944697	0	0	6.918139730639731	47.00006590891604	CXCL9;SPARC;SOX11;HOXB7;GBP1
LJP006 HME1 24H-QL-XII-47-0.37	7/157	0.001130966977316242	0.42206323015944697	0	0	4.6778571428571425	31.737774465746412	CXCL10;CXCL9;CSTA;SPARC;GBP1;AQP1;HOXC6
LJP009 HEPG2 24H-sunitinib-1.11	5/78	0.0011877989296093336	0.42206323015944697	0	0	6.823024768230248	45.95752945670448	CXCL10;CXCL9;GBP1;SLC16A4;AQP1
LJP009 MCF7 24H-KIN001-220-0.37	4/46	0.001204632946892152	0.42206323015944697	0	0	9.454414931801866	63.54860978546696	SPARC;CDKN2C;HP;AQP1
LJP008 MCF7 24H-PD-0325901-10	4/46	0.001204632946892152	0.42206323015944697	0	0	9.454414931801866	63.54860978546696	CXCL10;CXCL9;SPARC;VNN1
LJP006 LNCAP 3H-OSI-027-10	3/22	0.001376142919863912	0.450350812334301	0	0	15.614210526315789	102.87376822343899	CXCL9;CSTA;TMSB15A
LJP008 HCC515 24H-belinostat-3.33	5/81	0.0014067364003860388	0.450350812334301	0	0	6.552698032961191	43.0281793666993	CXCL10;CXCL9;CSTA;MTHFD2;IDO1
LJP006 PC3 24H-sirolimus-1.11	4/48	0.001413907031398719	0.450350812334301	0	0	9.023755139333028	59.20845309563053	CXCL10;CXCL9;CSTA;GBP1
LJP005 HS578T 3H-NVP-AEW541-10	4/49	0.0015274962887148478	0.464786782001541	0	0	8.822780569514238	57.20801467685639	CXCL10;CSTA;ID3;GBP1
LJP006 HCC515 24H-BMS-387032-0.37	6/122	0.0015476679069597503	0.464786782001541	0	0	5.1674251706634	33.43843957957997	TFAP2B;CDKN2C;CDK4;ID3;HOXB7;HOXC6
