Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-0.37	30/100	4.4069588145004273E-23	8.389086799283014E-19	0	0	15.816326530612244	814.1655312521001	TOP2A;PCNA;BUB1B;NCAPG;MKI67;FOXM1;NCAPH;KIF15;LMNB1;PTTG1;NUSAP1;E2F2;MYBL2;TK1;BUB1;CA12;GINS2;RRM2;IGFBP2;PLK1;TPX2;ASPM;KIFC1;KIF4A;CDK2;ID3;DTL;ASF1B;EZH2;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	34/143	2.3637135563275574E-22	2.249782562912569E-18	0	0	11.576608145943757	576.476166532243	TOP2A;PCNA;NCAPG;MKI67;FOXM1;NCAPH;KIF15;LMNB1;CCNB2;PTTG1;NUSAP1;E2F2;MYBL2;TK1;BUB1;GINS2;RRM2;GDF15;IGFBP2;PLK1;SOX11;TPX2;ASPM;MELK;KIFC1;TMSB15A;KIF4A;CDK2;ID3;CHI3L1;DTL;ASF1B;EZH2;SPC25
LJP006 LNCAP 24H-palbociclib-10	36/180	7.070806668890412E-21	4.486662524966596E-17	0	0	9.297206165703276	431.374675956497	TOP2A;PCNA;BUB1B;NCAPG;MKI67;FOXM1;NCAPH;KIF15;LMNB1;CCNB2;PTTG1;EXO1;NUSAP1;MYBL2;TK1;BUB1;HOXC6;E2F8;CA12;GINS2;CDKN2C;RRM2;IGFBP2;PLK1;TPX2;ASPM;WEE1;MELK;RAD51;KIFC1;KIF4A;CDK2;DTL;ASF1B;EZH2;SPC25
LJP006 MCF10A 24H-palbociclib-3.33	30/121	1.9699830972832562E-20	9.375149559971016E-17	0	0	12.153218210361068	551.4361963384194	TOP2A;KIF14;BUB1B;NCAPG;MKI67;FOXM1;NCAPH;KIF15;LMNB1;CCNB2;PTTG1;EXO1;NUSAP1;E2F2;MYBL2;TK1;BUB1;GINS2;POSTN;ANXA1;CDKN2C;RRM2;PLK1;TPX2;ASPM;KIF4A;DTL;ASF1B;EZH2;SPC25
LJP006 HME1 24H-palbociclib-1.11	30/124	4.2182160725364825E-20	1.4030517158513894E-16	0	0	11.763525835866261	524.7978207519283	TOP2A;KIF14;NCAPG;MKI67;FOXM1;KIF15;LMNB1;CCNB2;PTTG1;NUSAP1;RCC1;MYBL2;TK1;BUB1;HOXC6;GINS2;CDKN2C;RRM2;PLK1;TPX2;ASPM;MELK;KIFC1;KIF4A;CDK2;DTL;ASF1B;EZH2;LTF;SPC25
LJP006 BT20 24H-palbociclib-0.37	35/178	4.4652123079618376E-20	1.4030517158513894E-16	0	0	9.085126412049489	404.79130594658307	TOP2A;SLC43A3;KIF14;BUB1B;NCAPG;MKI67;FOXM1;NCAPH;KIF15;LMNB1;CCNB2;PTTG1;EXO1;NUSAP1;MYBL2;BUB1;E2F8;GINS2;ANXA1;CDKN2C;RRM2;PLK1;TPX2;ASPM;RAD51;KIFC1;TMSB15A;KIF4A;CDK2;TAGLN2;KIF2C;DTL;ASF1B;EZH2;SPC25
LJP005 A549 24H-dovitinib-10	38/215	5.3623841802926737E-20	1.4030517158513894E-16	0	0	8.001223923329945	355.0326536763439	TOP2A;ARHGAP11A;ERCC6L;KIF14;NCAPG;BUB1B;MKI67;FOXM1;NCAPH;SKA1;KIF15;LMNB1;CCNB2;BRIP1;PTTG1;EXO1;NUSAP1;MYBL2;TK1;BUB1;E2F8;GINS2;POLQ;RRM2;PLK1;TPX2;ASPM;RAD51;KIFC1;KIF4A;CDK2;ID3;KIF2C;NES;DTL;ASF1B;SPC25;LTF
LJP006 BT20 24H-palbociclib-10	34/168	5.896414019127503E-20	1.4030517158513894E-16	0	0	9.40461798493139	416.41163254859333	TOP2A;PCNA;KIF14;NCAPG;MKI67;FOXM1;NCAPH;KIF15;LMNB1;CCNB2;PTTG1;EXO1;NUSAP1;MYBL2;IGF2BP3;TK1;BUB1;E2F8;GINS2;CDKN2C;RRM2;PLK1;TPX2;ASPM;MELK;RAD51;KIFC1;TMSB15A;KIF4A;CDK2;DTL;ASF1B;EZH2;SPC25
LJP006 HT29 24H-palbociclib-0.37	36/195	1.1682764595349064E-19	2.263278907699851E-16	0	0	8.413567455556768	366.77758666883216	TOP2A;PCNA;KIF14;NCAPG;BUB1B;MKI67;FOXM1;NCAPH;SKA1;KIF15;LMNB1;CCNB2;PTTG1;MDK;EXO1;NUSAP1;MYBL2;TK1;BUB1;E2F8;GINS2;CDKN2C;RRM2;PLK1;WDR76;TPX2;ASPM;MELK;RAD51;TMSB15A;KIFC1;KIF4A;DTL;ASF1B;EZH2;SPC25
LJP006 BT20 24H-PHA-793887-3.33	35/184	1.383774213571989E-19	2.263278907699851E-16	0	0	8.716572018585442	378.5110562931572	TOP2A;PCNA;KIF14;BUB1B;NCAPG;MKI67;FOXM1;NCAPH;KIF15;LMNB1;CCNB2;PTTG1;EXO1;NUSAP1;RCC1;MYBL2;TK1;BUB1;E2F8;GINS2;CDKN2C;RRM2;PLK1;TPX2;ASPM;WEE1;MELK;RAD51;KIFC1;TMSB15A;KIF4A;CDK2;DTL;ASF1B;SPC25
