Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP007 HEPG2 24H-dasatinib-10	4/16	3.178985505164967E-4	0.9988146398822392	0	0	15.230529595015577	122.66330798246862	CA12;TNC;IGFBP7;CD44
LJP005 BT20 24H-PD-0325901-10	4/26	0.0022015917851151774	0.9988146398822392	0	0	8.303313508920986	50.80444347658225	VNN1;FN1;LPL;CD44
LJP009 HEPG2 24H-KIN236-10	5/44	0.0024946048687225645	0.9988146398822392	0	0	5.863508076622831	35.143668194507846	CA12;IL1R2;ID3;HOXB7;EGFR
LJP005 HA1E 24H-PF-477736-3.33	6/67	0.003222847383778667	0.9988146398822392	0	0	4.50404063726622	25.841888248755414	CA12;LOX;ANXA5;TNC;HOXB7;HOXC6
LJP005 PC3 24H-crizotinib-10	4/31	0.0042566842275668934	0.9988146398822392	0	0	6.763932156455521	36.926096542674	CA12;ID3;HOXB7;HOXC10
LJP006 A549 24H-XMD-1150-10	4/32	0.0047831071883116145	0.9988146398822392	0	0	6.522029372496662	34.8450174330373	CA12;FN1;IGFBP7;CD44
LJP006 A549 24H-lapatinib-10	3/19	0.007497576212052062	0.9988146398822392	0	0	8.545454545454545	41.81440866776045	ANXA1;TNC;CD44
LJP005 MDAMB231 3H-torin-2-1.11	5/57	0.007657794632844073	0.9988146398822392	0	0	4.394703656998739	21.411133523358654	SPARC;IL1R2;FN1;CHI3L1;ID3
LJP005 HS578T 3H-NVP-AUY922-0.04	3/20	0.008681215412647344	0.9988146398822392	0	0	8.042369395310573	38.173860191273725	CA12;LOX;F2R
LJP007 A549 24H-tivozanib-10	2/7	0.009096976303594932	0.9988146398822392	0	0	18.198139534883722	85.52785631058697	ANXA1;HOXC6
LJP006 PC3 24H-BI-2536-10	7/109	0.009448156623959937	0.9988146398822392	0	0	3.1432987312572087	14.653856328199167	CA12;SPARC;ANXA1;LOX;TGFB1I1;HOXB7;HOXC6
LJP009 A375 24H-GSK1059615-10	5/60	0.009479162701946294	0.9988146398822392	0	0	4.154353842878433	19.35371912073014	CA12;FKBP10;SPARC;TNC;PPIC
LJP006 LNCAP 3H-ZSTK-474-10	3/21	0.00996813239485414	0.9988146398822392	0	0	7.595182595182595	35.001351120816835	LOX;FN1;ID3
LJP007 HA1E 24H-WZ-4002-0.37	4/40	0.010621169585283627	0.9988146398822392	0	0	5.07061266874351	23.04545864560499	CHI3L1;CD44;HOXC6;PPIC
LJP009 HA1E 24H-vorinostat-10	8/142	0.012116222214571567	0.9988146398822392	0	0	2.736412278231484	12.076362154638126	CA12;SPARC;ANXA1;LOX;TGFB1I1;IGFBP7;HOXB7;CD44
