Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-palbociclib-0.37	48/129	2.3946385950287705E-33	3.071873816485981E-29	0	0	14.601481481481482	1096.7475830862109	TOP2A;SPARC;TROAP;HJURP;BUB1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;RRM2;PLK1;KIF23;NDC80;CCNA2;TPX2;NEIL3;KIF18A;KIFC1;KIF4A;CDK1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-3.33	53/163	2.9419851711784525E-33	3.071873816485981E-29	0	0	11.930944510035419	893.701995880007	TOP2A;HJURP;KIF15;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;EMP3;CDC25C;CCNA2;NEIL3;KIFC1;DEPDC1;BIRC5;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;RAD51;KIF4A;CDK1;CENPM;PLP2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-10	53/168	1.658559610674787E-32	1.1545233449907192E-28	0	0	11.409215132693394	834.8895510590677	TOP2A;SPARC;HJURP;KIF15;CDC20;CSRP2;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;NEIL3;KIFC1;BIRC5;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;IGF2BP3;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK1;CENPM;PLP2;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-0.37	56/195	7.13354511209374E-32	3.183633005595187E-28	0	0	9.999981240561658	717.177801154994	TOP2A;HJURP;BUB1B;KIF15;CDC20;CSRP2;PTTG1;MDK;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;WDR76;CCNA2;NEIL3;KIFC1;DEPDC1;BIRC5;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK1;CENPM;PLP2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-10	54/180	7.622547061234464E-32	3.183633005595187E-28	0	0	10.617313765558238	760.7476506797607	TOP2A;HJURP;BUB1B;KIF15;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;IGFBP2;F2R;KIF23;CCNA2;NEIL3;KIFC1;DEPDC1;BIRC5;KIF20A;ASF1B;TMEM45A;NNMT;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;CA12;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;WEE1;RAD51;KIF4A;CDK1;SPC25
LJP006 A375 24H-palbociclib-10	50/154	2.118862125811713E-31	7.374699628887667E-28	0	0	11.862498756095134	837.8394931325968	TOP2A;HJURP;BUB1B;KIF15;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;KIFC1;DEPDC1;BIRC5;KIF20A;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;KIF4A;CDK1;CENPM;APOBEC3B;SPC25
LJP006 BT20 24H-PHA-793887-3.33	54/184	2.6562520177326486E-31	7.924358698044414E-28	0	0	10.28846653996199	724.3411914811078	TOP2A;HJURP;BUB1B;KIF15;CDC20;PTTG1;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;RAD51;KIF4A;CDK1;CENPM;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-3.33	49/150	6.180069134436115E-31	1.6132297966803674E-27	0	0	11.956967789802237	831.7124318300434	TOP2A;HJURP;BUB1B;KIF15;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;IGFBP2;KIF23;CCNA2;NEIL3;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;BUB1;GINS2;CDKN2C;RRM2;PLK1;NDC80;TPX2;RAD51;KIF4A;CDK1;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-1.11	45/124	8.866351731666784E-31	2.0572891468044164E-27	0	0	13.982786111743842	967.5790781755812	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;PLK1;KIF23;CDC25C;NDC80;CCNA2;TPX2;NEIL3;KIF18A;KIFC1;KIF4A;CDK1;DEPDC1;CKS2;BIRC5;KIF20A;ASF1B;SPC25
LJP006 HME1 24H-palbociclib-10	57/215	2.154200001773236E-30	4.4986158637030494E-27	0	0	8.95729087483888	611.8737342409546	TOP2A;HJURP;BUB1B;KIF15;CDC20;CSRP2;PTTG1;EXO1;PBK;NUSAP1;RCC1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;WEE1;RAD51;KIF4A;CDK1;CENPM;APOBEC3B;SPC25
