Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP009 HEPG2 24H-dasatinib-10	9/57	5.244273140142158E-6	0.07668176185515863	0	0	8.177852348993289	99.4293866169212	CA12;MS4A6A;ST14;PLA2G2A;TNC;SPP1;S100A4;TAGLN2;TGFBI
LJP008 HA1E 24H-(+)-JQ1-0.04	9/62	1.0692573775987087E-5	0.0781734068762416	0	0	7.404457388881854	84.75113121813408	CXCL10;NMB;SRPX2;LOX;IGFBP3;CHI3L2;CHI3L1;GBP1;CD44
LJP005 MCF7 24H-linsitinib-0.37	7/39	2.5019792163225863E-5	0.12194646700356286	0	0	9.506124721603564	100.72540850869606	CXCL10;NNMT;TNC;SPP1;HAS2;GBP1;PITX1
LJP006 HS578T 24H-JW-7-24-1-0.12	5/19	5.3806750448983235E-5	0.16070385388306607	0	0	15.465631929046562	152.02888822356178	TNC;CHI3L2;TAGLN2;EMP3;CD44
LJP009 HA1E 24H-JWE-035-3.33	8/59	5.495276086823488E-5	0.16070385388306607	0	0	6.825280112044818	66.94942266384531	CA12;CXCL10;IGFBP3;PLA2G2A;EMP3;GBP1;TMEM45A;LTF
LJP008 HA1E 24H-dasatinib-1.11	10/96	6.742290388944924E-5	0.1643096167785878	0	0	5.0730003128584835	48.72376227387959	FOXD1;NNMT;PRDX4;LOX;IGFBP3;TNC;CHI3L2;HAS2;TAGLN2;TGFBI
LJP008 PC3 24H-I-BET-0.04	6/33	8.926037907499365E-5	0.16438288635431386	0	0	9.638024691358025	89.8644878077584	LOX;IGFBP3;CHI3L2;S100A4;LYZ;LTF
LJP005 PC3 24H-AZD-6482-0.37	6/34	1.0631867270432129E-4	0.16438288635431386	0	0	9.293333333333333	85.02535373922865	ANXA2;LOX;MDK;TNC;SPP1;GBP1
LJP008 PC3 24H-I-BET-0.37	8/65	1.1102844288134884E-4	0.16438288635431386	0	0	6.104949874686716	55.589989492003426	CA12;SFRP4;CSTA;IGFBP3;S100A4;IGFBP7;S100A11;CD99
LJP006 HME1 24H-BI-2536-1.11	10/102	1.1278041593393061E-4	0.16438288635431386	0	0	4.7406901930200815	43.09319551787525	CA12;CD163;NNMT;ANXA1;LOX;MDK;SLC43A3;TNC;PLP2;GBP1
LJP006 HCC515 24H-A443654-1.11	12/145	1.2505802734126228E-4	0.16438288635431386	0	0	3.9445234708392602	35.448378099365655	CA12;NNMT;ANXA1;DYNLT1;PLA2G2A;TNC;CHI3L1;TAGLN2;TGFBI;CD44;PPIC;LTF
LJP006 HS578T 24H-GSK-1059615-3.33	7/51	1.4881748516852404E-4	0.16438288635431386	0	0	6.909293379226564	60.89015114775549	MTHFD2;TNC;CHI3L2;TAGLN2;EMP3;GBP1;S100A11
