Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-palbociclib-1.11	34/124	1.943029757018858E-32	3.7308114364519096E-28	0	0	25.603921568627452	1869.5592939167357	TROAP;HJURP;KIF14;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;LMNB1;AURKA;CDC20;RCC1;MYBL2;TK1;CEP55;DLGAP5;HOXC6;RRM2;PLK1;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;DEPDC1;KIF20A;DTL;ASF1B;EZH2;LTF
LJP005 A549 24H-dovitinib-10	41/215	4.7962916465646963E-32	4.604679795284437E-28	0	0	16.29622157006603	1175.2000618398909	ERCC6L;TROAP;KIF14;HJURP;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;SKA1;LMNB1;AURKA;CDC20;BRIP1;EXO1;MYBL2;TK1;CEP55;DLGAP5;E2F8;POLQ;RRM2;PLK1;LYZ;TPX2;ASPM;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;DEPDC1;ID3;KIF2C;KIF20A;HOXB7;DTL;ASF1B;APOBEC3B;LTF
LJP006 HCC515 24H-palbociclib-1.11	34/139	1.3774985334610531E-30	7.912164955448494E-27	0	0	21.929411764705883	1507.806783720726	TROAP;HJURP;KIF14;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;LMNB1;AURKA;CDC20;EXO1;MYBL2;TK1;CEP55;DLGAP5;E2F8;RRM2;PLK1;TPX2;ASPM;MELK;KIF18B;ESPL1;KIF4A;DEPDC1;KIF2C;KIF20A;HOXB7;DTL;ASF1B;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-0.37	37/178	1.99450529365975E-30	7.912164955448494E-27	0	0	17.924713584288053	1225.8201974680544	SLC43A3;TROAP;HJURP;TNC;KIF14;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;LMNB1;AURKA;CDC20;EXO1;MYBL2;CEP55;DLGAP5;E2F8;RRM2;PLK1;TPX2;ASPM;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;DEPDC1;TAGLN2;KIF2C;KIF20A;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-0.37	33/129	2.0603523137983683E-30	7.912164955448494E-27	0	0	23.21023706896552	1586.5282299864718	TROAP;HJURP;KIF14;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;LMNB1;AURKA;CDC20;EXO1;E2F2;MYBL2;TK1;CEP55;DLGAP5;RRM2;PLK1;TPX2;ASPM;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF2C;KIF20A;DTL;ASF1B;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-0.12	32/120	3.747827457547411E-30	1.1993672502061305E-26	0	0	24.478600437363323	1658.5812665061208	TROAP;HJURP;KIF14;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;LMNB1;AURKA;CDC20;CSRP2;MYBL2;CEP55;DLGAP5;RRM2;PLK1;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP005 HEPG2 24H-dovitinib-10	37/186	1.0918368588177743E-29	2.994908503737155E-26	0	0	16.955366780870136	1130.7043456396093	TROAP;HJURP;TNC;KIF14;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;LMNB1;AURKA;CDC20;EXO1;MYBL2;TK1;CEP55;DLGAP5;E2F8;POSTN;RRM2;PLK1;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;HOXB7;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 BT20 24H-palbociclib-3.33	35/163	2.4127292247968247E-29	5.790851730665479E-26	0	0	18.56051974826389	1223.030769884224	TROAP;HJURP;TNC;KIF14;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;LMNB1;AURKA;CDC20;EXO1;MYBL2;TK1;CEP55;DLGAP5;E2F8;RRM2;PLK1;TPX2;ASPM;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;DEPDC1;KIF20A;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP005 A549 24H-NVP-BEZ235-3.33	36/177	2.8690534007782824E-29	6.120966038704867E-26	0	0	17.379494402846763	1142.19750046319	TROAP;HJURP;KIF14;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;LMNB1;AURKA;CDC20;CSRP2;EXO1;MYBL2;TK1;CEP55;DLGAP5;E2F8;POLQ;RRM2;PLK1;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;DEPDC1;KIF20A;DTL;ASF1B;EZH2;LTF
LJP005 A549 24H-TG-101348-10	37/194	5.489520277316167E-29	1.054042788447477E-25	0	0	16.08480691283239	1046.6725954084545	CSTA;NNMT;TROAP;KIF14;HJURP;TNC;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;SKA1;AURKA;CDC20;EXO1;MYBL2;TK1;CEP55;DLGAP5;RRM2;IGFBP3;PLK1;TPX2;ASPM;MELK;KIF18B;ESPL1;KIF4A;CDK2;ID3;KIF20A;HOXB7;DTL;ASF1B;APOBEC3B;LTF
LJP006 HT29 24H-palbociclib-0.37	37/195	6.680041241658644E-29	1.166031562555342E-25	0	0	15.982185535983005	1036.857768186116	TROAP;KIF14;HJURP;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;SKA1;LMNB1;AURKA;CDC20;CSRP2;MDK;EXO1;MYBL2;TK1;CEP55;DLGAP5;E2F8;RRM2;PLK1;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-10	35/168	7.344312413678607E-29	1.1751511887920244E-25	0	0	17.858187134502923	1156.8719619540227	TROAP;HJURP;KIF14;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;LMNB1;AURKA;CDC20;CSRP2;EXO1;MYBL2;TK1;CEP55;DLGAP5;E2F8;RRM2;PLK1;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;KIF20A;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP005 A549 24H-GDC-0980-1.11	36/184	1.2274309418990998E-28	1.8129155011849705E-25	0	0	16.551558527168282	1063.7266137294564	CSTA;HJURP;TNC;KIF14;CDCA8;TTK;HMMR;MKI67;CENPA;SKA1;LMNB1;AURKA;CDC20;CSRP2;EXO1;MYBL2;TK1;CEP55;DLGAP5;E2F8;RRM2;PLK1;TPX2;ASPM;MELK;KIF18B;ESPL1;KIF4A;CDK2;DEPDC1;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP005 A549 24H-NVP-BEZ235-0.04	35/172	1.7397096269989197E-28	2.3496636483334154E-25	0	0	17.33323195458232	1107.9170360221526	HJURP;KIF14;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;LMNB1;AURKA;CDC20;CSRP2;EXO1;MYBL2;TK1;CEP55;DLGAP5;E2F8;POLQ;RRM2;PLK1;TPX2;ASPM;MELK;KIF18B;ESPL1;KIF4A;CDK2;DEPDC1;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 HME1 24H-palbociclib-10	38/215	1.8355791221812006E-28	2.3496636483334154E-25	0	0	14.689265536723164	938.1302751012192	TROAP;KIF14;HJURP;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;SKA1;LMNB1;AURKA;CDC20;CSRP2;EXO1;RCC1;MYBL2;TK1;CEP55;DLGAP5;E2F8;RRM2;PLK1;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;DEPDC1;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 A549 24H-ZSTK-474-10	32/135	2.279503244639317E-28	2.7355463625199707E-25	0	0	20.897741300503785	1330.108321083437	CSTA;HJURP;KIF14;CDCA8;TTK;HMMR;MKI67;CENPA;LMNB1;AURKA;CSRP2;EXO1;MYBL2;TK1;CEP55;DLGAP5;HOXC6;E2F8;RRM2;PLK1;TPX2;ASPM;MELK;KIF18B;ESPL1;MTHFD2;KIF4A;KIF20A;DTL;ASF1B;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-3.33	33/150	4.383719520373106E-28	4.951282265334353E-25	0	0	19.02387267904509	1198.3990627736086	TROAP;HJURP;KIF14;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;SKA1;LMNB1;AURKA;CDC20;EXO1;MYBL2;TK1;CEP55;DLGAP5;E2F8;RRM2;PLK1;TPX2;ASPM;KIF18B;ESPL1;KIF4A;DEPDC1;KIF2C;KIF20A;DTL;ASF1B;EZH2;APOBEC3B
