Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-palbociclib-0.37	22/129	1.8623900810836833E-9	1.645070614492126E-5	0	0	5.508554996405464	110.72969596265953	TOP2A;SPARC;BUB1B;NCAPG;MCM10;TTK;KIF15;LMNB1;CCNA2;TPX2;ASPM;NEIL3;TMSB15A;NUSAP1;CDK1;PBK;CKS2;OIP5;KIF2C;BUB1;CEP55;DLGAP5
LJP006 PC3 24H-palbociclib-10	19/98	2.585775879428051E-9	1.645070614492126E-5	0	0	6.426007545573146	127.06299090067712	TOP2A;CDKN2C;BUB1B;NCAPG;MCM10;TTK;KIF15;LMNB1;CCNA2;TPX2;ASPM;NEIL3;NUSAP1;CDK1;PBK;OIP5;BUB1;CEP55;DLGAP5
LJP006 A375 24H-palbociclib-0.37	19/107	1.1887908289475289E-8	5.042058169176119E-5	0	0	5.766095847049886	105.21824126284712	TOP2A;CDKN2C;BUB1B;NCAPG;MCM10;TTK;KIF15;LMNB1;CCNA2;TPX2;ASPM;NEIL3;TMSB15A;NUSAP1;CDK1;PBK;BUB1;CEP55;DLGAP5
LJP006 MDAMB231 24H-palbociclib-0.37	19/113	2.998190084425643E-8	7.146402443507826E-5	0	0	5.396358086884372	93.47934082355732	TOP2A;PCNA;CDKN2C;NCAPG;MCM10;TTK;KIF15;LMNB1;CCNA2;TPX2;ASPM;TMSB15A;NUSAP1;CDK1;PBK;OIP5;BUB1;CEP55;DLGAP5
LJP006 HCC515 24H-palbociclib-3.33	22/150	3.28323027524438E-8	7.146402443507826E-5	0	0	4.599759615384615	79.26238137207825	TOP2A;PCNA;CDKN2C;BUB1B;NCAPG;MCM10;TTK;KIF15;LMNB1;CCNA2;TPX2;ASPM;NEIL3;NUSAP1;CDK1;PBK;CKS2;OIP5;KIF2C;BUB1;CEP55;DLGAP5
LJP006 A375 24H-AZD-5438-1.11	23/163	3.369884836611676E-8	7.146402443507826E-5	0	0	4.4000500200080035	75.70639019681322	TOP2A;SPARC;BUB1B;NCAPG;TTK;CDC25C;KIF15;LMNB1;CCNA2;TPX2;ASPM;NEIL3;TMSB15A;CENPI;NUSAP1;CDK1;PBK;CKS2;ID3;OIP5;BUB1;CEP55;DLGAP5
LJP006 MCF7 24H-palbociclib-0.12	17/94	5.2534964337667344E-8	8.355686077905991E-5	0	0	5.883152958152958	98.6121561942886	TOP2A;PCNA;NCAPG;MCM10;TTK;KIF15;LMNB1;CCNA2;ASPM;TPX2;NEIL3;PBK;NUSAP1;CDK1;BUB1;CEP55;DLGAP5
LJP006 MDAMB231 24H-palbociclib-0.12	17/94	5.2534964337667344E-8	8.355686077905991E-5	0	0	5.883152958152958	98.6121561942886	TOP2A;PCNA;NCAPG;MCM10;KIF15;LMNB1;CCNA2;ASPM;TPX2;NEIL3;PBK;NUSAP1;CDK1;OIP5;BUB1;CEP55;DLGAP5
LJP006 LNCAP 24H-palbociclib-1.11	21/143	6.571356034170411E-8	9.235526618403207E-5	0	0	4.601623317153585	76.10146481536799	TOP2A;SPARC;PCNA;NCAPG;SOX11;MCM10;TTK;KIF15;LMNB1;CCNA2;TPX2;ASPM;TMSB15A;NUSAP1;CDK1;PBK;ID3;OIP5;BUB1;CEP55;DLGAP5
LJP006 HCC515 24H-palbociclib-0.12	17/96	7.25835163345112E-8	9.235526618403207E-5	0	0	5.7336146272855135	94.25218452664501	TOP2A;BUB1B;NCAPG;TTK;KIF15;CCNA2;ASPM;TPX2;NEIL3;TMSB15A;PBK;NUSAP1;CDK1;OIP5;BUB1;CEP55;DLGAP5
