Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-10	38/180	3.0044083035339935E-34	5.676228607866774E-30	0	0	22.206731916925282	1714.089059822918	TOP2A;NNMT;PCNA;BUB1B;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;KIF15;LMNB1;CDC20;CCNB2;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CA12;GINS2;CDKN2C;RRM2;F2R;KIF23;NDC80;TPX2;KIF18A;WEE1;MELK;RAD51;KIF4A;CDK2;DEPDC1;ASF1B;TMEM45A
LJP006 BT20 24H-palbociclib-0.37	37/178	4.264354873037301E-33	4.028322830814686E-29	0	0	21.68492084866984	1616.2859475692608	TOP2A;SLC43A3;TNC;BUB1B;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;KIF15;LMNB1;CDC20;CCNB2;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;GINS2;ANXA1;CDKN2C;RRM2;KIF23;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK2;DEPDC1;KIF2C;PLP2;ASF1B;APOBEC3B
LJP005 A549 24H-dovitinib-10	39/215	1.9412385311790214E-32	9.168954892391312E-29	0	0	18.434477756286267	1346.07444587141	TOP2A;ARHGAP11A;NCAPG;CDCA8;BUB1B;TTK;HMMR;MKI67;TYMS;FOXM1;SKA1;KIF15;LMNB1;CDC20;CCNB2;BRIP1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;GINS2;RRM2;KIF23;LYZ;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK2;DEPDC1;ID3;KIF2C;NES;ASF1B;APOBEC3B;LTF
LJP006 HME1 24H-palbociclib-10	39/215	1.9412385311790214E-32	9.168954892391312E-29	0	0	18.434477756286267	1346.07444587141	TOP2A;PCNA;NCAPG;CDCA8;BUB1B;TTK;HMMR;MKI67;TYMS;FOXM1;SKA1;KIF15;LMNB1;CDC20;CCNB2;CSRP2;NUSAP1;RCC1;OIP5;BUB1;CEP55;DLGAP5;E2F8;GINS2;CDKN2C;RRM2;KIF23;NDC80;TPX2;KIF18A;WEE1;MELK;RAD51;KIF4A;CDK2;DEPDC1;ASF1B;APOBEC3B;LTF
LJP006 BT20 24H-palbociclib-3.33	35/163	7.259286860040255E-32	2.7429941329348107E-28	0	0	22.421875	1607.6583340771003	TOP2A;PCNA;TNC;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;KIF15;LMNB1;CDC20;CCNB2;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;GINS2;CDKN2C;RRM2;KIF23;EMP3;NDC80;TPX2;WEE1;RAD51;KIF4A;CDK2;DEPDC1;PLP2;ASF1B;APOBEC3B
LJP006 HT29 24H-palbociclib-0.37	37/195	1.4885378763181182E-31	4.687157682879701E-28	0	0	19.33493564065588	1372.4390438857045	TOP2A;PCNA;NCAPG;CDCA8;BUB1B;TTK;HMMR;MKI67;TYMS;FOXM1;SKA1;KIF15;LMNB1;CDC20;CCNB2;CSRP2;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;GINS2;CDKN2C;RRM2;KIF23;WDR76;NDC80;TPX2;KIF18A;MELK;RAD51;KIF4A;DEPDC1;PLP2;ASF1B;APOBEC3B
LJP006 BT20 24H-palbociclib-10	35/168	2.2366965103192575E-31	6.036843881351676E-28	0	0	21.573441973133672	1522.5486417499135	TOP2A;SPARC;PCNA;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;KIF15;LMNB1;CDC20;CCNB2;CSRP2;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;GINS2;CDKN2C;RRM2;KIF23;NDC80;TPX2;KIF18A;MELK;RAD51;KIF4A;CDK2;PLP2;ASF1B;APOBEC3B
LJP006 HME1 24H-palbociclib-1.11	31/124	1.589534370367291E-30	3.753884107418654E-27	0	0	26.931412894375857	1847.8749716390976	TOP2A;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;KIF15;LMNB1;CDC20;CCNB2;NUSAP1;RCC1;OIP5;BUB1;CEP55;DLGAP5;GINS2;CDKN2C;RRM2;KIF23;NDC80;TPX2;KIF18A;MELK;KIF4A;CDK2;DEPDC1;ASF1B;LTF
LJP005 A549 24H-TG-101348-10	36/194	2.3547540657694874E-30	4.943152062731436E-27	0	0	18.73332624188916	1278.008431951904	TOP2A;CSTA;NNMT;TNC;NCAPG;CDCA8;TTK;HMMR;MKI67;TYMS;FOXM1;SKA1;KIF15;CDC20;OIP5;PITX1;GBP1;BUB1;CEP55;DLGAP5;GINS2;RRM2;KIF23;TPX2;KIF18A;MELK;RAD51;COL4A2;COL4A1;KIF4A;CDK2;ID3;NES;ASF1B;APOBEC3B;LTF
LJP006 BT20 24H-PHA-793887-3.33	35/184	6.383153752258434E-30	1.2059692384141858E-26	0	0	19.24110527645952	1293.4619541279546	TOP2A;PCNA;BUB1B;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;KIF15;LMNB1;CDC20;CCNB2;NUSAP1;RCC1;OIP5;BUB1;CEP55;DLGAP5;E2F8;GINS2;CDKN2C;RRM2;KIF23;NDC80;TPX2;WEE1;MELK;RAD51;KIF4A;CDK2;DEPDC1;ASF1B;APOBEC3B
LJP006 LNCAP 24H-palbociclib-1.11	32/143	8.226560812949767E-30	1.412949213082363E-26	0	0	23.366837912292457	1564.8814519319653	TOP2A;SPARC;PCNA;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;KIF15;LMNB1;CDC20;CCNB2;CSRP2;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;GINS2;RRM2;KIF23;NDC80;TPX2;MELK;KIF4A;CDK2;ID3;CHI3L1;TGFBI;ASF1B
LJP005 HEPG2 24H-dovitinib-10	35/186	9.471837421911664E-30	1.4912618701014756E-26	0	0	18.984316550749536	1268.7072548068718	TOP2A;TNC;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;KIF15;LMNB1;CDC20;CCNB2;NUSAP1;OIP5;GBP1;BUB1;CEP55;DLGAP5;E2F8;CA12;GINS2;POSTN;CDKN2C;RRM2;KIF23;NDC80;TPX2;MELK;KIF4A;DEPDC1;S100A4;ASF1B;APOBEC3B;LTF
LJP005 A549 24H-NVP-BEZ235-0.37	36/207	2.6329319128685017E-29	3.7409353288163125E-26	0	0	17.29765590446705	1138.3045878019836	TOP2A;NCAPG;CDCA8;BUB1B;TTK;HMMR;MKI67;TYMS;FOXM1;KIF15;LMNB1;CDC20;CCNB2;CSRP2;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;GINS2;RRM2;KIF23;NDC80;PDIA4;TPX2;MELK;RAD51;KIF4A;CDK2;DEPDC1;NES;ASF1B;APOBEC3B;TMEM45A;LTF
LJP006 HCC515 24H-PD-173074-10	33/162	2.772089906495971E-29	3.7409353288163125E-26	0	0	20.801601852745343	1367.8169470041153	TOP2A;PCNA;TNC;BUB1B;NCAPG;TTK;HMMR;MKI67;FOXM1;TYMS;KIF15;LMNB1;CDC20;ORC1;NUSAP1;OIP5;GBP1;BUB1;CEP55;DLGAP5;E2F8;CA12;GINS2;RRM2;NDC80;TPX2;MELK;RAD51;KIF4A;CDK2;CHI3L1;ASF1B;APOBEC3B
LJP006 HCC515 24H-palbociclib-3.33	32/150	4.2236243762027696E-29	5.319795689306595E-26	0	0	21.972825325675863	1435.5785921499091	TOP2A;PCNA;BUB1B;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;SKA1;KIF15;LMNB1;CDC20;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;GINS2;CDKN2C;RRM2;KIF23;NDC80;TPX2;RAD51;KIF4A;DEPDC1;KIF2C;ASF1B;APOBEC3B
LJP006 HCC515 24H-palbociclib-1.11	31/139	7.414901838721985E-29	8.755608777435904E-26	0	0	23.17322054564853	1500.963697477324	TOP2A;BUB1B;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;KIF15;LMNB1;CDC20;CCNB2;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;GINS2;RRM2;KIF23;NDC80;TPX2;MELK;RAD51;KIF4A;DEPDC1;KIF2C;ASF1B;APOBEC3B
LJP006 HCC515 24H-palbociclib-0.37	30/129	1.5322682080341629E-28	1.702890779669967E-25	0	0	24.37531048186786	1561.1322010175745	TOP2A;SPARC;BUB1B;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;KIF15;LMNB1;CDC20;CCNB2;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;GINS2;RRM2;KIF23;NDC80;TPX2;KIF18A;KIF4A;DEPDC1;KIF2C;ASF1B;APOBEC3B
LJP005 MCF7 24H-mitoxantrone-0.12	31/144	2.3942924072391894E-28	2.5130759138872223E-25	0	0	22.14221202520121	1408.2290714977082	TOP2A;NCAPG;CDCA8;TTK;HMMR;MKI67;FOXM1;TYMS;KIF15;LMNB1;CDC20;CCNB2;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;CA12;GINS2;CDKN2C;RRM2;KIF23;NDC80;TPX2;MELK;RAD51;KIF4A;CHI3L1;ASF1B;APOBEC3B;LTF
LJP006 A375 24H-mitoxantrone-0.12	36/222	3.4540245923605667E-28	3.434572980182536E-25	0	0	15.890485226348604	1004.800549632521	TOP2A;ARHGAP11A;SPARC;NCAPG;CDCA8;BUB1B;TTK;HMMR;MKI67;TYMS;FOXM1;KIF15;LMNB1;CDC20;CCNB2;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CA12;GINS2;RRM2;KIF23;WDR76;NDC80;TPX2;MELK;RAD51;CENPI;KIF4A;DEPDC1;PLP2;ASF1B;APOBEC3B
