Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-XMD-1150-10	20/151	5.3236261045102024E-9	9.889700214348603E-5	0	0	5.630499388147544	107.26726977035776	CA12;POSTN;ENPEP;SPARC;NNMT;ANXA1;PLA2G2A;TNC;FN1;EMP3;MMP14;COL3A1;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;IGFBP7;PLP2;GBP1
LJP006 HME1 24H-BI-2536-1.11	15/102	1.0761610523055194E-7	9.995921934339816E-4	0	0	6.3128218499445925	101.28730447680826	CA12;POSTN;CD163;NNMT;ANXA1;SLC43A3;TGFB1I1;TNC;LOX;COL4A2;COL4A1;MDK;SERPINH1;PLP2;GBP1
LJP008 PC3 24H-I-BET-0.04	9/33	1.6431581576409737E-7	0.0010174983031498788	0	0	13.620560747663552	212.77325676553866	POSTN;LOX;IGFBP3;CHI3L2;S100A4;PI3;LYZ;AQP1;LTF
LJP008 HEPG2 24H-GSK-1070916-10	16/131	5.5747560755613E-7	0.0023715768371873097	0	0	5.096442687747036	73.38799539545627	CA12;POSTN;CSTA;ANXA1;ANGPT2;PLA2G2A;LYZ;EGFR;AQP1;COL3A1;PLAU;SPP1;CHI3L1;S100A4;PI3;GBP1
LJP006 HS578T 24H-BI-2536-10	15/118	7.485311240068126E-7	0.0023715768371873097	0	0	5.32778460917283	75.14921734106841	POSTN;CXCL9;NNMT;ANXA1;IGFBP3;TGFB1I1;TNC;EMP3;EGFR;HOXA10;COL4A2;IGFBP7;NES;GBP1;S100A11
LJP006 HME1 24H-BI-2536-10	15/119	8.35391055388267E-7	0.0023715768371873097	0	0	5.276283263050749	73.84351481581632	POSTN;CSTA;SPARC;NNMT;ANXA1;TNC;COL3A1;SRPX2;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;IGFBP7;GBP1
LJP008 PC3 24H-I-BET151-3.33	19/187	8.936339484476057E-7	0.0023715768371873097	0	0	4.155011337868481	57.87087159841262	CA12;POSTN;CSTA;SPARC;ANXA1;IGFBP3;AQP1;MRC2;MMP14;COL3A1;LOX;COL4A2;COL4A1;MDK;ID3;S100A4;TAGLN2;IGFBP7;NES
LJP008 HA1E 24H-I-BET151-0.37	14/109	1.5398801576150603E-6	0.003575794211001872	0	0	5.383396226415094	72.05033052327006	POSTN;CXCL9;ANXA1;IGFBP3;TGFB1I1;EMP3;CXCL10;PRDX4;SRPX2;DPEP1;CHI3L1;PI3;GBP1;IDO1
LJP005 A549 24H-dasatinib-0.12	9/45	2.8233265083310736E-6	0.005827659616140707	0	0	9.074766355140186	115.95368698526183	POSTN;COL3A1;SPARC;COL4A2;COL4A1;CHI3L1;TGFBI;GBP1;LOXL2
LJP005 HCC515 24H-YM-201636-0.37	7/27	5.863007899811452E-6	0.01013322820109537	0	0	12.667783985102421	152.60686553783933	CXCL10;POSTN;COL3A1;NNMT;CSRP2;IGFBP7;IDO1
LJP008 HA1E 24H-(+)-JQ1-0.04	10/62	6.155880498728619E-6	0.01013322820109537	0	0	6.9878997407087295	83.84153912603801	CXCL10;CXCL9;NMB;SRPX2;LOX;IGFBP3;CHI3L2;CHI3L1;GBP1;CD44
LJP006 HS578T 24H-BI-2536-1.11	14/123	6.545660677889027E-6	0.01013322820109537	0	0	4.688558075125497	55.965949714300166	POSTN;CXCL9;NNMT;ANXA1;IGFBP3;TGFB1I1;CXCL10;COL3A1;WEE1;LOX;S100A4;IGFBP7;GBP1;S100A11
LJP005 MCF7 24H-linsitinib-0.37	8/39	8.3238627788085E-6	0.01112567516134565	0	0	9.352431391429947	109.38963014642198	CXCL10;NNMT;CSRP2;TNC;SPP1;HAS2;PI3;GBP1
LJP007 HCC515 24H-TPCA-1-3.33	9/51	8.384532069701196E-6	0.01112567516134565	0	0	7.775967957276369	90.89423788653792	CXCL10;CXCL9;PLAU;IGFBP3;TNC;CHI3L1;GBP1;EGFR;TMEM45A
