Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-palbociclib-1.11	24/124	2.4486422578350724E-23	2.27619167586247E-19	0	0	24.22276923076923	1261.132402938947	CDKN2C;TROAP;PLK1;KIF14;NCAPG;CDCA8;MKI67;FOXM1;LMNB1;CDC20;TPX2;ASPM;NEIL3;KIF18A;KIF18B;ESPL1;KIFC1;KIF4A;KIF20A;GTSE1;BUB1;DLGAP5;ASF1B;EZH2
LJP006 HCC515 24H-palbociclib-0.12	22/96	3.302657684072069E-23	2.27619167586247E-19	0	0	29.74029359308547	1539.498257132657	TROAP;PLK1;KIF14;NCAPG;CDCA8;MKI67;FOXM1;CDC20;ASPM;TPX2;NEIL3;KIF18A;KIF18B;ESPL1;KIF4A;KIF20A;GTSE1;BUB1;NES;DLGAP5;ASF1B;E2F8
LJP006 HCC515 24H-palbociclib-0.37	24/129	6.657878410524907E-23	3.059073200355844E-19	0	0	23.063443223443223	1177.7037369809584	TROAP;PLK1;KIF14;NCAPG;CDCA8;MKI67;FOXM1;LMNB1;CDC20;TPX2;ASPM;NEIL3;KIF18A;KIF18B;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;GTSE1;BUB1;DLGAP5;ASF1B;EZH2
LJP006 BT20 24H-palbociclib-10	26/168	1.4076415138232144E-22	4.850732656634797E-19	0	0	18.63146756184777	937.441478549358	TROAP;KIF14;NCAPG;CDCA8;MKI67;FOXM1;LMNB1;CDC20;CSRP2;GTSE1;BUB1;DLGAP5;E2F8;CDKN2C;PLK1;TPX2;ASPM;NEIL3;KIF18A;KIF18B;ESPL1;KIFC1;KIF4A;KIF20A;ASF1B;EZH2
LJP006 HT29 24H-palbociclib-0.37	27/195	4.344952531207934E-22	1.1978165138034033E-18	0	0	16.417131696428573	807.5235297167394	TROAP;KIF14;NCAPG;CDCA8;MKI67;FOXM1;LMNB1;CDC20;CSRP2;GTSE1;BUB1;DLGAP5;E2F8;CDKN2C;PLK1;WDR76;TPX2;ASPM;NEIL3;KIF18A;KIF18B;ESPL1;KIFC1;KIF4A;KIF20A;ASF1B;EZH2
LJP006 BT20 24H-palbociclib-0.37	26/178	6.501588021162245E-22	1.4936314880616733E-18	0	0	17.396850286337607	848.7023069970652	TROAP;KIF14;NCAPG;CDCA8;MKI67;FOXM1;LMNB1;CDC20;GTSE1;BUB1;DLGAP5;E2F8;CDKN2C;PLK1;TPX2;ASPM;NEIL3;KIF18A;KIF18B;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;ASF1B;EZH2
LJP006 BT20 24H-PHA-793887-1.11	22/111	1.0204171278815437E-21	2.009347098674171E-18	0	0	24.709062909941252	1194.2897112417115	TROAP;PLK1;KIF14;NCAPG;CDCA8;MKI67;FOXM1;CDC20;SFRP4;TPX2;ASPM;NEIL3;KIF18A;KIF18B;ESPL1;KIFC1;KIF4A;KIF20A;GTSE1;BUB1;DLGAP5;ASF1B
LJP006 BT20 24H-palbociclib-3.33	25/163	1.2041813436239382E-21	2.0748044550640454E-18	0	0	18.342858210070222	883.5477272291477	TROAP;KIF14;NCAPG;CDCA8;MKI67;FOXM1;LMNB1;CDC20;GTSE1;BUB1;DLGAP5;E2F8;CDKN2C;PLK1;TPX2;ASPM;NEIL3;WEE1;KIF18B;ESPL1;KIFC1;KIF4A;KIF20A;ASF1B;EZH2
LJP006 HCC515 24H-palbociclib-3.33	24/150	2.8589255589593984E-21	4.378603322744039E-18	0	0	19.1990231990232	908.1875422462512	CDKN2C;TROAP;PLK1;KIF14;NCAPG;CDCA8;MKI67;FOXM1;LMNB1;CDC20;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;KIF2C;KIF20A;GTSE1;BUB1;DLGAP5;ASF1B;EZH2;E2F8
LJP006 A375 24H-palbociclib-10	24/154	5.461065363571024E-21	7.150593448810203E-18	0	0	18.604497041420117	868.0233777838754	CDKN2C;TROAP;PLK1;KIF14;NCAPG;CDCA8;MKI67;FOXM1;LMNB1;CDC20;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;KIF4A;KIF20A;GTSE1;BUB1;DLGAP5;ASF1B;EZH2;E2F8
