Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP007 HA1E 24H-tivantinib-10	8/93	0.0033123800957044203	0.9998811095068932	0	0	3.488291530761444	19.918452607424186	TOP2A;HOXA10;SFRP4;IGFBP3;SHOX2;HOXC10;AQP1;PPIC
LJP009 HCC515 24H-dabrafenib-0.37	5/45	0.006593094220803901	0.9998811095068932	0	0	4.617157794676806	23.186131391708813	TOP2A;GINS2;ASPM;CSRP2;NES
LJP009 HCC515 24H-RAF 265-3.33	4/31	0.008756805571831361	0.9998811095068932	0	0	5.465457867734908	25.89492455611852	TOP2A;GINS2;ASPM;IGFBP3
LJP005 PC3 24H-crizotinib-10	4/31	0.008756805571831361	0.9998811095068932	0	0	5.465457867734908	25.89492455611852	TOP2A;IGFBP3;ID3;HOXC10
LJP005 MCF7 24H-PF-477736-0.12	3/18	0.01128278123335316	0.9998811095068932	0	0	7.368939393939394	33.04584291145216	GINS2;HOXC10;HOXC6
LJP009 A549 24H-serdemetan-10	3/19	0.013138360938056488	0.9998811095068932	0	0	6.908025568181818	29.927079702260134	TOP2A;ASPM;IGFBP3
LJP005 MCF10A 24H-AS-601245-3.33	6/78	0.01748993150129821	0.9998811095068932	0	0	3.078888888888889	12.457584411843087	SFRP4;GINS2;CDK4;CDK2;HOXA5;PPIC
LJP007 A549 24H-tivantinib-1.11	2/8	0.01771669354802213	0.9998811095068932	0	0	12.264020163831129	49.46383413021941	TOP2A;CDK2
LJP007 HEPG2 24H-TPCA-1-10	4/38	0.017770032824030092	0.9998811095068932	0	0	4.338653867619154	17.485824128137672	ASPM;CSRP2;ID3;PPIC
CPC003 PC3 24H-nnc 26-9100-10.0	2/9	0.022382289318662655	0.9998811095068932	0	0	10.511477180664325	39.93820290592871	TOP2A;GINS2
LJP006 MDAMB231 3H-dasatinib-3.33	4/41	0.02291791754248633	0.9998811095068932	0	0	3.986255705420791	15.051448789996254	HOXA10;HOXB2;HOXA5;HOXC6
LJP005 HCC515 24H-PHA-665752-10	3/24	0.024892585864842096	0.9998811095068932	0	0	5.261904761904762	19.433189191863587	TOP2A;ASPM;ID3
LJP009 HA1E 24H-ON-01910-10	6/85	0.025555515772920336	0.9998811095068932	0	0	2.8050632911392404	10.285892484435113	TOP2A;HOXA10;SFRP4;CSRP2;IGFBP3;HOXC10
LJP007 HCC515 24H-pazopanib-10	6/85	0.025555515772920336	0.9998811095068932	0	0	2.8050632911392404	10.285892484435113	TOP2A;SFRP4;ASPM;GINS2;ID3;PPIC
LJP007 HEPG2 24H-NVP-BGT226-0.04	5/63	0.025789172179948666	0.9998811095068932	0	0	3.181296709059919	11.636548877861427	TOP2A;ASPM;GINS2;CSRP2;ID3
CPC006 HT29 6H-hki-272-10.0	2/11	0.03301961897968829	0.9998811095068932	0	0	8.17475320310859	27.881249639851298	EN1;HOXB8
CPC006 SW948 6H-mk-0591-80.0	2/11	0.03301961897968829	0.9998811095068932	0	0	8.17475320310859	27.881249639851298	HOXD11;HOXB8
LJP005 MCF7 24H-TG-101348-0.37	3/28	0.03728572137505519	0.9998811095068932	0	0	4.419090909090909	14.53503001949588	HOXA10;SFRP4;VNN1
CPC009 MCF7 6H-BRD-A60784279-10.0	3/28	0.03728572137505519	0.9998811095068932	0	0	4.419090909090909	14.53503001949588	ANGPT2;GATA4;HOXB8
LJP007 PC3 24H-sutent-10	5/72	0.04241892032421894	0.9998811095068932	0	0	2.7526814596220417	8.698915994628656	TOP2A;ASPM;GINS2;IGFBP3;NES
LJP006 HCC515 24H-GSK-2126458-10	8/148	0.04409400925489564	0.9998811095068932	0	0	2.111881999453701	6.592094681265427	TOP2A;ASPM;GINS2;CSRP2;IGFBP3;CDK2;ID3;NES
LJP008 A549 24H-LY2603618-3.33	2/13	0.045225356478037576	0.9998811095068932	0	0	6.687747035573122	20.70591597736172	IRX5;HOXC6
LJP006 A549 24H-PHA-793887-3.33	5/74	0.046819808318348526	0.9998811095068932	0	0	2.6726180635917784	8.182083660141512	TOP2A;ASPM;HOXB2;CYTL1;HOXC6
LJP007 A375 24H-sirolimus-10	3/31	0.04828548168162737	0.9998811095068932	0	0	3.945008116883117	11.955837659225796	CSRP2;HOXA5;HOXC6
LJP007 HCC515 24H-SGI-1776-10	6/99	0.048317443144609264	0.9998811095068932	0	0	2.381075268817204	7.214569111852033	TOP2A;GINS2;CSRP2;IGFBP3;NES;PPIC
LJP006 PC3 24H-fostamatinib-1.11	4/52	0.04892336818104365	0.9998811095068932	0	0	3.070999367488931	9.266740959104451	TOP2A;NMB;IGFBP3;NES
LJP009 HCC515 24H-dabrafenib-1.11	5/75	0.04911810498347116	0.9998811095068932	0	0	2.634302009777295	7.938541747906008	TOP2A;ASPM;GINS2;CSRP2;PPIC
LJP009 HCC515 24H-ponatinib-3.33	4/53	0.05185286914628844	0.9998811095068932	0	0	3.0081710103396198	8.902215869655041	TOP2A;GINS2;NES;PPIC
LJP009 A549 24H-ON-01910-3.33	4/53	0.05185286914628844	0.9998811095068932	0	0	3.0081710103396198	8.902215869655041	TOP2A;IGFBP3;SLC16A4;HOXC6
LJP008 A549 24H-GSK-J4-10	2/14	0.051855457297738675	0.9998811095068932	0	0	6.130119722747322	18.140833246912763	TOP2A;HOXC6
LJP005 MDAMB231 24H-neratinib-0.37	2/14	0.051855457297738675	0.9998811095068932	0	0	6.130119722747322	18.140833246912763	TOP2A;HOXA5
LJP005 HA1E 24H-LDN-193189-0.12	3/32	0.05226653874128632	0.9998811095068932	0	0	3.8087774294670846	11.241221543435605	HOXA10;FOXD1;IGFBP3
LJP005 HS578T 3H-CYT387-0.37	3/32	0.05226653874128632	0.9998811095068932	0	0	3.8087774294670846	11.241221543435605	TGIF1;SFRP4;ID3
LJP007 HCC515 24H-GDC-0068-10	3/32	0.05226653874128632	0.9998811095068932	0	0	3.8087774294670846	11.241221543435605	CSRP2;IGFBP3;NES
LJP006 HT29 24H-celastrol-3.33	3/33	0.05640071397890642	0.9998811095068932	0	0	3.681628787878788	10.5856895483587	TOP2A;ID3;CYTL1
LJP009 MCF7 24H-XMD-1499-10	5/78	0.05640551833236239	0.9998811095068932	0	0	2.5256523777280067	7.261726122091707	TOP2A;ASPM;GINS2;CSRP2;ID3
LJP006 SKBR3 24H-AZD-5438-0.37	4/55	0.057992590214949555	0.9998811095068932	0	0	2.8899058674703277	8.228833654335657	TOP2A;ASPM;HOXC10;HOXC6
LJP009 PC3 24H-XMD-892-1.11	3/34	0.06068523510081114	0.9998811095068932	0	0	3.562683284457478	9.982833991597317	CSRP2;IGFBP3;NES
LJP006 MDAMB231 3H-AZD-8055-0.12	3/34	0.06068523510081114	0.9998811095068932	0	0	3.562683284457478	9.982833991597317	HOXA10;SFRP4;CSRP2
LJP005 MCF10A 24H-WH-4-025-10	4/56	0.06120178238393571	0.9998811095068932	0	0	2.834184790541527	7.91751901652162	GINS2;CSRP2;FOXD1;IGFBP3
LJP007 A375 24H-vandetanib-10	6/106	0.06326128306112726	0.9998811095068932	0	0	2.2136	6.110602465918238	TOP2A;ASPM;GINS2;CYTL1;HOXA5;HOXC6
LJP009 PC3 24H-JNK-IN-5A-0.04	3/35	0.06511715388036447	0.9998811095068932	0	0	3.451171875	9.427108116226622	TOP2A;HOXA10;SHOX2
LJP007 PC3 24H-dasatinib-1.11	3/35	0.06511715388036447	0.9998811095068932	0	0	3.451171875	9.427108116226622	TOP2A;ASPM;IGFBP3
CPC014 MCF7 6H-BRD-A59808129-10.0	2/16	0.06605707365173685	0.9998811095068932	0	0	5.253848231163921	14.27594638414676	HOXB8;HOXD10
CPC007 HA1E 24H-kuc103428n-10.0	2/16	0.06605707365173685	0.9998811095068932	0	0	5.253848231163921	14.27594638414676	EN1;AQP1
LJP005 HS578T 3H-AS-601245-10	5/82	0.0670369925092336	0.9998811095068932	0	0	2.3939558540318995	6.46969127482871	TGIF1;FOXD1;ID3;HOXA1;HOXA5
CPC004 VCAP 24H-brazilin-10.0	3/36	0.06969336305733859	0.9998811095068932	0	0	3.3464187327823693	8.913688884388453	ARHGAP11A;CDK2;AQP1
CPC007 A375 24H-ncgc00012588-02-10.0	3/36	0.06969336305733859	0.9998811095068932	0	0	3.3464187327823693	8.913688884388453	TOP2A;HOXB8;PPIC
LJP009 HCC515 24H-RAF 265-0.37	4/59	0.07137866302065886	0.9998811095068932	0	0	2.6791788856304986	7.072379319512327	TOP2A;ASPM;GINS2;IGFBP3
LJP008 MCF7 24H-LY2603618-10	5/84	0.07274231142737977	0.9998811095068932	0	0	2.333108725995091	6.114686156398967	ASPM;GINS2;ID3;IQGAP2;HOXC6
LJP008 HEPG2 24H-garcinol-10	5/85	0.07569148826371931	0.9998811095068932	0	0	2.3038260456273765	5.946381366483628	TOP2A;ASPM;GINS2;ID3;PPIC
CPC013 HT29 6H-BRD-K74133369-10.0	1/3	0.07755750293224273	0.9998811095068932	0	0	18.36509433962264	46.95469131142725	IGFBP3
LJP007 A549 24H-BIX-02189-10	1/3	0.07755750293224273	0.9998811095068932	0	0	18.36509433962264	46.95469131142725	ID3
LJP007 HCC515 24H-bosutinib-3.33	4/61	0.0786126697686332	0.9998811095068932	0	0	2.5849062884916276	6.5739915736347685	TOP2A;ASPM;GINS2;CSRP2
LJP006 HCC515 24H-NVP-TAE684-0.12	3/38	0.07926552354692967	0.9998811095068932	0	0	3.15487012987013	7.997444360246201	IGFBP3;CYTL1;IQGAP2
LJP006 HEPG2 24H-torin-1-1.11	5/87	0.08178114814513505	0.9998811095068932	0	0	2.247403320040805	5.626842850842038	TOP2A;GINS2;CSRP2;ID3;AQP1
