Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP005 MCF7 24H-linsitinib-0.37	5/39	1.1820408162617945E-5	0.05392464019883051	0	0	19.553888669561786	221.85222255658536	NNMT;TNC;HAS2;GBP1;PITX1
LJP006 HS578T 24H-JW-7-24-1-0.12	4/19	1.1974178655249978E-5	0.05392464019883051	0	0	35.25511111111111	399.53764267245623	TNC;TAGLN2;EMP3;CD44
LJP006 LNCAP 3H-ZSTK-474-10	4/21	1.8269095021535454E-5	0.05392464019883051	0	0	31.104313725490197	339.3573854040015	FN1;ID3;NID1;GBP1
LJP006 HME1 24H-XMD-1150-10	8/151	2.2561423343070858E-5	0.05392464019883051	0	0	7.549765303189961	80.7769701818531	SPARC;NNMT;TNC;FN1;TAGLN2;EMP3;PLP2;GBP1
LJP008 HA1E 24H-(+)-JQ1-1.11	7/110	2.2947407480004853E-5	0.05392464019883051	0	0	9.12760055478502	97.50381844493602	TGFB1I1;TNC;TAGLN2;EMP3;GBP1;S100A11;LTF
LJP006 MDAMB231 3H-JNK-9L-10	8/154	2.5996130579542265E-5	0.05392464019883051	0	0	7.393507224620004	78.05741724194928	TGIF1;OSR2;WEE1;TNC;FN1;ID3;MMP9;LTF
LJP006 HS578T 24H-BI-2536-10	7/118	3.611923868208444E-5	0.061915250375986816	0	0	8.466323466323466	86.59935505860341	NNMT;TGFB1I1;TNC;EMP3;GBP1;S100A11;EGFR
LJP008 HCC515 24H-PFI-1-1.11	6/83	4.377275067165337E-5	0.061915250375986816	0	0	10.408388908388908	104.46378554688629	TGIF1;TGFB1I1;TNC;MMP9;AQP1;LTF
LJP006 HS578T 24H-GSK-1059615-3.33	5/51	4.477239702586223E-5	0.061915250375986816	0	0	14.44412022176831	144.64224626185177	TNC;TAGLN2;EMP3;GBP1;S100A11
LJP006 BT20 3H-geldanamycin-0.04	3/11	7.05970803273336E-5	0.08418154593717157	0	0	49.26655629139073	470.915450817444	SPARC;TNC;MMP9
LJP005 MDAMB231 3H-torin-2-1.11	5/57	7.689754999959629E-5	0.08418154593717157	0	0	12.773618998451214	121.00495953982485	SPARC;FN1;ID3;CD99;LTF
