Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-3.33	28/163	7.481131210379432E-12	1.475578319935239E-7	0	0	5.661837586516617	145.04856247099602	PCNA;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;PBK;OIP5;OSR2;GINS2;CDKN2C;RRM2;EMP3;CCNA2;NEIL3;RAD51;TMSB15A;CDK1;DEPDC1;BIRC5;CENPM;PLP2;APOBEC3B;SPC25
LJP006 MDAMB231 24H-palbociclib-10	26/157	9.77179186443682E-11	7.131383166374271E-7	0	0	5.403668031229301	124.54879952996423	PCNA;SLC43A3;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;PBK;OIP5;GINS2;CDKN2C;RRM2;IL1R2;CCNA2;TMSB15A;CDK1;DEPDC1;CKS2;BIRC5;CENPM;LTF;SPC25
LJP006 HME1 24H-palbociclib-1.11	23/124	1.1306414586447765E-10	7.131383166374271E-7	0	0	6.183350629680532	141.61768630981564	GINS2;CDKN2C;RRM2;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNA2;CCNB2;NEIL3;PTTG1;NUSAP1;CDK1;PBK;DEPDC1;CKS2;SPP1;BIRC5;OIP5;HOXC6;LTF;SPC25
LJP006 HCC515 24H-PHA-793887-1.11	27/173	1.7223921912416887E-10	7.131383166374271E-7	0	0	5.038198103266597	113.26945896566998	SPARC;PCNA;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CDC45;PTTG1;NUSAP1;EIF4EBP1;PBK;OIP5;GINS2;RRM2;CCNA2;NEIL3;RAD51;MTHFD2;TMSB15A;CDK1;BIRC5;CENPM;CD44;APOBEC3B;LTF;SPC25
LJP006 A549 24H-palbociclib-10	24/138	1.8077933396811677E-10	7.131383166374271E-7	0	0	5.720642030608436	128.33541870318157	GINS2;RRM2;IL1R2;NCAPG;TTK;HMMR;CENPA;HOXC10;RAD51AP1;CCNA2;CCNB2;NEIL3;RAD51;PTTG1;TMSB15A;NUSAP1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;HOXC6;SPC25
LJP006 PC3 24H-palbociclib-10	20/98	3.127037752614283E-10	9.394885077838974E-7	0	0	6.941159451737731	151.9125830502932	GINS2;ADAMDEC1;CDKN2C;RRM2;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNA2;NEIL3;NUSAP1;CDK1;PBK;DEPDC1;SPP1;BIRC5;OIP5;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.37	27/178	3.3342220414151703E-10	9.394885077838974E-7	0	0	4.870096790626592	106.27336036974457	SLC43A3;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;PBK;OIP5;GINS2;ANXA1;CDKN2C;RRM2;CCNA2;NEIL3;RAD51;TMSB15A;CDK1;DEPDC1;BIRC5;TAGLN2;PLP2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-10	26/168	4.5289841395417113E-10	1.1166210396040088E-6	0	0	4.982209043736101	107.19398762777071	SPARC;PCNA;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;PBK;OIP5;GINS2;CDKN2C;RRM2;CCNA2;NEIL3;RAD51;TMSB15A;CDK1;BIRC5;CENPM;PLP2;APOBEC3B;SPC25
LJP006 MDAMB231 24H-palbociclib-0.37	21/113	7.020150336317612E-10	1.5385049470392064E-6	0	0	6.1833548268238765	130.3269796210003	GINS2;PCNA;CDKN2C;RRM2;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNA2;CDC45;TMSB15A;NUSAP1;CDK1;PBK;DEPDC1;BIRC5;OIP5;APOBEC3B;LTF;SPC25
LJP006 HCC515 24H-PHA-793887-3.33	27/186	9.113721458187659E-10	1.797590420412934E-6	0	0	4.623125302370585	96.23529898615513	SPARC;PCNA;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;PBK;OIP5;GINS2;RRM2;CCNA2;NEIL3;RAD51;MTHFD2;TMSB15A;CDK1;DEPDC1;CKS2;BIRC5;CENPM;APOBEC3B;SPC25
LJP006 LNCAP 24H-torin-1-0.04	24/150	1.0596473321499006E-9	1.84371786538503E-6	0	0	5.1725768321513	106.89300558171145	GINS2;PCNA;CDKN2C;RRM2;IL1R2;NCAPG;HMMR;EMP3;CENPA;CCNA2;CCNB2;CDC45;RAD51;PTTG1;MTHFD2;NUSAP1;EIF4EBP1;CDK1;PBK;CKS2;BIRC5;APOBEC3B;LTF;SPC25
LJP008 A549 24H-GSK-1070916-10	20/105	1.1345425907503408E-9	1.84371786538503E-6	0	0	6.367211482618435	131.14568585252454	GINS2;RRM2;IL1R2;IGFBP3;NCAPG;TTK;TREM1;CENPA;CCNA2;RAD51;NUSAP1;CDK1;PBK;CKS2;BIRC5;OIP5;TAGLN2;IGFBP7;LTF;SPC25
LJP006 MDAMB231 24H-palbociclib-1.11	24/151	1.2173163248516846E-9	1.84371786538503E-6	0	0	5.131579829117105	105.33397444944966	GINS2;PCNA;RRM2;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNA2;CCNB2;NEIL3;CDC45;PTTG1;TMSB15A;NUSAP1;CDK1;PBK;DEPDC1;CKS2;BIRC5;CENPM;OIP5;APOBEC3B;SPC25
LJP006 LNCAP 24H-GDC-0941-1.11	27/189	1.308662041948409E-9	1.84371786538503E-6	0	0	4.536799620132953	92.79688155541584	CSTA;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;EIF4EBP1;PBK;OIP5;GINS2;RRM2;CCNA2;NEIL3;RAD51;CDK1;CKS2;ID3;BIRC5;CENPM;HOXB7;APOBEC3B;LTF;SPC25
LJP006 HCC515 24H-palbociclib-0.37	22/129	1.5225894125793178E-9	1.911001228468916E-6	0	0	5.573213129056564	113.15212907377344	GINS2;SPARC;RRM2;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNA2;CCNB2;NEIL3;PTTG1;TMSB15A;NUSAP1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;APOBEC3B;SPC25
LJP006 MCF10A 24H-PHA-793887-3.33	21/118	1.6056054928169435E-9	1.911001228468916E-6	0	0	5.863096278175782	118.7263212039703	SPARC;PCNA;RRM2;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNA2;CCNB2;CDC45;PTTG1;NUSAP1;CDK1;PBK;DEPDC1;CKS2;BIRC5;HOXC6;APOBEC3B;SPC25
LJP006 A375 24H-palbociclib-10	24/154	1.832000723095204E-9	1.911001228468916E-6	0	0	5.012373158756137	100.8382073206315	GINS2;CDKN2C;RRM2;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNA2;CCNB2;NEIL3;CDC45;RAD51;PTTG1;TMSB15A;NUSAP1;CDK1;PBK;DEPDC1;BIRC5;CENPM;OIP5;APOBEC3B;SPC25
LJP006 MCF10A 24H-mitoxantrone-0.37	24/154	1.832000723095204E-9	1.911001228468916E-6	0	0	5.012373158756137	100.8382073206315	GINS2;RRM2;NCAPG;TTK;HMMR;CENPA;CCNA2;CCNB2;NEIL3;CDC45;RAD51;PTTG1;NUSAP1;EIF4EBP1;CDK1;PBK;DEPDC1;CKS2;SPP1;BIRC5;CENPM;OIP5;APOBEC3B;SPC25
LJP006 LNCAP 24H-JW-7-24-1-3.33	26/179	1.8408549655703408E-9	1.911001228468916E-6	0	0	4.621352002156955	92.94941788503257	NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;EIF4EBP1;PBK;SPP1;OIP5;HOXC6;GINS2;RRM2;CCNA2;NEIL3;RAD51;MTHFD2;CDK1;DEPDC1;CKS2;BIRC5;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-10	26/180	2.0788531905054215E-9	2.0501650164764467E-6	0	0	4.5911030647872755	91.78280482107704	NNMT;PCNA;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;PBK;OIP5;HOXC6;GINS2;CDKN2C;RRM2;CCNA2;NEIL3;RAD51;CDK1;DEPDC1;BIRC5;HOXB7;TMEM45A;SPC25
LJP006 MCF10A 24H-palbociclib-3.33	21/121	2.580029678147319E-9	2.4232621605608435E-6	0	0	5.686313559322034	112.44949440133968	GINS2;POSTN;SPARC;ANXA1;CDKN2C;RRM2;NCAPG;HMMR;CENPA;RAD51AP1;CCNA2;CCNB2;NEIL3;CDC45;PTTG1;NUSAP1;CDK1;PBK;BIRC5;OIP5;SPC25
LJP006 BT20 24H-PHA-793887-3.33	26/184	3.3499873713556055E-9	3.0034159505735438E-6	0	0	4.473936294722438	87.30577646860482	PCNA;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;PBK;OIP5;GINS2;CDKN2C;RRM2;CCNA2;NEIL3;RAD51;TMSB15A;CDK1;DEPDC1;CKS2;BIRC5;CENPM;APOBEC3B;SPC25
LJP006 LNCAP 24H-PHA-793887-1.11	24/159	3.5363833781080046E-9	3.0326793804261863E-6	0	0	4.825468873128448	93.90440250647409	GINS2;PCNA;CDKN2C;RRM2;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNA2;CCNB2;NEIL3;RAD51;PTTG1;NUSAP1;CDK1;PBK;DEPDC1;SPP1;BIRC5;OIP5;HOXC6;APOBEC3B;SPC25
LJP006 LNCAP 24H-GDC-0941-3.33	26/185	3.765928615065868E-9	3.094965666814966E-6	0	0	4.445565724612398	86.23184471790577	PCNA;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;EIF4EBP1;PBK;OIP5;GINS2;RRM2;CCNA2;NEIL3;RAD51;CDK1;DEPDC1;CKS2;BIRC5;CENPM;APOBEC3B;LTF;SPC25
LJP006 LNCAP 24H-mitoxantrone-0.04	24/162	5.17729742856234E-9	4.084680579238544E-6	0	0	4.719827320382362	90.04950355072914	GINS2;CDKN2C;RRM2;NCAPG;TTK;HMMR;CENPA;CCNA2;CCNB2;NEIL3;PTTG1;MTHFD2;NUSAP1;EIF4EBP1;CDK1;PBK;DEPDC1;CKS2;SPP1;BIRC5;OIP5;HOXC6;APOBEC3B;SPC25
LJP006 LNCAP 24H-PI-103-0.37	24/163	5.866117780915201E-9	4.24187313721246E-6	0	0	4.68562681769478	88.8117117600793	GINS2;PCNA;RRM2;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNA2;CCNB2;CDC45;RAD51;PTTG1;NUSAP1;EIF4EBP1;CDK1;PBK;DEPDC1;CKS2;BIRC5;OIP5;TAGLN2;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-1.11	23/151	6.2610267756412664E-9	4.24187313721246E-6	0	0	4.872178204674221	92.03019234182771	GINS2;PCNA;CDKN2C;RRM2;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNA2;CCNB2;CDC45;RAD51;PTTG1;TMSB15A;NUSAP1;CDK1;PBK;BIRC5;CENPM;OIP5;APOBEC3B;SPC25
LJP006 MDAMB231 24H-palbociclib-3.33	23/151	6.2610267756412664E-9	4.24187313721246E-6	0	0	4.872178204674221	92.03019234182771	GINS2;PCNA;RRM2;NCAPG;TTK;HMMR;CENPA;RAD51AP1;CCNA2;CCNB2;NEIL3;CDC45;RAD51;PTTG1;NUSAP1;CDK1;PBK;DEPDC1;BIRC5;CENPM;OIP5;LTF;SPC25
