Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 3H-geldanamycin-10	5/44	4.101282256206697E-4	0.9360208984365364	0	0	8.912295007701369	69.50735151101557	HOXA10;SPARC;ANXA1;ID3;TMEM45A
LJP007 HEPG2 24H-doramapimod-0.37	4/34	0.001389536184154896	0.9360208984365364	0	0	9.24037558685446	60.79044678146813	TFAP2B;TMSB15A;SOX11;AQP1
LJP006 SKBR3 24H-afatinib-0.12	6/86	0.0015178090268033455	0.9360208984365364	0	0	5.221276595744681	33.88863002822022	IL1R2;PLA2G2A;CKS2;ID3;HOXA5;TMEM45A
CPC014 PC3 6H-s1169-10.0	3/19	0.002413480827065716	0.9360208984365364	0	0	12.957894736842105	78.09315304183305	HOXA10;SOX11;AQP1
LJP006 MDAMB231 3H-dasatinib-3.33	4/41	0.0028044491022328672	0.9360208984365364	0	0	7.489531785306434	44.01259421563078	HOXA10;PLA2G2A;HOXA5;HOXC6
LJP008 A549 24H-VE821-10	3/20	0.002809378219211148	0.9360208984365364	0	0	12.195046439628483	71.64336241465485	SPARC;PLA2G2A;HOXC6
LJP005 A549 24H-XMD16-144-0.04	4/42	0.0030650369453315194	0.9360208984365364	0	0	7.292068198665678	42.20427143466662	TFAP2B;TMSB15A;ID3;CAMP
LJP006 HEPG2 24H-afatinib-10	6/99	0.0030985377960345293	0.9360208984365364	0	0	4.488446579730039	25.928970222032746	TMSB15A;IL1R2;PLA2G2A;S100A4;ANG;PDIA4
LJP008 A375 24H-GSK-1070916-3.33	5/70	0.0033747977105750082	0.9360208984365364	0	0	5.3403098668116336	30.393945816424008	SPARC;ANXA1;IL1R2;TFPI;HOXC6
LJP005 SKBR3 3H-GSK-690693-1.11	3/22	0.003715408518468325	0.9360208984365364	0	0	10.910249307479225	61.045754008918514	HOXA10;IL1R2;PLA2G2A
LJP007 A549 24H-tivozanib-10	2/7	0.004137089434500039	0.9360208984365364	0	0	27.56223776223776	151.255022346927	ANXA1;HOXC6
LJP006 PC3 24H-BI-2536-10	6/109	0.004972863596033206	0.9360208984365364	0	0	4.050609378227639	21.48345768108788	HOXA10;SPARC;ANXA1;S100A4;CD99;HOXC6
