Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP008 PC3 24H-I-BET-0.04	6/33	3.806020361972869E-5	0.3262520654283143	0	0	11.302741702741702	115.02055771439626	LOX;CHI3L2;S100A4;PI3;LYZ;AQP1
LJP005 MCF7 24H-linsitinib-0.37	5/39	9.274964267600479E-4	0.9978195446993252	0	0	7.457711063700091	52.07735756399779	NNMT;CSRP2;SPP1;PI3;GBP1
LJP005 HS578T 24H-WH-4-025-0.12	5/49	0.0026194627299601647	0.9978195446993252	0	0	5.759832783796514	34.240973566964506	CXCL9;CSTA;IL1R2;LYZ;GBP1
LJP008 HEPG2 24H-NPK76-II-72-1-10	5/49	0.0026194627299601647	0.9978195446993252	0	0	5.759832783796514	34.240973566964506	ADAMDEC1;CXCL9;LYZ;GBP1;AQP1
LJP005 SKBR3 3H-dasatinib-3.33	4/30	0.0026367035377365656	0.9978195446993252	0	0	7.78493341284039	46.22869245896184	FCGBP;CSTA;HP;GBP1
LJP005 HS578T 3H-NVP-BEZ235-3.33	4/32	0.0033552987887684304	0.9978195446993252	0	0	7.2281284606866	41.180197947149296	CXCL9;IL1R2;LYZ;GBP1
LJP005 SKBR3 24H-buparlisib-3.33	6/75	0.003478637486634795	0.9978195446993252	0	0	4.413325804630152	24.98434309724031	CXCL9;IL1R2;HP;PI3;LYZ;AQP1
LJP008 HA1E 24H-methylstat-10	6/80	0.004786828607823285	0.9978195446993252	0	0	4.114075114075114	21.976925080161156	MS4A6A;CXCL9;LOX;LYZ;GBP1;IDO1
LJP006 LNCAP 3H-WYE-125132-1.11	4/37	0.005708639737396555	0.9978195446993252	0	0	6.131391433717015	31.673385568816443	CSTA;NNMT;PI3;LYZ
LJP005 PC3 24H-dasatinib-0.12	4/38	0.0062835865241016855	0.9978195446993252	0	0	5.950752393980848	30.16920993359038	MS4A6A;CSTA;CD163;CSRP2
LJP005 BT20 3H-SU-11274-0.37	3/20	0.006601998714141825	0.9978195446993252	0	0	8.910855063674955	44.735903854244576	CSRP2;HP;AQP1
LJP006 HS578T 3H-WYE-125132-3.33	5/61	0.0067575246017727965	0.9978195446993252	0	0	4.522807179866765	22.600913603688042	FCGBP;CSTA;IL1R2;PI3;LYZ
LJP006 MCF10A 3H-PF-562271-0.37	4/39	0.006895712879347845	0.9978195446993252	0	0	5.780435585086748	28.768391953752392	CXCL9;CD163;SPP1;GBP1
LJP007 HA1E 24H-AT7867-0.12	4/40	0.007545993215729576	0.9978195446993252	0	0	5.619580821131208	27.46142226996512	CXCL9;LYZ;GBP1;AQP1
LJP006 LNCAP 3H-OSI-027-10	3/22	0.008665176580996404	0.9978195446993252	0	0	7.972056429734129	37.85485536899137	CXCL9;CSTA;IL1R2
LJP005 A549 24H-NVP-AEW541-0.37	4/42	0.008964746870150262	0.9978195446993252	0	0	5.323269413844689	25.096316274566504	CSTA;LYZ;GBP1;IDO1
LJP008 PC3 24H-CX-5461-3.33	4/42	0.008964746870150262	0.9978195446993252	0	0	5.323269413844689	25.096316274566504	FCGBP;CSTA;APOC1;LYZ
LJP005 HS578T 3H-torin-2-0.04	4/42	0.008964746870150262	0.9978195446993252	0	0	5.323269413844689	25.096316274566504	CXCL9;CSTA;SPP1;GBP1
LJP007 PC3 24H-SB-525334-0.12	4/42	0.008964746870150262	0.9978195446993252	0	0	5.323269413844689	25.096316274566504	CXCL9;CSTA;LOX;IDO1
LJP009 MCF7 24H-JWE-035-0.37	5/67	0.00997986403766636	0.9978195446993252	0	0	4.083862610730403	18.815113879261396	CXCL9;CSRP2;NNMT;IL1R2;LYZ
LJP006 HS578T 3H-WYE-125132-0.04	4/44	0.01054696576280873	0.9978195446993252	0	0	5.056589147286822	23.017174434513667	CXCL9;CSTA;PI3;IDO1
LJP005 HS578T 24H-NU-7441-10	5/68	0.01060375035094667	0.9978195446993252	0	0	4.018833785673164	18.27181883678687	CXCL9;NNMT;MTHFD2;GBP1;IDO1
LJP008 HEPG2 24H-dasatinib-3.33	3/24	0.01106570374994887	0.9978195446993252	0	0	7.212076583210604	32.48250566358902	IL1R2;PI3;LYZ
LJP006 MCF7 3H-OSI-027-1.11	3/24	0.01106570374994887	0.9978195446993252	0	0	7.212076583210604	32.48250566358902	GBP1;AQP1;IDO1
LJP005 SKBR3 24H-withaferin-a-0.37	4/46	0.012299204487487149	0.9978195446993252	0	0	4.815307001353513	21.17878290376897	ADAMDEC1;CXCL9;GBP1;IDO1
LJP007 HA1E 24H-masitinib-10	4/46	0.012299204487487149	0.9978195446993252	0	0	4.815307001353513	21.17878290376897	MS4A6A;CXCL9;LYZ;GBP1
LJP009 MCF7 24H-AZD-1480-10	3/25	0.012395441200906755	0.9978195446993252	0	0	6.883903467666355	30.22327233907311	CSRP2;VNN1;LYZ
LJP008 HEPG2 24H-I-BET151-1.11	6/98	0.01253849331836608	0.9978195446993252	0	0	3.3060982495765106	14.477245215029601	CD163;IL1R2;SPP1;PI3;AQP1;IDO1
LJP008 HA1E 24H-I-BET151-0.12	5/72	0.013365629290739757	0.9978195446993252	0	0	3.778130075013533	16.302891381017044	CXCL9;IL1R2;GBP1;AQP1;IDO1
LJP005 SKBR3 3H-crizotinib-0.37	3/26	0.013812733270101952	0.9978195446993252	0	0	6.584267144778126	28.194914443267148	FCGBP;LOX;SPP1
LJP006 SKBR3 3H-canertinib-10	3/26	0.013812733270101952	0.9978195446993252	0	0	6.584267144778126	28.194914443267148	SPP1;PI3;GBP1
LJP008 HEPG2 24H-GSK-1070916-10	7/131	0.014621016641992972	0.9978195446993252	0	0	2.864478326612903	12.103266779802823	CSTA;SPP1;S100A4;PI3;LYZ;GBP1;AQP1
LJP005 HS578T 3H-buparlisib-1.11	4/49	0.015259261181776675	0.9978195446993252	0	0	4.493597473442435	18.794780006424027	IL1R2;SPP1;LYZ;S100A11
LJP006 A549 24H-AS-605240-1.11	4/49	0.015259261181776675	0.9978195446993252	0	0	4.493597473442435	18.794780006424027	CXCL9;IL1R2;LYZ;GBP1
LJP005 HCC515 24H-YM-201636-0.37	3/27	0.015318307961046261	0.9978195446993252	0	0	6.309600515463917	26.365969110227706	NNMT;CSRP2;IDO1
LJP006 HT29 24H-GSK-1059615-10	3/27	0.015318307961046261	0.9978195446993252	0	0	6.309600515463917	26.365969110227706	CSTA;CSRP2;IL1R2
LJP006 HME1 3H-OSI-027-10	4/50	0.016337056343235946	0.9978195446993252	0	0	4.395685877991237	18.085255491295705	CSTA;IL1R2;SPP1;PI3
LJP006 HS578T 24H-afatinib-3.33	4/50	0.016337056343235946	0.9978195446993252	0	0	4.395685877991237	18.085255491295705	CXCL9;APOC1;SPP1;LYZ
LJP005 MCF7 24H-TG-101348-0.37	3/28	0.01691274165090183	0.9978195446993252	0	0	6.056907216494845	24.710291671806836	VNN1;SPP1;PI3
