Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 PC3 24H-NVP-TAE684-10	30/186	1.3312727531286735E-19	2.431969065415461E-15	0	0	10.852285395763657	471.6726774897033	PCNA;MCM10;TYMS;CENPA;SKA1;KIF15;LMNB1;AURKA;CDC45;ORC1;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;CEP55;E2F8;WDR76;TPX2;KIF18A;KIF18B;RAD51;ESPL1;CDK2;HOXB7;DTL;ASF1B;EZH2
LJP006 BT20 24H-palbociclib-3.33	28/163	3.956644256967138E-19	3.6139988643137835E-15	0	0	11.649482335361299	493.63190857330875	PCNA;MCM10;TYMS;CENPA;KIF15;LMNB1;AURKA;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;E2F8;EMP3;TPX2;WEE1;KIF18B;RAD51;ESPL1;CDK2;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-10	28/168	9.154865846645447E-19	5.574702976217301E-15	0	0	11.230547550432277	466.4588972672807	PCNA;MCM10;TYMS;CENPA;KIF15;LMNB1;AURKA;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;IGF2BP3;TK1;CEP55;E2F8;TPX2;KIF18A;KIF18B;RAD51;ESPL1;CDK2;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP006 HT29 24H-palbociclib-0.37	29/195	5.43407977960412E-18	2.2275114679074972E-14	0	0	9.825040044571349	390.58308448064184	PCNA;MCM10;TYMS;CENPA;SKA1;KIF15;LMNB1;AURKA;CDC45;MDK;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;CEP55;E2F8;WDR76;TPX2;KIF18A;KIF18B;RAD51;ESPL1;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-10	28/180	6.096757904279334E-18	2.2275114679074972E-14	0	0	10.337554982557258	409.7680111978567	PCNA;MCM10;TYMS;CENPA;KIF15;LMNB1;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;E2F8;CA12;IGFBP2;TPX2;KIF18A;WEE1;KIF18B;RAD51;ESPL1;CDK2;HOXB7;DTL;ASF1B;EZH2
LJP005 A549 24H-dovitinib-10	30/215	8.931313825612618E-18	2.7192873494381883E-14	0	0	9.137485311398354	358.70996997678463	ERCC6L;LPL;MCM10;TYMS;CENPA;SKA1;KIF15;LMNB1;AURKA;BRIP1;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;CEP55;E2F8;POLQ;TPX2;KIF18A;KIF18B;RAD51;ESPL1;CDK2;HOXB7;NES;DTL;ASF1B;APOBEC3B
LJP006 A375 24H-PI-103-3.33	24/135	6.325700574878754E-17	1.5937574787514546E-13	0	0	12.02063602063602	448.3616191318108	PCNA;IGFBP2;LPL;MCM10;TYMS;CENPA;KIF15;LMNB1;AURKA;TPX2;KIF18B;CDC45;RAD51;ESPL1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;NES;DTL;CEP55;ASF1B
LJP006 HCC515 24H-palbociclib-3.33	25/150	6.979450312027391E-17	1.5937574787514546E-13	0	0	11.142857142857142	414.5251658126517	PCNA;MCM10;TYMS;CENPA;SKA1;KIF15;LMNB1;AURKA;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;E2F8;IGFBP2;TPX2;KIF18B;RAD51;ESPL1;DTL;ASF1B;EZH2;APOBEC3B
LJP006 HME1 24H-palbociclib-10	29/215	8.134207329127702E-17	1.651063327650054E-13	0	0	8.759571757101124	324.5234606860737	PCNA;MCM10;TYMS;CENPA;SKA1;KIF15;LMNB1;AURKA;CDC45;EXO1;PBK;NUSAP1;RCC1;OIP5;MYBL2;TK1;CEP55;E2F8;TPX2;KIF18A;WEE1;KIF18B;RAD51;ESPL1;CDK2;DTL;ASF1B;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-1.11	24/139	1.2727956612503864E-16	2.3251431139722057E-13	0	0	11.600148643626904	424.56713048322746	MCM10;TYMS;CENPA;KIF15;LMNB1;AURKA;TPX2;KIF18B;CDC45;RAD51;ESPL1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;HOXB7;DTL;CEP55;ASF1B;EZH2;APOBEC3B;E2F8
LJP006 HS578T 24H-palbociclib-0.12	24/142	2.1167208955617945E-16	3.5152961200111694E-13	0	0	11.303491235694626	407.9598786975546	PCNA;MCM10;TYMS;CENPA;KIF15;LMNB1;AURKA;TPX2;KIF18B;CDC45;RAD51;ESPL1;CDK2;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B
LJP006 HCC515 24H-PD-173074-10	25/162	4.598859297151551E-16	6.557476778689622E-13	0	0	10.16058394160584	358.82664267230615	PCNA;MCM10;TYMS;CENPA;KIF15;LMNB1;AURKA;ORC1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;E2F8;CA12;TPX2;KIF18B;RAD51;CDK2;DTL;ASF1B;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-0.37	26/178	4.666476796746501E-16	6.557476778689622E-13	0	0	9.544148695521038	336.91758398298805	MCM10;TYMS;CENPA;KIF15;LMNB1;AURKA;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;CEP55;E2F8;TPX2;KIF18A;KIF18B;RAD51;ESPL1;CDK2;TAGLN2;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP006 LNCAP 24H-geldanamycin-0.37	24/150	7.731071031839027E-16	1.0087943257831097E-12	0	0	10.581467914801248	368.1939646939485	PCNA;MCM10;TYMS;CENPA;KIF15;LMNB1;TPX2;KIF18A;KIF18B;CDC45;RAD51;EXO1;CDK2;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B
LJP006 HT29 24H-palbociclib-1.11	24/151	9.03669960210385E-16	1.1005495222082207E-12	0	0	10.497610875563632	363.6379489867904	PCNA;MCM10;TYMS;CENPA;KIF15;LMNB1;AURKA;TPX2;KIF18B;CDC45;RAD51;ESPL1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B;E2F8
LJP006 HS578T 24H-palbociclib-10	24/152	1.054970407952074E-15	1.144964759562396E-12	0	0	10.415064102564102	359.16623179718107	PCNA;MCM10;TYMS;CENPA;KIF15;LMNB1;AURKA;TPX2;BRIP1;KIF18A;KIF18B;CDC45;RAD51;EXO1;CDK2;NUSAP1;PBK;SPP1;MYBL2;DTL;CEP55;ASF1B;EZH2;E2F8
LJP006 BT20 24H-PHA-793887-3.33	26/184	1.0654916199124554E-15	1.144964759562396E-12	0	0	9.178883609589786	316.44513406253	PCNA;MCM10;TYMS;CENPA;KIF15;LMNB1;AURKA;CDC45;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;CEP55;E2F8;TPX2;WEE1;KIF18B;RAD51;ESPL1;CDK2;DTL;ASF1B;APOBEC3B
LJP006 A375 24H-palbociclib-10	24/154	1.4325591792771523E-15	1.3773679519492116E-12	0	0	10.25378040762656	350.4671793602691	MCM10;TYMS;CENPA;KIF15;LMNB1;AURKA;TPX2;BRIP1;KIF18B;CDC45;RAD51;ESPL1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B;E2F8
LJP006 MCF10A 24H-mitoxantrone-0.37	24/154	1.4325591792771523E-15	1.3773679519492116E-12	0	0	10.25378040762656	350.4671793602691	IGFBP2;MCM10;CENPA;SKA1;KIF15;LMNB1;AURKA;TPX2;KIF18A;KIF18B;CDC45;RAD51;EXO1;NUSAP1;PBK;SPP1;OIP5;MYBL2;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B
LJP006 HS578T 24H-palbociclib-1.11	24/156	1.9360487480707253E-15	1.7683869264878004E-12	0	0	10.097384097384097	342.08046310687166	PCNA;MCM10;TYMS;CENPA;KIF15;LMNB1;AURKA;TPX2;KIF18B;CDC45;RAD51;ESPL1;EXO1;CDK2;NUSAP1;PBK;OIP5;MYBL2;TK1;DTL;CEP55;ASF1B;EZH2;APOBEC3B
