Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP008 HCC515 24H-I-BET151-10	27/185	8.585757442832463E-14	1.3120807797825915E-9	0	0	7.158351142528358	215.3667722643653	NNMT;C1R;CFI;TYMS;LMNB1;EFEMP1;MDK;GBP2;POSTN;ANXA1;IGFBP3;IGFBP2;COL1A1;SFRP4;MELK;LOX;COL4A2;COL5A1;COL4A1;ADAM12;CDK2;DPYD;HOXB2;FMOD;MXRA5;DTL;ASF1B
LJP008 PC3 24H-I-BET151-3.33	27/187	1.1219639828830575E-13	1.3120807797825915E-9	0	0	7.068141233766234	210.76154963895686	CSTA;SPARC;C1R;CFI;TFPI;LMNB1;MRC2;MDK;IGFBP7;CA12;POSTN;ANXA1;IGFBP3;HMGA2;COL1A1;MMP14;COL3A1;MELK;LOX;COL4A2;COL4A1;DPYD;MGP;ID3;S100A4;TAGLN2;HOXB2
LJP006 HME1 24H-XMD-1150-10	24/151	3.107238190685402E-13	2.4225064680646955E-9	0	0	7.877673355346711	226.8759836525559	CA12;POSTN;SPARC;NNMT;ANXA1;TNC;FN1;EMP3;FSTL1;ACTG2;LMNB1;COL1A1;MMP14;COL3A1;MELK;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;IGFBP7;PTX3;PLP2;CCL18
LJP006 PC3 24H-BI-2536-10	20/109	1.9081662397221817E-12	1.1157525045215527E-8	0	0	9.305958170623608	251.1201498062135	DENND2D;CA12;FCGBP;POSTN;CSTA;SPARC;ANXA1;C1R;HMGA2;CP;FSTL1;ACTG2;LMNB1;HOXA10;EFEMP1;LOX;COL4A2;MDK;S100A4;S100A9
LJP006 HCC515 24H-KIN001-043-10	20/117	7.5155113360363E-12	3.1517828612874556E-8	0	0	8.534939441232718	218.6143831168036	SPARC;LUM;IGFBP3;TNC;FN1;TFPI;TYMS;CP;FSTL1;SERPINA5;EFEMP1;CSRP2;COL4A2;COL4A1;MDK;ID3;S100A4;HOXB2;IGFBP7;ASF1B
LJP006 HEPG2 24H-BI-2536-10	21/131	8.085295295961663E-12	3.1517828612874556E-8	0	0	7.914160839160839	202.13537701337629	ABCC3;CA12;FCGBP;POSTN;SPARC;C1R;PROS1;SERPINE1;IGFBP2;CFI;LYZ;TYMS;COL1A1;COL3A1;EFEMP1;LOX;MDK;MGP;SPP1;ANG;GBP2
LJP005 HEPG2 24H-TG-101348-10	24/179	1.3423511815537714E-11	4.485178826480165E-8	0	0	6.44528616024974	161.35137967331661	POSTN;CSTA;SPARC;C1R;SERPINE1;NID1;TYMS;LMNB1;COL1A1;COL3A1;EFEMP1;MELK;MDK;MGP;CHI3L2;SPP1;S100A4;TGFBI;GBP2;S100A9;DTL;ASF1B;EZH2;E2F8
LJP006 HME1 24H-BI-2536-10	19/119	8.657391770982961E-11	2.531096701644006E-7	0	0	7.847	181.81516676861662	POSTN;CSTA;SPARC;NNMT;VCAM1;ANXA1;IGFBP2;TNC;HMGA2;COL1A1;COL3A1;SRPX2;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;IGFBP7;PTX3
LJP007 HA1E 24H-dacomitinib-10	17/96	1.5918436284588088E-10	4.1368478473358974E-7	0	0	8.85925767002789	199.87334083078198	SPARC;VCAM1;LUM;IGFBP3;CAV1;TNFRSF9;SERPINE1;TNC;FSTL1;COL1A1;PRDX4;COL5A1;COL4A1;MGP;ID3;TAGLN2;TGFBI
LJP005 A549 24H-XMD16-144-10	20/143	3.2127083414231055E-10	6.877236515664826E-7	0	0	6.721791738173246	146.92987527609225	NNMT;ANXA1;ANXA2;IGFBP3;SERPINE1;EMP3;TFPI;TYMS;CP;COL1A1;COL3A1;EFEMP1;COL4A2;COL5A1;DPYD;TAGLN2;HOXB2;IGFBP7;TGFBI;S100A11
LJP006 A549 24H-BI-2536-10	24/208	3.2344094092228433E-10	6.877236515664826E-7	0	0	5.421318373071529	118.46667392608065	CA12;ABCC3;ANXA1;NNMT;VCAM1;GDF15;C1R;IGFBP3;CFI;F2R;HMGA2;EMP3;TFPI;CP;FSTL1;COL1A1;COL3A1;LOX;COL5A1;COL4A1;DPYD;ID3;HOXB2;ANG
LJP006 HME1 24H-BI-2536-1.11	17/102	4.2821288435312764E-10	8.346225960112752E-7	0	0	8.23135593220339	177.5618767117248	CA12;POSTN;CD163;NNMT;ANXA1;IGFBP2;TNC;HMGA2;RNASE2;CP;COL1A1;LOX;COL4A2;COL4A1;MDK;SERPINH1;PLP2
LJP008 HEPG2 24H-GSK-1070916-10	19/131	4.743867904685224E-10	8.534948186360207E-7	0	0	7.001918693009118	150.32417921000732	CA12;POSTN;CSTA;ANXA1;ANGPT2;LUM;CAV1;F13A1;LYZ;COL3A1;EFEMP1;PLAU;SPP1;CHI3L1;S100A4;PI3;S100A9;ASF1B;S100A10
LJP005 A549 24H-ruxolitinib-10	13/55	5.417465610289884E-10	9.050650225647863E-7	0	0	12.659913965586234	270.1147452951403	POSTN;SERPINE1;FN1;LYZ;ACTG2;COL1A1;COL3A1;EFEMP1;COL4A2;COL5A1;COL4A1;HLA-DRA;IGFBP7
LJP006 A549 24H-BI-2536-3.33	21/168	9.60970851402373E-10	1.4984098162300067E-6	0	0	5.910866910866911	122.72778503728321	ABCC3;CA12;NNMT;VCAM1;C1R;GDF15;PROS1;IGFBP3;FN1;HMGA2;TFPI;CP;COL1A1;COL3A1;LOX;COL4A2;COL4A1;MDK;DPYD;HOXB2;ANG
LJP008 HEPG2 24H-I-BET151-1.11	16/98	1.918341536896477E-9	2.8042556379044816E-6	0	0	8.014850719331717	160.8725191960587	CA12;CD163;C1R;IGFBP2;CFI;F13A1;SERPINA5;FCGR2A;MGP;SLAMF8;SPP1;HLA-DRA;VSIG4;PI3;MXRA5;S100A9
LJP005 HEPG2 24H-NU-7441-10	14/73	2.2404565790148444E-9	3.0824728780340116E-6	0	0	9.717323818019626	193.53591708498791	POSTN;ANXA1;NNMT;LUM;CAV1;F13A1;CXCR4;COL1A1;COL3A1;PRDX4;COL5A1;SPP1;S100A4;HLA-DQA1
