Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-WYE-125132-3.33	18/127	1.3938206084237198E-10	2.4798856265074823E-6	0	0	8.122185154295247	184.32326425127133	CXCL9;CSTA;PCNA;RRM2;MCM10;EMP3;LYZ;TYMS;PDIA4;CXCL10;CDK2;EIF4EBP1;MYBL2;TK1;DTL;ASF1B;EZH2;LTF
LJP006 LNCAP 24H-torin-1-0.37	15/98	1.6288800720445632E-9	1.2899382021031552E-5	0	0	8.833680587009693	178.75282279499174	CA12;PCNA;RRM2;MCM10;EMP3;TYMS;LMNB1;CDK2;EIF4EBP1;ID3;MYBL2;TK1;DTL;ASF1B;EZH2
LJP006 LNCAP 24H-WYE-125132-0.37	15/100	2.1750306914958776E-9	1.2899382021031552E-5	0	0	8.624944714727997	172.03507117283496	CXCL9;CSTA;PCNA;RRM2;GDF15;MCM10;TYMS;CDK2;EIF4EBP1;MYBL2;TK1;DTL;ASF1B;EZH2;APOBEC3B
LJP006 HEPG2 24H-PI-103-10	15/103	3.3127239811222922E-9	1.3066261033879433E-5	0	0	8.329630895420369	162.64016665840634	PCNA;RRM2;LPL;EMP3;TYMS;AQP1;LMNB1;PRDX4;ID3;MYBL2;TK1;DTL;ASF1B;EZH2;LTF
LJP009 HCC515 24H-PF-3758309-0.04	15/104	3.798829094637628E-9	1.3066261033879433E-5	0	0	8.235617132719439	159.67686357165766	CSTA;PCNA;RRM2;IGFBP2;MCM10;LYZ;TYMS;LMNB1;TK1;HOXB7;DTL;HOXB6;ASF1B;EZH2;LTF
LJP007 A375 24H-vandetanib-10	15/106	4.9716940773887564E-9	1.3066261033879433E-5	0	0	8.053788316946212	153.98444755945297	CA12;PCNA;MCM10;TYMS;LOXL2;LMNB1;CHI3L1;CYTL1;MYBL2;DTL;HOXA5;CAMP;ASF1B;HOXC6;LTF
LJP006 HS578T 24H-ZSTK-474-0.12	14/91	5.346823479797365E-9	1.3066261033879433E-5	0	0	8.867727272727272	168.9015014367538	CA12;PCNA;RRM2;MCM10;EMP3;TYMS;LYZ;CDK2;NUSAP1;CHI3L2;MYBL2;TK1;DTL;ASF1B
LJP006 LNCAP 24H-PI-103-10	13/77	5.875117371348666E-9	1.3066261033879433E-5	0	0	9.888793640897756	187.41775504334979	PCNA;RRM2;TYMS;LMNB1;PDIA4;CDK2;NUSAP1;EIF4EBP1;ID3;MYBL2;TK1;DTL;ASF1B
LJP006 LNCAP 24H-palbociclib-1.11	17/143	7.1472118181155134E-9	1.3092791845996041E-5	0	0	6.6134900643716765	124.0462141572525	PCNA;RRM2;GDF15;IGFBP2;MCM10;TYMS;LOXL2;LMNB1;CDK2;NUSAP1;ID3;CHI3L1;MYBL2;TK1;DTL;ASF1B;EZH2
LJP006 LNCAP 24H-XMD11-85H-10	15/109	7.3588083666794296E-9	1.3092791845996041E-5	0	0	7.79555271156615	145.99018302099756	CA12;PCNA;CDKN2C;RRM2;GDF15;MCM10;TYMS;LMNB1;HOXA10;CDK2;NUSAP1;MYBL2;DTL;ASF1B;EZH2
LJP006 BT20 24H-palbociclib-3.33	18/163	8.41929922058524E-9	1.3617833793877509E-5	0	0	6.09435736677116	113.31079735644893	OSR2;PCNA;CDKN2C;RRM2;MCM10;EMP3;CDC25C;TYMS;LMNB1;CDK2;NUSAP1;MYBL2;TK1;PLP2;DTL;ASF1B;EZH2;APOBEC3B
LJP006 LNCAP 24H-WYE-125132-10	16/128	9.583518768075411E-9	1.420916382679981E-5	0	0	6.989949748743719	129.0569870517839	CSTA;PCNA;RRM2;MCM10;TYMS;PDIA4;LMNB1;CDK2;EIF4EBP1;MYBL2;TK1;DTL;ASF1B;EZH2;APOBEC3B;LTF
LJP006 LNCAP 24H-WYE-125132-1.11	15/112	1.0750916925963568E-8	1.4713870303595676E-5	0	0	7.553290442601349	138.58984861384863	CXCL9;CSTA;PCNA;RRM2;MCM10;TYMS;LMNB1;CDK2;EIF4EBP1;MYBL2;TK1;DTL;ASF1B;EZH2;LTF
LJP006 HS578T 24H-OSI-027-10	15/114	1.3747274529751606E-8	1.7470822030952897E-5	0	0	7.399939242044505	133.95684697254714	CA12;PCNA;RRM2;MCM10;LYZ;TYMS;PDIA4;LMNB1;CDK2;APOC1;EIF4EBP1;MYBL2;TK1;DTL;LTF
LJP006 LNCAP 24H-torin-1-1.11	15/115	1.5514562480654027E-8	1.8402339710386433E-5	0	0	7.325563909774436	131.724530300831	CSTA;PCNA;RRM2;MCM10;LYZ;TYMS;LMNB1;CDK2;NUSAP1;EIF4EBP1;MYBL2;IGF2BP3;TK1;DTL;ASF1B
LJP006 LNCAP 24H-AZD-8055-1.11	16/134	1.864272313385412E-8	1.943469898393809E-5	0	0	6.632484456179201	118.04369783074038	CSTA;PCNA;RRM2;MCM10;TYMS;LMNB1;CDK2;EIF4EBP1;MYBL2;IGF2BP3;TK1;HOXB7;DTL;ASF1B;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-0.37	14/100	1.86777270398225E-8	1.943469898393809E-5	0	0	7.936046511627907	141.229360658958	CA12;PCNA;RRM2;IGFBP2;TYMS;LMNB1;CDK2;NUSAP1;ID3;MYBL2;TK1;DTL;ASF1B;EZH2
LJP006 HS578T 24H-WYE-125132-1.11	16/135	2.0754231154160505E-8	1.943469898393809E-5	0	0	6.5764114691102575	116.34011034403963	PCNA;RRM2;MCM10;EMP3;LYZ;TYMS;PDIA4;LMNB1;CXCL10;CDK2;APOC1;EIF4EBP1;MYBL2;TK1;DTL;S100A11
LJP006 LNCAP 24H-GSK-2126458-0.12	16/135	2.0754231154160505E-8	1.943469898393809E-5	0	0	6.5764114691102575	116.34011034403963	CSTA;PCNA;RRM2;MCM10;LYZ;TYMS;LMNB1;CDK2;NUSAP1;EIF4EBP1;MYBL2;TK1;DTL;ASF1B;EZH2;LTF
LJP006 LNCAP 24H-AZD-8055-0.37	15/121	3.1221232468184663E-8	2.7774408403697076E-5	0	0	6.9087813874308415	119.39871678372025	CSTA;PCNA;RRM2;MCM10;TYMS;LMNB1;CDK2;NUSAP1;EIF4EBP1;MYBL2;TK1;DTL;ASF1B;EZH2;APOBEC3B
LJP006 LNCAP 24H-ZSTK-474-10	15/123	3.904480585150201E-8	3.3080246938567794E-5	0	0	6.780144806460596	115.65947974892786	CSTA;PCNA;RRM2;MCM10;TYMS;LMNB1;CDK2;EIF4EBP1;MYBL2;TK1;DTL;ASF1B;EZH2;APOBEC3B;LTF
