Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP009 HCC515 24H-JNK-IN-5A-0.37	7/51	1.7247154253178594E-6	0.016149062319481305	0	0	14.201563142739614	188.46111219048072	MRC2;CA12;POSTN;COL3A1;LOX;IGFBP2;CHI3L1
LJP008 HCC515 24H-GSK-461364-1.11	6/37	3.555218172248667E-6	0.016149062319481305	0	0	17.210985178727114	215.94785103967965	POSTN;COL3A1;SPARC;IGFBP7;NES;CD44
LJP005 PC3 24H-brivanib-10	7/57	3.7167001886032926E-6	0.016149062319481305	0	0	12.493574660633485	156.2030951920918	POSTN;SPARC;IGFBP2;FN1;CHI3L1;NES;CD44
LJP006 HME1 24H-BI-2536-10	9/119	9.062258450021486E-6	0.02432930278283341	0	0	7.345703611457036	85.29384555830006	POSTN;COL3A1;SPARC;ANXA1;SRPX2;LOX;IGFBP2;TNC;IGFBP7
LJP006 HME1 24H-XMD-1150-10	10/151	9.388968180757575E-6	0.02432930278283341	0	0	6.386557355716052	73.93062928012782	CA12;POSTN;ENPEP;COL3A1;SPARC;ANXA1;LOX;TNC;FN1;IGFBP7
LJP008 PC3 24H-belinostat-1.11	8/94	1.2095870692979287E-5	0.02432930278283341	0	0	8.323890063424948	94.24846409910354	CA12;STEAP3;COL3A1;SPARC;ANXA1;S100A4;HOXB6;PPIC
LJP005 MCF10A 3H-AZD-8330-1.11	7/70	1.4864764652749077E-5	0.02432930278283341	0	0	9.908999497234792	110.15356070948329	COL3A1;ANXA1;SRPX2;TNFRSF12A;PLAU;SPP1;LOXL2
LJP005 A549 24H-WH-4-025-0.37	6/47	1.4931677964147854E-5	0.02432930278283341	0	0	13.00659195781147	144.5295823353397	COL3A1;ANXA1;ANXA2;FN1;ANXA2P2;LOXL2
LJP008 HEPG2 24H-GSK-1070916-10	9/131	1.9684570017838435E-5	0.025030248044438343	0	0	6.6191331686503485	71.7227789541754	CA12;POSTN;COL3A1;ANXA1;ANGPT2;PLAU;SPP1;CHI3L1;S100A4
LJP006 HT29 24H-AS-605240-3.33	6/50	2.14770538920808E-5	0.025030248044438343	0	0	12.117936117936118	130.24994480864422	COL3A1;WEE1;ANXA2;TNFRSF12A;ANXA2P2;NES
LJP007 HA1E 24H-tanespimycin-10	9/134	2.358395869114869E-5	0.025030248044438343	0	0	6.459287671232877	68.8233470831723	SRPX;SPARC;ANXA1;LOX;TNFRSF12A;PLAU;TNC;FN1;CD44
LJP006 A375 24H-canertinib-1.11	6/51	2.4110720221840898E-5	0.025030248044438343	0	0	11.848048048048048	125.97856500747446	POSTN;COL3A1;SPARC;IGFBP7;NID1;LOXL2
LJP006 HME1 24H-nintedanib-10	7/76	2.55850018974048E-5	0.025030248044438343	0	0	9.044593088071348	95.63304337978359	CA12;POSTN;COL3A1;SPARC;LOX;IRX5;TNC
LJP007 HEPG2 24H-dasatinib-10	4/16	2.6883273695599296E-5	0.025030248044438343	0	0	29.404761904761905	309.4558983728803	CA12;TNC;IGFBP7;CD44
LJP006 A549 24H-XMD-1150-10	5/32	2.8866178837809495E-5	0.02508470941005645	0	0	16.396777943863146	171.39289522462735	CA12;IGFBP2;FN1;IGFBP7;CD44
LJP005 MCF7 3H-HG-5-113-01-0.37	6/56	4.145440413796563E-5	0.029911522949191614	0	0	10.660540540540541	107.57462369542466	SRPX;POSTN;CSRP2;ANXA1;PLAU;FCGR2B
