Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP008 PC3 24H-I-BET151-3.33	14/187	1.5191553464487487E-4	0.9457116608402111	0	0	3.4122432531137052	30.001076965183906	CA12;CSTA;ANXA1;IGFBP3;TFPI;AQP1;MRC2;MMP14;LOX;MDK;ID3;S100A4;TAGLN2;NES
LJP006 PC3 24H-BI-2536-0.12	7/52	2.1101982069722584E-4	0.9457116608402111	0	0	6.503290414878398	55.04097881643724	CSTA;ANXA1;LOX;MDK;IGFBP3;S100A4;ANG
LJP006 PC3 24H-XMD-1150-10	7/56	3.372785288812631E-4	0.9457116608402111	0	0	5.971183323114653	47.73723099514932	CA12;LOX;MDK;IGFBP3;S100A4;NES;CD44
LJP008 HA1E 24H-belinostat-10	12/168	6.746583875670801E-4	0.9457116608402111	0	0	3.232270982813282	23.599793339346054	CA12;PRDX4;ANXA1;LOX;MDK;TGFB1I1;IGFBP2;SERPINH1;HAS2;EMP3;S100A11;LOXL2
LJP006 HME1 24H-BI-2536-1.11	9/102	7.030134521018578E-4	0.9457116608402111	0	0	4.05325361512792	29.427166534320456	CA12;ANXA1;LOX;MDK;TGFB1I1;IGFBP2;TNC;SERPINH1;PLP2
LJP006 A549 24H-XMD-1150-10	5/32	8.606767123609123E-4	0.9457116608402111	0	0	7.716049382716049	54.45826854399806	CA12;IGFBP3;IGFBP2;EMP3;CD44
LJP007 HCC515 24H-GDC-0068-10	5/32	8.606767123609123E-4	0.9457116608402111	0	0	7.716049382716049	54.45826854399806	CSRP2;IGFBP3;PBK;CHI3L1;NES
LJP006 HS578T 24H-JW-7-24-1-0.12	4/19	9.027763929662271E-4	0.9457116608402111	0	0	11.094243070362474	77.7710395666791	TNC;TAGLN2;EMP3;CD44
LJP006 HCC515 24H-WYE-125132-3.33	8/85	9.030061345293678E-4	0.9457116608402111	0	0	4.345761765116603	30.4628391689078	CA12;CSTA;CSRP2;DYNLT1;IGFBP3;TNC;PBK;NES
LJP006 HA1E 24H-XMD-1150-3.33	8/86	9.754481640132556E-4	0.9457116608402111	0	0	4.289826302729528	29.739707898442393	CA12;PPP1R14B;ANXA1;LOX;IGFBP3;S100A4;EMP3;PLP2
LJP008 PC3 24H-I-BET-0.04	5/33	9.948825557120429E-4	0.9457116608402111	0	0	7.440094627594628	51.43252496477129	LOX;IGFBP3;S100A4;LYZ;AQP1
LJP006 PC3 24H-GDC-0941-0.37	6/49	0.00100158679823495	0.9457116608402111	0	0	5.821622429161894	40.205112648559556	IGFBP3;TNC;SPP1;ID3;EMP3;TMEM45A
LJP007 HA1E 24H-sutent-10	7/67	0.001012261877839742	0.9457116608402111	0	0	4.873712446351932	33.60701543529698	CA12;SRPX2;LOX;IGFBP3;CHI3L1;HAS2;TMEM45A
LJP008 MCF7 24H-GSK-1070916-0.12	4/20	0.0011075451500080534	0.9457116608402111	0	0	10.400319829424307	70.78051324359407	IGFBP2;PDPN;PBK;TREM1
LJP008 MCF7 24H-AZ20-1.11	6/50	0.0011157922743873364	0.9457116608402111	0	0	5.689020829277789	38.675047733704204	CA12;CHI3L1;ID3;OIP5;TAGLN2;HOXC10
