Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 PC3 24H-BI-2536-10	14/109	2.2520541604218467E-6	0.01818712459334179	0	0	5.201728774490972	67.64155295906504	DENND2D;FCGBP;CSTA;SPARC;ANXA1;CDKN2C;FSTL1;PSMB9;HOXA10;EFEMP1;S100A4;S100A9;HOXB7;HOXC6
LJP009 HEPG2 24H-SYK-inhibitor-1.11	10/55	2.6562941788913456E-6	0.01818712459334179	0	0	7.807165861513687	100.23291234048062	VNN1;HLA-DRA;S100A4;TAGLN2;HOXB2;LYZ;S100A9;HOXB6;HLA-DQA1;HLA-DPA1
LJP005 SKBR3 24H-PHA-665752-10	11/70	3.7711173765488614E-6	0.01818712459334179	0	0	6.557230305453874	81.88760491319807	GZMK;IGKC;KRT16;MGP;LYZ;S100A9;HOXC10;HLA-DQA1;CCR2;LTF;HOXC6
LJP008 A375 24H-I-BET151-0.37	12/85	4.381647796986519E-6	0.01818712459334179	0	0	5.7877957658779575	71.41032014437093	CSTA;SPARC;EFEMP1;ANXA1;IGKC;IGKV1-5;CHI3L2;HOXB2;CXCL13;FCGR2B;FSTL1;HLA-DQA1
LJP009 HEPG2 24H-ponatinib-0.37	9/56	2.3917908476755752E-5	0.0743230027572259	0	0	6.714593513139164	71.44920444239078	OSR2;SFRP4;CSTA;VNN1;PLA2G2A;HLA-DRA;LYZ;HLA-DQA1;HLA-DPA1
LJP009 HA1E 24H-XMD-1499-10	8/44	2.6858881921541617E-5	0.0743230027572259	0	0	7.7825912555154435	81.9111036138861	FCGBP;ADAMDEC1;EFEMP1;PLA2G2A;TAGLN2;HLA-DQA1;HLA-DPA1;S100A10
LJP009 HA1E 24H-JWE-035-3.33	9/59	3.681341386192478E-5	0.08731615862136244	0	0	6.310741410488246	64.43045013718833	CXCL10;IGFBP3;PLA2G2A;IGKV1-5;MGP;EMP3;S100A9;AQP1;LTF
LJP007 HA1E 24H-tivantinib-10	11/93	5.937285314092913E-5	0.12322093508735579	0	0	4.712407595945288	45.8596119053686	HOXA10;SFRP4;EFEMP1;VCAM1;IGFBP3;SHOX2;PLA2G2A;MGP;HOXC10;AQP1;PPIC
LJP008 HT29 24H-(+)-JQ1-0.37	9/66	9.110485735196507E-5	0.16806821629051957	0	0	5.533739411820691	51.48314149805026	CXCL10;ANXA1;IGKC;MGP;HLA-DRA;CD48;PITX1;AQP1;HLA-DPA1
LJP007 HA1E 24H-OSI-930-10	7/40	1.1099889454064847E-4	0.18429146460583865	0	0	7.416598416598417	67.53547335768415	SPARC;EFEMP1;VCAM1;IGFBP3;MGP;EMP3;AQP1
