Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 PC3 24H-BI-2536-0.12	5/52	8.783900944860453E-5	0.681894230349517	0	0	12.450585421125519	116.28852830625036	CSTA;ANXA1;MDK;S100A4;ANG
LJP009 PC3 24H-XMD-892-3.33	5/75	4.966061703032017E-4	0.759905237593447	0	0	8.349957734573119	63.52408417666878	CSTA;MDK;S100A4;CD44;LTF
LJP005 A549 24H-neratinib-3.33	4/52	0.0010819915389564737	0.759905237593447	0	0	9.695098039215686	66.20735835404435	CSRP2;MDK;CHI3L2;LTF
LJP006 HME1 24H-KIN001-043-0.12	5/98	0.0016646446617243388	0.759905237593447	0	0	6.277597505885347	40.164970272435404	CSTA;ANXA1;TGFB1I1;IGF2BP2;CD44
LJP005 SKBR3 3H-PF-431396-1.11	3/29	0.0020024780154431977	0.759905237593447	0	0	13.360323886639677	83.01263372551767	IGFBP7;CD44;LTF
LJP008 A549 24H-BIX-01294-10	2/8	0.002035862143008843	0.759905237593447	0	0	38.41085271317829	238.02575074713616	IGFBP7;LTF
LJP008 HA1E 24H-(+)-JQ1-0.04	4/62	0.0020843563843382647	0.759905237593447	0	0	8.01947261663286	49.506571489629444	NMB;SRPX2;CHI3L2;CD44
LJP008 PC3 24H-I-BET-0.37	4/65	0.00247923237047189	0.759905237593447	0	0	7.623915139826423	45.74201404660443	CSTA;S100A4;IGFBP7;S100A11
LJP006 PC3 24H-BI-2536-10	5/109	0.0026530809131914425	0.759905237593447	0	0	5.6104915794264905	33.28162515379907	CSTA;ANXA1;MDK;TGFB1I1;S100A4
LJP005 MCF7 3H-dasatinib-1.11	4/67	0.002769304784523841	0.759905237593447	0	0	7.381139122315593	43.46870167543166	CSTA;SRPX2;IGF2BP2;LTF
LJP008 PC3 24H-I-BET-0.04	3/33	0.002914878907890178	0.759905237593447	0	0	11.576608187134504	67.58339351653916	CHI3L2;S100A4;LTF
LJP008 A375 24H-mocetinostat-1.11	3/33	0.002914878907890178	0.759905237593447	0	0	11.576608187134504	67.58339351653916	CSTA;IGFBP7;LTF
LJP005 BT20 24H-WH-4-025-0.37	4/68	0.0029227012366234615	0.759905237593447	0	0	7.265441176470588	42.39564389617439	CSRP2;TGFB1I1;IGFBP7;CD44
LJP005 BT20 24H-PLX-4720-10	3/34	0.0031767081924422157	0.759905237593447	0	0	11.202603282399547	64.43636335849688	CSRP2;ANXA2;ANXA2P2
LJP005 BT20 24H-dovitinib-10	3/34	0.0031767081924422157	0.759905237593447	0	0	11.202603282399547	64.43636335849688	STEAP3;CSTA;ANXA1
LJP008 A375 24H-AZ20-3.33	4/70	0.0032467299058516748	0.759905237593447	0	0	7.044563279857398	40.36610116458563	CSTA;ANXA2;IGFBP7;LTF
LJP006 HS578T 24H-BI-2536-0.37	5/115	0.0033433052168774426	0.759905237593447	0	0	5.302850995158687	30.230468429738853	ANXA1;TGFB1I1;IGFBP7;PLP2;S100A11
LJP006 HME1 3H-radicicol-0.12	3/36	0.0037425408485829937	0.759905237593447	0	0	10.522594364699628	58.80015762882659	CSTA;CPVL;LTF
