Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-palbociclib-0.12	13/96	2.91339954249602E-11	2.6154345874625455E-7	0	0	15.430843373493977	374.33861005420766	TROAP;PLK1;NCAPG;KIF23;TTK;KIF15;AURKA;TPX2;KIF18A;NUSAP1;GTSE1;NES;DLGAP5
LJP005 A549 24H-TG-101348-10	17/194	3.1236529170698025E-11	2.6154345874625455E-7	0	0	9.60942003920212	232.44642123869673	CXCL9;IGFBP3;TROAP;PLK1;NCAPG;KIF23;TTK;KIF15;AURKA;TPX2;KIF18A;COL4A2;COL4A1;GTSE1;NES;GBP1;DLGAP5
LJP006 HME1 24H-palbociclib-1.11	14/124	6.103675784913342E-11	3.4070718231386274E-7	0	0	12.584650525354043	295.9852523966084	CDKN2C;TROAP;PLK1;NCAPG;KIF23;TTK;CDC25C;KIF15;AURKA;TPX2;KIF18A;NUSAP1;GTSE1;DLGAP5
LJP006 BT20 24H-PHA-793887-1.11	13/111	1.8846653162928752E-10	6.413757560703511E-7	0	0	13.059030612244898	292.41912819830077	TROAP;PLK1;NCAPG;KIF23;TTK;KIF15;AURKA;SFRP4;TPX2;KIF18A;NUSAP1;GTSE1;DLGAP5
LJP006 A375 24H-KIN001-043-10	16/190	2.1951832800374183E-10	6.413757560703511E-7	0	0	9.154793161794737	203.5988042314054	PCNA;PLK1;FN1;NCAPG;KIF23;TTK;NID1;KIF15;AURKA;TPX2;COL4A2;COL4A1;NUSAP1;IGF2BP3;GTSE1;DLGAP5
LJP006 A375 24H-AZD-5438-1.11	15/163	2.349699146227856E-10	6.413757560703511E-7	0	0	10.052723177723177	222.8845916184339	TROAP;PLK1;NCAPG;KIF23;TTK;CDC25C;KIF15;AURKA;TPX2;KIF18A;NUSAP1;IGF2BP3;GTSE1;NES;DLGAP5
LJP007 HCC515 24H-NVP-BGJ398-10	12/92	2.6810165367804003E-10	6.413757560703511E-7	0	0	14.706716417910448	324.1309546006589	CXCL10;CXCL9;PCNA;CDKN2C;IGFBP3;NUSAP1;NCAPG;KIF23;TTK;GTSE1;GBP1;DLGAP5
LJP006 BT20 24H-palbociclib-10	15/168	3.6008380354057144E-10	7.304296483904829E-7	0	0	9.721727074668252	211.39588632232247	PCNA;CDKN2C;TROAP;PLK1;NCAPG;KIF23;TTK;KIF15;AURKA;TPX2;KIF18A;NUSAP1;IGF2BP3;GTSE1;DLGAP5
LJP006 MCF10A 24H-PHA-793887-3.33	13/118	4.0896243152014597E-10	7.304296483904829E-7	0	0	12.184095238095239	263.3884338213539	PCNA;TROAP;PLK1;NCAPG;KIF23;TTK;KIF15;AURKA;TPX2;NUSAP1;IGF2BP3;GTSE1;DLGAP5
LJP005 A375 24H-TG-101348-10	16/199	4.3618156478590883E-10	7.304296483904829E-7	0	0	8.70056309117639	187.52291026155925	PLK1;IGFBP2;NCAPG;KIF23;TTK;NID1;KIF15;AURKA;TPX2;COL4A2;COL4A1;NUSAP1;IGFBP7;GTSE1;NES;DLGAP5
LJP005 HCC515 24H-neratinib-3.33	15/174	5.896449324612491E-10	8.976540035450979E-7	0	0	9.35201067276539	198.74426013895877	PCNA;IGFBP3;IGFBP2;PLK1;NCAPG;TTK;AURKA;TPX2;COL4A2;COL4A1;NUSAP1;IGFBP7;GTSE1;GBP1;DLGAP5
LJP006 HCC515 24H-palbociclib-3.33	14/150	7.883947379318671E-10	1.04382647955521E-6	0	0	10.16531185338457	213.0753275815596	PCNA;CDKN2C;TROAP;IGFBP2;PLK1;NCAPG;KIF23;TTK;KIF15;AURKA;TPX2;NUSAP1;GTSE1;DLGAP5
LJP006 A375 24H-NVP-TAE684-10	15/178	8.103274951760259E-10	1.04382647955521E-6	0	0	9.120654396728016	190.92797249866422	PCNA;IGFBP3;PLK1;FN1;NCAPG;KIF23;KIF15;AURKA;TPX2;COL4A2;COL4A1;NUSAP1;GTSE1;NES;DLGAP5
LJP006 SKBR3 24H-PHA-793887-0.37	12/105	1.2776691919555227E-9	1.4773161760098375E-6	0	0	12.642593484191943	258.897916466485	SFRP4;TPX2;CDKN2C;TROAP;IGFBP2;PLK1;NUSAP1;KIF23;TTK;GTSE1;DLGAP5;AURKA
LJP006 HS578T 24H-palbociclib-1.11	14/156	1.3232857183893204E-9	1.4773161760098375E-6	0	0	9.73281902470097	198.96945990209102	CXCL9;PCNA;CDKN2C;TROAP;PLK1;NCAPG;KIF23;TTK;KIF15;AURKA;TPX2;NUSAP1;GTSE1;DLGAP5
LJP006 HME1 24H-JW-7-24-1-3.33	11/86	1.8774335437180448E-9	1.876632492711569E-6	0	0	14.312343234323432	287.583066898151	LIMA1;TPX2;PLK1;NUSAP1;SERPINH1;NCAPG;KIF23;GTSE1;GBP1;DLGAP5;AURKA
LJP006 PC3 24H-PHA-793887-3.33	12/109	1.976454728055826E-9	1.876632492711569E-6	0	0	12.118787505770118	242.8842682371261	TPX2;PCNA;IGFBP2;PLK1;FN1;NCAPG;KIF23;TTK;GTSE1;DLGAP5;KIF15;AURKA
LJP005 MCF10A 24H-mitoxantrone-0.12	11/87	2.1292977977934897E-9	1.876632492711569E-6	0	0	14.123306409588327	282.00674765185937	SFRP4;TPX2;ENPEP;IGFBP2;PLK1;NUSAP1;NCAPG;TTK;GTSE1;DLGAP5;AURKA
LJP005 HS578T 24H-TG-101348-10	13/135	2.194948626123344E-9	1.876632492711569E-6	0	0	10.477254098360655	208.88613807506263	CXCL9;CDKN2C;IGFBP3;IGFBP2;PLK1;AURKA;CXCL10;TPX2;COL4A2;COL4A1;IGFBP7;IGF2BP3;GBP1
LJP005 MCF10A 24H-mitoxantrone-0.37	15/192	2.316362767900089E-9	1.876632492711569E-6	0	0	8.393254579695258	166.8853272959591	CDKN2C;TROAP;PLK1;NCAPG;KIF23;TTK;CDC25C;KIF15;AURKA;TPX2;KIF18A;NUSAP1;IGF2BP3;GTSE1;DLGAP5
LJP006 BT20 24H-palbociclib-3.33	14/163	2.3533549711538842E-9	1.876632492711569E-6	0	0	9.272267377154227	184.21606630700572	PCNA;CDKN2C;TROAP;PLK1;NCAPG;KIF23;TTK;CDC25C;KIF15;AURKA;TPX2;NUSAP1;GTSE1;DLGAP5
LJP006 MCF10A 24H-palbociclib-10	13/137	2.6318153716940146E-9	2.0007119826135642E-6	0	0	10.307217741935483	203.62518809145482	CDKN2C;TROAP;IGFBP2;PLK1;NCAPG;KIF23;TTK;KIF15;AURKA;TPX2;NUSAP1;GTSE1;DLGAP5
LJP006 HME1 24H-WYE-125132-3.33	14/165	2.759544561874444E-9	2.0007119826135642E-6	0	0	9.148524077340344	180.30094391028865	CXCL9;PCNA;CDKN2C;PLK1;NCAPG;KIF23;TTK;KIF15;AURKA;TPX2;NUSAP1;GTSE1;GBP1;DLGAP5
