Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP008 PC3 24H-I-BET151-3.33	9/187	0.005597496098559598	0.9930345574274791	0	0	2.9045440986377646	15.061327261055693	MRC2;SPARC;ANXA1;LOX;MDK;TAGLN2;HOXB2;IGF2BP3;AQP1
LJP007 A549 24H-tivozanib-10	2/7	0.00598361672826795	0.9930345574274791	0	0	22.713294797687862	116.26322551900645	ANXA1;HOXC6
LJP009 HEPG2 24H-rondual-kinase-inhibitor-10	4/43	0.006515708128401994	0.9930345574274791	0	0	5.847644603458557	29.43434940525242	SPARC;LOX;HOXB2;CD44
LJP005 PC3 24H-tozasertib-10	3/26	0.01009401840397692	0.9930345574274791	0	0	7.42117202268431	34.1063134233562	SPARC;IGF2BP3;CD44
LJP006 PC3 24H-BI-2536-10	6/109	0.012041886257247092	0.9930345574274791	0	0	3.3297564299097258	14.715406312741328	SPARC;ANXA1;LOX;MDK;CD99;HOXC6
LJP006 PC3 24H-BI-2536-0.12	4/52	0.012657079885684546	0.9930345574274791	0	0	4.749031007751938	20.75107404267129	ANXA1;LOX;MDK;IGF2BP3
LJP009 A549 24H-ON-01910-3.33	4/53	0.013507185998477549	0.9930345574274791	0	0	4.65187470336972	20.024150214570316	WEE1;MDK;SLC16A4;HOXC6
LJP006 SKBR3 3H-A443654-0.12	3/32	0.017839868102455223	0.9930345574274791	0	0	5.883958020989505	23.690695183150723	ANXA1;DYNLT1;AQP1
LJP005 BT20 24H-PLX-4720-10	3/34	0.020983720029017685	0.9930345574274791	0	0	5.503786816269285	21.266678372222255	CSRP2;ANXA2;ANXA2P2
LJP005 PC3 24H-AZD-6482-0.37	3/34	0.020983720029017685	0.9930345574274791	0	0	5.503786816269285	21.266678372222255	ANXA2;LOX;MDK
LJP006 MDAMB231 3H-AZD-8055-0.12	3/34	0.020983720029017685	0.9930345574274791	0	0	5.503786816269285	21.266678372222255	CSRP2;MDK;IGF2BP3
LJP006 HA1E 24H-AZD-7762-0.12	4/61	0.021620114064142104	0.9930345574274791	0	0	3.99734802121583	15.32635672911687	SPARC;CSRP2;LOX;CD99
LJP009 PC3 24H-KIN001-055-10	3/35	0.022662030162485584	0.9930345574274791	0	0	5.331521739130435	20.190816362971354	SPARC;CSRP2;ANXA1
LJP008 A549 24H-GSK-J4-10	2/14	0.023929082391482885	0.9930345574274791	0	0	9.460500963391137	35.31284036904171	MDK;HOXC6
LJP005 SKBR3 24H-HG-5-113-01-10	5/95	0.025176914729007918	0.9930345574274791	0	0	3.168448331713638	11.665681107814082	SPARC;DYNLT1;TAGLN2;PPIC;HOXC6
LJP009 HT29 24H-QL-XI-92-10	3/37	0.02623145502386702	0.9930345574274791	0	0	5.017391304347826	18.267298266048527	CSRP2;IGF2BP3;HOXC6
CPC006 HA1E 24H-pp-30-11.1	3/38	0.028122368874192383	0.9930345574274791	0	0	4.873788819875776	17.4052257688048	CSRP2;LAMB4;AQP1
LJP008 MCF7 24H-CGK-733-10	5/99	0.029407306126112236	0.9930345574274791	0	0	3.0330004342162398	10.695912814945471	SPARC;CSRP2;ANXA1;KIF4A;HOXC6
LJP008 PC3 24H-NPK76-II-72-1-10	4/68	0.030727434974535447	0.9930345574274791	0	0	3.5588662790697674	12.394105483022972	SPARC;HOXB2;IGF2BP3;AQP1
CPC011 VCAP 24H-clofazimine-10.0	2/16	0.03084408920782817	0.9930345574274791	0	0	8.108175061932288	28.206801661177654	LOX;ANXA2P2
LJP007 HA1E 24H-WZ-4002-0.37	3/40	0.03211559859241457	0.9930345574274791	0	0	4.609870740305523	15.850641461343645	CD44;HOXC6;PPIC
LJP008 A375 24H-GSK-1070916-3.33	4/70	0.033685947437707746	0.9930345574274791	0	0	3.4506694855532065	11.70009709666305	SPARC;ANXA1;IGF2BP3;HOXC6
LJP005 HS578T 3H-HG-5-113-01-10	3/41	0.034217327959712815	0.9930345574274791	0	0	4.488329519450801	15.148215798399102	SPARC;ANXA1;CD44
CPC008 HT29 6H-ncgc00238427-01-10.0	1/2	0.034497899637551274	0.9930345574274791	0	0	56.63112391930836	190.6688867473027	LAMB4
LJP006 BT20 3H-BI-2536-3.33	2/17	0.03456159318358098	0.9930345574274791	0	0	7.567244701348748	25.46387102076656	MDK;CD44
LJP007 A549 24H-AST1306-3.33	2/17	0.03456159318358098	0.9930345574274791	0	0	7.567244701348748	25.46387102076656	ANXA1;CD44
LJP005 HCC515 24H-dasatinib-1.11	4/71	0.03522529775847493	0.9930345574274791	0	0	3.3989934050676847	11.373000554492172	WEE1;LOX;MDK;IGF2BP3
CPD001 MCF7 6H-metolazone-10.0	3/42	0.03638864627398355	0.9930345574274791	0	0	4.373021181716834	14.489998988534092	GNG5;LOX;LAMB4
