Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-KIN001-043-10	15/117	2.124647954142507E-6	0.03814168007276628	0	0	4.876945623610269	63.70219768468204	SPARC;CDKN2C;IGFBP3;FN1;TFPI;RAD51AP1;MDK;TMSB15A;NUSAP1;CDK1;ID3;BIRC5;S100A4;HOXB2;IGFBP7
LJP006 LNCAP 24H-palbociclib-1.11	16/143	5.9709124975289625E-6	0.05359491057781997	0	0	4.179814872538523	50.27736629726292	GINS2;SPARC;MMP9;CENPA;AURKB;RAD51AP1;CCNB2;CDC45;TMSB15A;NUSAP1;CDK1;SPP1;ID3;BIRC5;OIP5;TGFBI
LJP006 A549 24H-palbociclib-10	15/138	1.6479862351446744E-5	0.08979452788964194	0	0	4.039896069063784	44.49287576935445	GINS2;MMP9;CENPA;HOXC10;AURKB;RAD51AP1;CCNB2;RAD51;TMSB15A;NUSAP1;CDK1;CKS2;BIRC5;OIP5;HOXC6
LJP005 A549 24H-crizotinib-10	13/112	2.9786873946044872E-5	0.08979452788964194	0	0	4.340528573405286	45.23456995911988	GINS2;CENPA;AURKB;RAD51AP1;CCNB2;CDC45;RAD51;NUSAP1;CDK1;ID3;BIRC5;OIP5;IGFBP7
LJP006 A549 24H-mitoxantrone-0.12	14/129	3.18913416525591E-5	0.08979452788964194	0	0	4.027623238123648	41.69869227242475	GINS2;SPARC;LYZ;MMP9;CENPA;AURKB;SFRP4;CCNB2;NUSAP1;CDK1;CKS2;SPP1;BIRC5;OIP5
LJP008 MCF7 24H-CGK-733-10	12/99	3.8873883073519296E-5	0.08979452788964194	0	0	4.554317712938403	46.249952218199915	RAD51AP1;CCNB2;GINS2;SPARC;CDC45;CDKN2C;NUSAP1;CDK1;BIRC5;OIP5;AURKB;HOXC6
LJP006 BT20 24H-palbociclib-10	16/168	4.526168345734779E-5	0.08979452788964194	0	0	3.4878159253555574	34.888796126676944	GINS2;SPARC;CDKN2C;MMP9;CENPA;AURKB;RAD51AP1;CCNB2;CDC45;RAD51;TMSB15A;NUSAP1;CDK1;BIRC5;CENPM;OIP5
LJP006 LNCAP 24H-GSK-2126458-0.12	14/135	5.292956447441045E-5	0.08979452788964194	0	0	3.8267156202599835	37.67994095235701	GINS2;CSTA;LYZ;HOXC10;RAD51AP1;CDC45;RAD51;NUSAP1;EIF4EBP1;CDK1;CKS2;BIRC5;CENPM;OIP5
LJP006 LNCAP 24H-GDC-0941-1.11	17/189	5.468335003098158E-5	0.08979452788964194	0	0	3.277135124298316	32.16164445398056	GINS2;CSTA;CENPA;AURKB;RAD51AP1;CCNB2;CDC45;RAD51;NUSAP1;EIF4EBP1;CDK1;CKS2;ID3;BIRC5;CENPM;OIP5;HOXB7
LJP006 LNCAP 24H-WZ-4-145-3.33	8/46	5.7651733303812394E-5	0.08979452788964194	0	0	6.921633455455277	67.56268880649404	GINS2;NUSAP1;CDK1;CKS2;BIRC5;CENPA;HOXB7;AURKB
LJP005 SKBR3 24H-neratinib-10	9/59	5.877041050921953E-5	0.08979452788964194	0	0	5.924387755102041	57.71462749871915	CCNB2;NNMT;TMSB15A;NUSAP1;SPP1;CDK1;BIRC5;CENPA;PPIC
