Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 A375 24H-palbociclib-10	58/154	3.0497688526533594E-45	3.9419638429229666E-41	0	0	18.76625605815832	1923.564954930104	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CDC25C;CCNA2;ASPM;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;BRIP1;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-0.37	54/129	4.0250817817153895E-45	3.9419638429229666E-41	0	0	22.244879614767257	2273.9557678589513	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CCNA2;ASPM;ESPL1;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;E2F2;BUB1;GINS2;RRM2;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK1;EZH2;SPC25
LJP006 BT20 24H-palbociclib-10	59/168	6.039854301192945E-44	3.943420873248874E-40	0	0	16.82886493868947	1674.7306234867042	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CCNA2;ASPM;MELK;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;IGF2BP3;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;SPC25
LJP006 HME1 24H-palbociclib-1.11	52/124	1.5753711616178994E-43	7.714198735652448E-40	0	0	22.2456	2192.4522157976967	TOP2A;HJURP;KIF14;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CDC25C;CCNA2;ASPM;MELK;ESPL1;KIFC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKA;RAD51AP1;CCNB2;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK1;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-1.11	54/139	5.015663002676678E-43	1.964835824668562E-39	0	0	19.61763761684449	1910.730309361302	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CCNA2;ASPM;MELK;ESPL1;BIRC5;KIF2C;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;EZH2;SPC25
LJP006 MCF10A 24H-palbociclib-3.33	51/121	7.616781424472483E-43	2.486498296019042E-39	0	0	22.407644910999544	2173.111443942417	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CCNA2;ASPM;ESPL1;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;HMMR;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;E2F2;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;KIF4A;CDK1;EZH2;SPC25
LJP006 BT20 24H-PHA-793887-3.33	60/184	1.6635699282444887E-42	4.654906312074972E-39	0	0	15.056464683431798	1448.426001215101	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CDC25C;CCNA2;ASPM;MELK;ESPL1;KIFC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;PCNA;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;SPC25
LJP006 BT20 24H-palbociclib-3.33	57/163	2.3310951355736837E-42	5.707395052560218E-39	0	0	16.667209373097993	1597.7559539406407	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CDC25C;CCNA2;ASPM;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-3.33	55/150	3.389424683482582E-42	7.376517919485926E-39	0	0	17.89710610932476	1708.9573238017026	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CCNA2;ASPM;ESPL1;CKS2;BIRC5;KIF2C;KIF20A;DTL;ASF1B;PCNA;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;BUB1;E2F8;GINS2;CDKN2C;RRM2;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;EZH2;SPC25
LJP006 HME1 24H-palbociclib-3.33	59/183	1.742087679147079E-41	3.412227137145384E-38	0	0	14.781566447437102	1387.2633825432642	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CDC25C;CCNA2;ASPM;MELK;ESPL1;KIFC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK1;CENPM;EZH2;SPC25
