Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 A375 24H-palbociclib-10	53/154	1.1190635443303863E-41	1.8356577499185046E-37	0	0	18.44471496329961	1739.2166676489974	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;BIRC5;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;BRIP1;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-3.33	54/163	1.9469244841899607E-41	1.8356577499185046E-37	0	0	17.437989687269805	1634.6325823140419	HJURP;KIF14;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;BIRC5;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-PHA-793887-3.33	56/184	1.18854730512519E-40	5.724432169017452E-37	0	0	15.440705128205128	1419.4743972056185	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-10	54/168	1.2142826895089254E-40	5.724432169017452E-37	0	0	16.668843641951593	1532.0209207714106	HJURP;KIF14;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;IGF2BP3;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-1.11	49/139	3.550145482125375E-39	1.3389018671287639E-35	0	0	19.00928270042194	1682.964603843054	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;BIRC5;KIF2C;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;EZH2;APOBEC3B;SPC25
LJP006 HS578T 24H-palbociclib-1.11	51/156	7.589317164193351E-39	2.2681429645683353E-35	0	0	17.007052113041222	1492.7783017913132	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;BIRC5;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-10	58/215	8.419685396393036E-39	2.2681429645683353E-35	0	0	13.066434057699514	1145.5374903119125	KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;PBK;NUSAP1;RCC1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-3.33	50/150	1.4174917389415414E-38	3.3412052151525807E-35	0	0	17.480072463768117	1523.376858866665	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;IGFBP2;KIF23;CCNA2;ASPM;NEIL3;ESPL1;BIRC5;KIF2C;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;RAD51AP1;BUB1;E2F8;GINS2;CDKN2C;RRM2;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.37	47/129	2.1677165507844508E-38	4.5418478886824876E-35	0	0	19.948406943528894	1730.0167989397498	TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;RAD51AP1;CCNB2;EXO1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;RRM2;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;KIF4A;CDK1;BIRC5;KIF2C;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-0.37	55/195	5.789872135233004E-38	1.0917961885408877E-34	0	0	13.831156960041787	1185.9127658113453	KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP005 A549 24H-dovitinib-10	57/215	1.0936854715139773E-37	1.7510233164248091E-34	0	0	12.735803042619905	1083.8944672291227	ARHGAP11A;ERCC6L;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;BIRC5;KIF2C;DTL;ASF1B;TROAP;NCAPG;CDCA8;LPL;TYMS;CENPA;NCAPH;SKA1;AURKB;RAD51AP1;CCNB2;BRIP1;BUB1;E2F8;GINS2;POLQ;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;NES;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-10	53/180	1.1142960066340197E-37	1.7510233164248091E-34	0	0	14.64886766203405	1246.4344376026247	HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;IGFBP2;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CDK1;EZH2;SPC25
LJP006 HME1 24H-palbociclib-3.33	53/183	2.8815838621876348E-37	3.911112361047749E-34	0	0	14.308589043015273	1203.886168303388	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-palbociclib-3.33	45/121	2.9037266296159778E-37	3.911112361047749E-34	0	0	20.539780780497022	1728.0046397016747	HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;CDK1;BIRC5;DTL;ASF1B;EZH2;SPC25
LJP006 HCC515 24H-PHA-793887-3.33	53/186	7.3047324767446E-37	9.183022687598196E-34	0	0	13.9836613391402	1163.5402712414657	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;MTHFD2;KIFC1;BIRC5;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.37	52/178	8.637762015563164E-37	1.0180142395467162E-33	0	0	14.460952380952381	1200.8303263497307	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;BIRC5;KIF2C;DTL;ASF1B;SLC43A3;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-1.11	45/124	1.0478614260440645E-36	1.162324877112525E-33	0	0	19.756721132650046	1636.7714830068169	TROAP;HJURP;KIF14;NCAPG;CDCA8;MKI67;FOXM1;TYMS;CENPA;LMNB1;CDC20;RAD51AP1;CCNB2;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;KIF23;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;CDK1;BIRC5;DTL;ASF1B;EZH2;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	47/143	5.465274823249444E-36	5.725482630111931E-33	0	0	17.026914414414414	1382.4943384020437	PCNA;TROAP;HJURP;NCAPG;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;RRM2;UBE2C;IGFBP2;KIF23;NDC80;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;CDK1;BIRC5;DTL;ASF1B;EZH2;SPC25
LJP005 MCF7 24H-mitoxantrone-0.12	47/144	7.891875748677872E-36	7.832478999622035E-33	0	0	16.85050617627937	1361.9797299637805	TROAP;HJURP;NCAPG;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;RAD51;ESPL1;KIFC1;KIF4A;CDK1;BIRC5;DTL;ASF1B;APOBEC3B;SPC25
LJP005 A549 24H-NVP-BEZ235-3.33	51/177	9.093801652646713E-36	8.574090888197954E-33	0	0	14.157116930256676	1142.273637658183	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;IGFBP2;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CDC45;BUB1;E2F8;GINS2;POLQ;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1;EZH2;SPC25
LJP006 MCF10A 24H-palbociclib-10	46/137	1.006867572799308E-35	9.041191342988834E-33	0	0	17.553205787018737	1414.5011134123672	TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;RAD51AP1;CCNB2;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;IGFBP2;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;CDK1;BIRC5;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 MCF7 24H-palbociclib-1.11	45/130	1.2097522517040048E-35	1.0369226459264735E-32	0	0	18.356426232970747	1475.8578194694326	PCNA;HJURP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;NUSAP1;PBK;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CDK1;BIRC5;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-JW-7-24-1-3.33	51/179	1.686763832310315E-35	1.3829263298206786E-32	0	0	13.934465744101633	1115.700155409663	HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;MTHFD2;BIRC5;DTL;ASF1B;NCAPG;LPL;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;IGF2BP3;BUB1;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-PI-103-1.11	51/182	4.191238129231719E-35	3.293090725121772E-32	0	0	13.613236170183288	1077.5894980324256	HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;BIRC5;DTL;ASF1B;PCNA;NCAPG;LPL;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;GBP1;BUB1;GINS2;RRM2;UBE2C;NDC80;CXCL10;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP005 A375 24H-dovitinib-1.11	50/175	6.937622334122513E-35	5.232909774181929E-32	0	0	13.965942028985507	1098.4704887146493	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;IGF2BP3;BUB1;E2F8;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 MDAMB231 24H-palbociclib-3.33	47/151	9.438586760880873E-35	6.845516559612716E-32	0	0	15.710637560637561	1230.860457132512	PCNA;TROAP;HJURP;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;GINS2;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;RAD51;ESPL1;KIF4A;CDK2;CDK1;BIRC5;CENPM;DTL;ASF1B;EZH2;SPC25
LJP006 A375 24H-mitoxantrone-0.12	55/222	1.0679097779214516E-34	7.458360993431412E-32	0	0	11.57872554707769	905.7132685716243	ARHGAP11A;ERCC6L;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;CENPI;KIF4A;CDK1;CENPM;APOBEC3B;SPC25
LJP006 MDAMB231 24H-palbociclib-0.12	39/94	1.227610460618522E-34	8.154453312602852E-32	0	0	24.36224769901502	1902.2730895055827	PCNA;HJURP;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;RAD51AP1;CCNB2;EXO1;PBK;NUSAP1;OIP5;GTSE1;BUB1;DLGAP5;GINS2;RRM2;UBE2C;KIF23;NDC80;CCNA2;ASPM;TPX2;NEIL3;MELK;RAD51;KIF18B;KIF4A;CDK1;BIRC5;DTL;NES;ASF1B;SPC25;EZH2
LJP006 HT29 24H-palbociclib-10	48/160	1.254065578116788E-34	8.154453312602852E-32	0	0	14.919546157813306	1164.6421885900563	PCNA;TROAP;HJURP;NCAPG;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;RRM2;UBE2C;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;RAD51;ESPL1;KIFC1;KIF4A;CDK1;BIRC5;CENPM;DTL;IDO1;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 PC3 24H-NVP-TAE684-10	51/186	1.3693586262014378E-34	8.416075985165192E-32	0	0	13.20713853599516	1029.8074860750246	HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;BIRC5;DTL;ASF1B;PCNA;NCAPG;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;RAD51AP1;CDC45;ORC1;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;CDK2;CDK1;EZH2;SPC25
LJP006 LNCAP 24H-mitoxantrone-0.37	52/195	1.3835623669731185E-34	8.416075985165192E-32	0	0	12.730578512396693	992.5170404985507	HJURP;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;MTHFD2;KIFC1;BIRC5;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;CXCL10;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 MCF7 24H-palbociclib-0.37	42/115	1.850906579511215E-34	1.0907045428075932E-31	0	0	19.85445205479452	1542.1393203240048	PCNA;HJURP;KIF14;NCAPG;CDCA8;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;NUSAP1;PBK;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;CDK1;BIRC5;DTL;ASF1B;EZH2;SPC25
LJP006 MCF10A 24H-mitoxantrone-0.37	47/154	2.612163574076109E-34	1.4775750099133326E-31	0	0	15.267778058432263	1180.6223801299118	TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;CDC20;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;RRM2;UBE2C;IGFBP2;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;RAD51;KIF4A;CDK1;BIRC5;CENPM;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-10	46/146	2.6641327006975293E-34	1.4775750099133326E-31	0	0	15.965971223021583	1234.2975363771816	PCNA;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;RAD51AP1;CCNB2;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;RRM2;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;WEE1;KIF18B;ESPL1;KIF4A;CDK1;BIRC5;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-ZSTK-474-0.37	49/171	2.84820449659398E-34	1.5345312054935053E-31	0	0	14.0	1081.376861141447	HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;BIRC5;DTL;ASF1B;PCNA;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
