Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-3.33	42/163	6.721146042211949E-28	7.595838756895166E-24	0	0	12.286966411403442	768.7601500858021	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;BUB1;DLGAP5;CDKN2C;RRM2;UBE2C;EMP3;CDC25C;NDC80;CCNA2;TPX2;NEIL3;WEE1;RAD51;TMSB15A;CDK2;CDK1;DEPDC1;BIRC5;CENPM;ASF1B;EZH2;APOBEC3B
LJP006 MCF10A 24H-mitoxantrone-0.37	41/154	7.143981901617838E-28	7.595838756895166E-24	0	0	12.825375214755745	801.6643433814673	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;EIF4EBP1;PBK;SPP1;OIP5;BUB1;DLGAP5;RRM2;UBE2C;IGFBP2;NDC80;CCNA2;TPX2;NEIL3;KIF18A;RAD51;MGP;CDK1;DEPDC1;CKS2;BIRC5;CENPM;ASF1B;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-10	42/168	2.523630953949383E-27	1.788833741191121E-23	0	0	11.796330275229359	722.455616754598	TOP2A;SPARC;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CDC20;RAD51AP1;CCNB2;CSRP2;CDC45;EXO1;NUSAP1;PBK;OIP5;IGF2BP3;BUB1;DLGAP5;CDKN2C;RRM2;UBE2C;NDC80;CCNA2;TPX2;NEIL3;KIF18A;RAD51;TMSB15A;CDK2;CDK1;BIRC5;CENPM;ASF1B;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-10	43/180	4.494364778368386E-27	2.3893166753000932E-23	0	0	11.121565049377415	674.7116884621455	TOP2A;NNMT;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;BUB1;DLGAP5;HOXC6;CDKN2C;RRM2;UBE2C;IGFBP2;F2R;NDC80;CCNA2;TPX2;NEIL3;KIF18A;WEE1;RAD51;CDK2;CDK1;DEPDC1;BIRC5;HOXB7;ASF1B;EZH2;TMEM45A
LJP006 A375 24H-palbociclib-10	40/154	9.093127105115377E-27	3.86730695780557E-23	0	0	12.379486192629654	742.3022005748561	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;NUSAP1;PBK;OIP5;BUB1;DLGAP5;CDKN2C;RRM2;UBE2C;CDC25C;NDC80;CCNA2;TPX2;NEIL3;RAD51;TMSB15A;CDK1;DEPDC1;BIRC5;CENPM;S100A9;ASF1B;EZH2;APOBEC3B
LJP006 HME1 24H-palbociclib-1.11	36/124	4.661235358580947E-26	1.6520194983370638E-22	0	0	14.347879887807293	836.8821610976901	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKA;CDC20;RAD51AP1;CCNB2;NUSAP1;PBK;SPP1;OIP5;BUB1;DLGAP5;HOXC6;CDKN2C;RRM2;UBE2C;CDC25C;NDC80;CCNA2;TPX2;NEIL3;KIF18A;CDK2;CDK1;DEPDC1;CKS2;BIRC5;ASF1B;EZH2
LJP006 HME1 24H-palbociclib-3.33	42/183	1.0063895052972538E-25	3.0572675471637286E-22	0	0	10.533203201249268	606.2728289607809	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;NUSAP1;PBK;SPP1;OIP5;BUB1;DLGAP5;CDKN2C;RRM2;UBE2C;CDC25C;NDC80;CCNA2;TPX2;NEIL3;KIF18A;TMSB15A;CDK2;CDK1;DEPDC1;CKS2;BIRC5;CENPM;ASF1B;EZH2;APOBEC3B
LJP006 BT20 24H-PHA-793887-3.33	42/184	1.2691273063736628E-25	3.3734990212544925E-22	0	0	10.458483008140586	599.5461116796903	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CDC20;RAD51AP1;CCNB2;EFEMP1;CDC45;EXO1;NUSAP1;PBK;OIP5;BUB1;DLGAP5;CDKN2C;RRM2;UBE2C;CDC25C;NDC80;CCNA2;TPX2;NEIL3;WEE1;RAD51;TMSB15A;CDK2;CDK1;DEPDC1;CKS2;BIRC5;CENPM;ASF1B;APOBEC3B
LJP006 LNCAP 24H-mitoxantrone-0.37	43/195	1.4757781329817208E-25	3.4869357775395884E-22	0	0	10.01624177631579	572.6830500023202	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;CDC20;RAD51AP1;CCNB2;EFEMP1;CDC45;IGKC;EXO1;PBK;NUSAP1;EIF4EBP1;OIP5;BUB1;DLGAP5;CDKN2C;RRM2;UBE2C;IGKV1-5;NDC80;CCNA2;TPX2;CXCL10;NEIL3;RAD51;CDK2;DEPDC1;CKS2;CDK1;CENPM;BIRC5;ASF1B;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-0.37	36/129	2.1538758274065185E-25	4.580216946979961E-22	0	0	13.57297582108776	770.9091722000069	TOP2A;SPARC;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;NUSAP1;PBK;OIP5;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;NEIL3;KIF18A;TMSB15A;CDK1;DEPDC1;CKS2;BIRC5;ASF1B;EZH2;APOBEC3B
