Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP009 HEPG2 24H-SYK-inhibitor-1.11	5/55	1.2147270253541245E-4	0.5492468067384374	0	0	11.56374269005848	104.25663407858416	CA12;VNN1;S100A4;HOXB2;LYZ
LJP008 PC3 24H-belinostat-1.11	6/94	1.8298315065682803E-4	0.5492468067384374	0	0	7.915508021390374	68.1217840484703	CA12;STEAP3;ANXA1;S100A4;HOXB2;PPIC
LJP005 A549 24H-CYT387-10	4/37	3.0508418876607434E-4	0.5492468067384374	0	0	13.947145877378436	112.90106902807184	ANXA1;EMP3;LYZ;CD44
LJP009 PC3 24H-GDC-0879-10	4/38	3.3865006548619195E-4	0.5492468067384374	0	0	13.53625170998632	108.16200458167398	ANXA1;EMP3;LYZ;CD44
LJP009 HCC515 24H-AZD7762-10	4/39	3.7477903537646304E-4	0.5492468067384374	0	0	13.148837209302325	103.73346391419703	CA12;CSTA;WEE1;LYZ
LJP005 SKBR3 24H-AZD-8330-10	4/41	4.55168692561781E-4	0.5492468067384374	0	0	12.436832181018227	95.69946427024621	CA12;CSTA;GDF15;FCGR2B
LJP008 PC3 24H-CX-5461-3.33	4/42	4.996524129551065E-4	0.5492468067384374	0	0	12.108935128518972	92.04725554603283	FCGBP;CSTA;APOC1;LYZ
LJP006 A549 24H-BI-2536-10	8/208	5.232765840401159E-4	0.5492468067384374	0	0	4.672380952380952	35.30170888063977	CA12;ABCC3;ANXA1;GDF15;HOXB2;EMP3;SLC16A4;HOXA5
LJP005 PC3 24H-TGX-221-0.37	4/43	5.471451300707842E-4	0.5492468067384374	0	0	11.797853309481216	88.61127499841832	CA12;CSTA;CSRP2;HP
LJP008 A549 24H-(+)-JQ1-10	5/76	5.56016215796982E-4	0.5492468067384374	0	0	8.134832386129643	60.968234842792185	CA12;ANXA1;GDF15;EMP3;S100A11
LJP006 HT29 24H-mitoxantrone-10	5/80	7.033562432485923E-4	0.5492468067384374	0	0	7.699415204678362	55.895036856992235	CA12;FCGBP;WEE1;HOXB2;HOXA5
LJP008 A549 24H-I-BET151-10	7/168	7.302864712940069E-4	0.5492468067384374	0	0	5.058657062001544	36.5339939951513	ABCC3;CA12;ANXA1;GDF15;HOXB2;EMP3;HOXA5
CPC006 HT29 24H-chemistry 1735-44.4	4/48	8.337114726967384E-4	0.5492468067384374	0	0	10.454545454545455	74.11878770164007	CA12;LAMB4;EN1;CD44
LJP008 PC3 24H-I-BET-0.12	5/84	8.781096450740754E-4	0.5492468067384374	0	0	7.308090902361389	51.432437028746634	ABCC3;CA12;APOC1;S100A4;LYZ
LJP008 PC3 24H-I-BET151-0.04	4/50	9.733818874053011E-4	0.5492468067384374	0	0	9.998988877654195	69.34032881835857	CA12;CSTA;S100A4;LYZ
LJP005 MCF10A 3H-NVP-AUY922-0.37	4/50	9.733818874053011E-4	0.5492468067384374	0	0	9.998988877654195	69.34032881835857	CA12;CSTA;WEE1;GDF15
