Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP008 PC3 24H-I-BET-0.04	7/33	3.3062121988362153E-4	0.999995989063062	0	0	6.302567237163815	50.51215950628779	IGFBP3;CHI3L2;S100A4;PI3;LYZ;AQP1;LTF
LJP008 PC3 24H-mocetinostat-1.11	8/53	0.0013845153253759452	0.999995989063062	0	0	4.16265469876241	27.40027971084165	HOXA10;COL3A1;SPARC;CKS2;CHI3L1;LYZ;PPIC;LTF
LJP009 A549 24H-KIN001-127-10	4/14	0.0020652491871385684	0.999995989063062	0	0	9.337393422655298	57.72847580909062	COL3A1;IGFBP3;LYZ;IDO1
LJP005 BT20 3H-PLX-4720-10	5/23	0.0021358298863112654	0.999995989063062	0	0	6.48949864498645	39.903278233055545	CSTA;COL3A1;CKS2;CHI3L1;IGFBP7
LJP005 MDAMB231 3H-torin-2-1.11	8/57	0.002233924417161897	0.999995989063062	0	0	3.822046811380611	23.32975620061931	COL3A1;SPARC;CSRP2;IL1R2;CHI3L1;ID3;CD99;LTF
LJP009 MCF7 24H-AZD-1480-10	5/25	0.0031500682151537223	0.999995989063062	0	0	5.839939024390244	33.63998279761882	PRDX4;CSRP2;VNN1;LYZ;LTF
LJP008 A549 24H-BIX-01294-10	3/8	0.003351406168130231	0.999995989063062	0	0	13.992700729927007	79.73565979342862	COL3A1;IGFBP7;LTF
LJP005 HCC515 24H-YM-201636-0.37	5/27	0.004471662992470331	0.999995989063062	0	0	5.308481152993348	28.71885599328905	COL3A1;NNMT;CSRP2;IGFBP7;IDO1
LJP005 MCF7 24H-TG-101348-0.37	5/28	0.005262016270355996	0.999995989063062	0	0	5.077412513255568	26.642407135406785	HOXA10;SFRP4;VNN1;SPP1;PI3
LJP006 MDAMB231 3H-geldanamycin-0.04	5/30	0.007129819918996268	0.999995989063062	0	0	4.670731707317073	23.08961881149443	HOXA10;SFRP4;SPP1;CHI3L1;LTF
LJP009 HEPG2 24H-SYK-inhibitor-1.11	7/55	0.0071741564415654414	0.999995989063062	0	0	3.4099684189079054	16.83593509400351	VNN1;IL1R2;S100A4;HOXB2;LYZ;HOXB6;TMEM45A
LJP008 A375 24H-AZ20-3.33	8/70	0.00799965551678288	0.999995989063062	0	0	3.018596754451771	14.57486216168439	CSTA;COL3A1;ANXA2;IL1R2;ID3;IGFBP7;PI3;LTF
LJP009 A549 24H-SYK-inhibitor-10	6/43	0.008014840299195573	0.999995989063062	0	0	3.7893277893277895	18.28904058738164	PRDX4;ID3;TGFBI;TFPI;LYZ;SLC16A4
LJP005 HEPG2 24H-PIK-93-3.33	4/20	0.008210991619344573	0.999995989063062	0	0	5.8340438489646775	28.01672131815088	COL3A1;DYNLT1;HOXB6;LTF
LJP006 BT20 3H-WYE-125132-0.12	4/20	0.008210991619344573	0.999995989063062	0	0	5.8340438489646775	28.01672131815088	HOXA10;SPP1;CHI3L1;TMEM45A
LJP006 PC3 24H-saracatinib-0.37	5/31	0.008218122469467301	0.999995989063062	0	0	4.490853658536586	21.562445409764983	CD163;SPARC;IL1R2;IGFBP3;PI3
LJP007 HEPG2 24H-dacomitinib-0.04	5/31	0.008218122469467301	0.999995989063062	0	0	4.490853658536586	21.562445409764983	CSTA;CHI3L1;HOXB2;HOXB6;TMEM45A
LJP006 BT20 3H-geldanamycin-10	6/44	0.00896434968075613	0.999995989063062	0	0	3.6894158473105843	17.39374995826093	HOXA10;COL3A1;SPARC;ANXA1;ID3;TMEM45A
