Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-BI-2536-1.11	12/102	7.646684361781657E-6	0.11784305269941711	0	0	5.405427974947808	63.682635739530845	CA12;ANXA1;LOX;COL4A2;COL4A1;SLC43A3;TGFB1I1;IGFBP2;TNC;SERPINH1;PLP2;GBP1
LJP006 HS578T 24H-JW-7-24-1-0.12	5/19	7.640580019401158E-5	0.43080328980352495	0	0	14.326131687242798	135.80387689990636	TNC;CHI3L2;TAGLN2;EMP3;CD44
LJP006 HME1 24H-XMD-1150-10	13/151	9.258412068188565E-5	0.43080328980352495	0	0	3.8175823176277968	35.45538696509621	CA12;ENPEP;ANXA1;TNC;FN1;EMP3;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;PLP2;GBP1
LJP006 A549 24H-XMD-1150-10	6/32	1.1181708904121081E-4	0.43080328980352495	0	0	9.270261697065822	84.34683094813326	CA12;IGFBP3;IGFBP2;FN1;EMP3;CD44
LJP006 HS578T 24H-BI-2536-10	11/118	1.5721539540237286E-4	0.4845692917091936	0	0	4.15541277258567	36.39266353987025	ANXA1;COL4A2;IGFBP3;TGFB1I1;IGFBP2;TNC;EMP3;NES;GBP1;S100A11;EGFR
LJP006 HME1 24H-BI-2536-10	10/119	7.092318458480633E-4	0.9995449193817398	0	0	3.7002422323523243	26.83167040547489	ANXA1;SRPX2;LOX;COL4A2;COL4A1;IGFBP2;TNC;SERPINH1;TAGLN2;GBP1
LJP008 HA1E 24H-(+)-JQ1-0.04	7/62	7.889597483446641E-4	0.9995449193817398	0	0	5.115627347858752	36.550109998564345	NMB;SRPX2;LOX;IGFBP3;CHI3L2;GBP1;CD44
LJP006 HS578T 24H-GSK-1059615-3.33	6/51	0.0014999305857805209	0.9995449193817398	0	0	5.350927835051547	34.79353309296069	TNC;CHI3L2;TAGLN2;EMP3;GBP1;S100A11
LJP007 HCC515 24H-TPCA-1-3.33	6/51	0.0014999305857805209	0.9995449193817398	0	0	5.350927835051547	34.79353309296069	PLAU;IGFBP3;TNC;GBP1;EGFR;TMEM45A
LJP007 HA1E 24H-tanespimycin-10	10/134	0.0017568233682049956	0.9995449193817398	0	0	3.2501173630205886	20.6195505968911	SRPX;ANXA1;LOX;TNFRSF12A;PLAU;IGFBP3;TNC;FN1;TAGLN2;CD44
