Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-XMD11-85H-10	7/74	6.0032192489251274E-5	0.591557224789082	0	0	7.871847658260422	76.51931533894766	SFRP4;POSTN;SPARC;COL4A1;ANXA5;VIM;AQP1
LJP008 A375 24H-mocetinostat-10	7/87	1.6817158035919777E-4	0.6129542261362044	0	0	6.588314176245211	57.25591424865213	FKBP10;SPARC;COL4A2;COL4A1;CDK4;NID1;NES
LJP009 A375 24H-BI-2536-1.11	5/40	1.866107853063338E-4	0.6129542261362044	0	0	10.69907658881043	91.86746569526255	POSTN;SPARC;COL4A2;COL4A1;NID1
LJP006 A375 24H-WYE-125132-10	8/127	3.176757216137745E-4	0.7825941401955334	0	0	5.071234647705236	40.84615519941905	POSTN;SPARC;COL4A2;COL4A1;IGFBP3;MMP2;NID1;NES
LJP005 A375 24H-nilotinib-10	4/39	0.0017933320370391392	0.9135452010790133	0	0	8.526839826839828	53.92100576264273	SRPX;POSTN;SPARC;COL4A2
LJP007 A375 24H-BIX-02189-10	4/39	0.0017933320370391392	0.9135452010790133	0	0	8.526839826839828	53.92100576264273	SPARC;COL4A1;LPL;NID1
LJP007 A375 24H-vorinostat-10	8/167	0.0018991897639546072	0.9135452010790133	0	0	3.787711659409773	23.735043338605625	PPP1R14B;SPARC;COL4A2;COL4A1;SLC43A3;LPL;NID1;NES
LJP005 A375 24H-radicicol-1.11	7/134	0.0022214581069539825	0.9135452010790133	0	0	4.140193682686216	25.29489210628212	SRPX;POSTN;SPARC;COL4A2;COL4A1;IGFBP3;NES
LJP006 BT20 3H-radicicol-10	3/21	0.0026465938223077198	0.9135452010790133	0	0	12.39874213836478	73.58010975926003	POSTN;IGFBP3;VIM
LJP006 A375 24H-KIN001-043-3.33	6/104	0.0027782886490615097	0.9135452010790133	0	0	4.588097834553669	27.005177424363996	SRPX;POSTN;SPARC;COL4A2;COL4A1;NID1
LJP005 A375 24H-AS-601245-3.33	4/44	0.002809115159529907	0.9135452010790133	0	0	7.459090909090909	43.821306778421246	SRPX;POSTN;SPARC;NES
LJP005 A549 24H-dasatinib-0.12	4/45	0.003051165562731929	0.9135452010790133	0	0	7.276792313377679	42.1488664543956	POSTN;SPARC;COL4A2;COL4A1
LJP005 SKBR3 24H-buparlisib-3.33	5/75	0.003348045062237999	0.9135452010790133	0	0	5.340032590983161	30.434867830111017	CXCL10;POSTN;SLC43A3;AQP1;PPIC
