Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-palbociclib-1.11	43/124	9.157177707035495E-30	1.9092715519169007E-25	0	0	14.042971147943524	938.9553872683523	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKA;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;SPP1;RCC1;OIP5;TK1;BUB1;HOXC6;GINS2;CDKN2C;RRM2;UBE2C;PLK1;CDC25C;NDC80;CCNA2;NEIL3;KIF18A;MELK;KIFC1;CDK2;CDK1;DEPDC1;CKS2;BIRC5;KIF20A;ASF1B;EZH2;SPC25
LJP006 BT20 24H-palbociclib-10	47/168	1.0528290572672913E-27	1.0975742922011512E-23	0	0	10.310651974288337	640.4803439968994	TOP2A;SPARC;PCNA;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKB;AURKA;CDC20;RAD51AP1;CCNB2;CSRP2;CDC45;PTTG1;EXO1;NUSAP1;PBK;OIP5;TK1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;CCNA2;NEIL3;KIF18A;MELK;RAD51;KIFC1;TMSB15A;CDK2;CDK1;BIRC5;CENPM;KIF20A;PLP2;ASF1B;EZH2;SPC25
LJP006 BT20 24H-palbociclib-3.33	46/163	2.550769755185986E-27	1.7727849798542603E-23	0	0	10.423983783207085	638.2959929039712	TOP2A;PCNA;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKB;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;EXO1;NUSAP1;PBK;OIP5;TK1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;EMP3;CDC25C;NDC80;CCNA2;NEIL3;RAD51;KIFC1;TMSB15A;CDK2;CDK1;DEPDC1;BIRC5;CENPM;KIF20A;PLP2;ASF1B;EZH2;SPC25
LJP006 HT29 24H-palbociclib-0.37	49/195	1.683255662218881E-26	8.773970139315917E-23	0	0	8.92188155836227	529.4822887120941	TOP2A;HJURP;CDC20;CSRP2;PTTG1;MDK;EXO1;PBK;NUSAP1;OIP5;TK1;WDR76;CCNA2;NEIL3;MELK;TMSB15A;KIFC1;DEPDC1;BIRC5;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;KIF18A;RAD51;CDK1;CENPM;PLP2;EZH2;SPC25
LJP006 LNCAP 24H-palbociclib-10	46/180	2.7554805389037454E-25	1.1490353847228617E-21	0	0	9.093444014325046	514.2436750273986	TOP2A;NNMT;PCNA;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKB;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;EXO1;NUSAP1;PBK;OIP5;TK1;BUB1;HOXC6;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;CCNA2;NEIL3;KIF18A;MELK;RAD51;KIFC1;CDK2;CDK1;DEPDC1;BIRC5;KIF20A;HOXB7;ASF1B;EZH2;TMEM45A;SPC25
LJP006 HME1 24H-palbociclib-3.33	46/183	5.925372957185616E-25	2.0590671026220013E-21	0	0	8.892920416696194	496.0949776007173	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKB;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;EXO1;NUSAP1;PBK;SPP1;OIP5;TK1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;CDC25C;NDC80;CCNA2;NEIL3;KIF18A;MELK;KIFC1;TMSB15A;CDK2;CDK1;DEPDC1;CKS2;BIRC5;CENPM;KIF20A;ASF1B;EZH2;SPC25
LJP006 BT20 24H-PHA-793887-3.33	46/184	7.620033754890107E-25	2.2696814827065533E-21	0	0	8.828016643550624	490.25372140650063	TOP2A;PCNA;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKB;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;EXO1;NUSAP1;PBK;RCC1;OIP5;TK1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;CDC25C;NDC80;CCNA2;NEIL3;MELK;RAD51;KIFC1;TMSB15A;CDK2;CDK1;DEPDC1;CKS2;BIRC5;CENPM;KIF20A;ASF1B;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	41/143	8.988548721296672E-25	2.342640510487945E-21	0	0	10.592164965159618	586.4741492678407	TOP2A;SPARC;PCNA;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKB;CDC20;RAD51AP1;CCNB2;CSRP2;CDC45;PTTG1;NUSAP1;PBK;SPP1;OIP5;TK1;BUB1;GINS2;RRM2;UBE2C;PLK1;NDC80;CCNA2;MELK;KIFC1;TMSB15A;CDK2;CDK1;ID3;BIRC5;KIF20A;ASF1B;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-0.37	39/129	1.4256049806044248E-24	3.3026515384002508E-21	0	0	11.394642857142857	625.6507369170716	TOP2A;SPARC;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;AURKB;AURKA;CDC20;RAD51AP1;CCNB2;PTTG1;EXO1;NUSAP1;PBK;OIP5;TK1;BUB1;GINS2;RRM2;PLK1;NDC80;CCNA2;NEIL3;KIF18A;KIFC1;TMSB15A;CDK1;DEPDC1;CKS2;BIRC5;KIF20A;ASF1B;EZH2;SPC25
LJP006 HME1 24H-palbociclib-10	49/215	1.9107613188269846E-24	3.684833851997541E-21	0	0	7.838733765144142	428.1088424733204	TOP2A;HJURP;CDC20;CSRP2;PTTG1;EXO1;PBK;NUSAP1;RCC1;OIP5;TK1;CDC25C;CCNA2;NEIL3;MELK;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;KIF18A;RAD51;CDK2;CDK1;CENPM;EZH2;SPC25
