Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-XMD-1150-10	16/151	4.0381799868566995E-12	6.123899950068184E-8	0	0	12.262923976608187	321.720594501464	CA12;POSTN;ENPEP;SPARC;ANXA1;TNC;FN1;EMP3;MMP14;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;PLP2;HOXC6
LJP006 HME1 24H-BI-2536-1.11	13/102	4.201638176965614E-11	3.1858921476841765E-7	0	0	14.913256098270944	356.321854266248	CA12;POSTN;ANXA1;SLC43A3;TGFB1I1;TNC;MMP9;LOX;COL4A2;COL4A1;MDK;SERPINH1;PLP2
LJP008 PC3 24H-I-BET151-3.33	15/187	1.0136026173978343E-9	5.1223248050381395E-6	0	0	8.959271886034335	185.54432488385757	CA12;POSTN;SPARC;ANXA1;IGFBP3;MRC2;MMP14;LOX;COL4A2;COL4A1;MDK;S100A4;TAGLN2;IGF2BP3;NES
LJP006 PC3 24H-BI-2536-10	12/109	1.3510912772932777E-9	5.1223248050381395E-6	0	0	12.560527154851737	256.51552215422254	CA12;FCGBP;POSTN;SPARC;ANXA1;LOX;COL4A2;MDK;TGFB1I1;S100A4;HOXB7;HOXC6
LJP005 A549 24H-dasatinib-0.12	8/45	1.7183779262614197E-8	5.211840250350886E-5	0	0	21.574665574665573	385.7399174371923	POSTN;SPARC;COL4A2;COL4A1;CHI3L1;TGFBI;MMP9;LOXL2
LJP008 A549 24H-I-BET151-10	13/168	2.1007102267908905E-8	5.3095450982139754E-5	0	0	8.534414173491559	150.87483235735652	ABCC3;CA12;ANXA1;GDF15;IGFBP3;EMP3;COL4A2;COL4A1;MDK;SPP1;IGF2BP3;TGFBI;HOXB7
LJP006 MCF10A 24H-dasatinib-1.11	8/49	3.47060326699602E-8	7.51881407771352E-5	0	0	19.465878295146588	334.3527836783255	COL4A2;PLAU;COL4A1;TGFB1I1;IGFBP3;SPP1;IGF2BP3;TGFBI
LJP006 BT20 3H-geldanamycin-0.04	5/11	4.851085160089253E-8	9.19583830659419E-5	0	0	82.03980099502488	1381.6715298087133	TFAP2A;SPARC;TNC;MMP9;LOXL2
LJP006 PC3 24H-XMD-1150-10	8/56	1.0277744439275146E-7	1.731799938017862E-4	0	0	16.62121212121212	267.44693655776166	CA12;LOX;MDK;IGFBP3;FN1;S100A4;NES;CD44
LJP006 A549 24H-BI-2536-3.33	12/168	1.7912485685855034E-7	2.716428454259916E-4	0	0	7.786677240285488	120.96745394242527	ABCC3;CA12;ENPEP;LOX;COL4A2;COL4A1;MDK;GDF15;IGFBP3;FN1;HOXB7;SLC16A4
LJP006 HA1E 24H-XMD-1150-3.33	9/86	2.5384647512021837E-7	3.4996198138164655E-4	0	0	11.698398048651855	177.65814522944083	CA12;POSTN;ANXA1;LOX;IGFBP3;S100A4;EMP3;PLP2;HOXC6
LJP007 A549 24H-vorinostat-10	8/65	3.373631211939414E-7	4.2634264440884347E-4	0	0	13.990430622009569	208.48687977529968	CA12;ANXA1;COL4A2;COL4A1;IGFBP3;EMP3;TGFBI;HOXB7
LJP006 HME1 24H-BI-2536-10	10/119	4.332961704064027E-7	5.05456648016392E-4	0	0	9.21409848343007	135.00353677201528	POSTN;SPARC;ANXA1;SRPX2;LOX;COL4A2;COL4A1;TNC;SERPINH1;TAGLN2
LJP006 HS578T 24H-BI-2536-1.11	10/123	5.89540240399917E-7	6.385984104046243E-4	0	0	8.886129673108181	127.46195853175676	POSTN;WEE1;ANXA1;LOX;IGFBP3;TGFB1I1;S100A4;IGF2BP3;HOXB7;S100A11
LJP008 HEPG2 24H-I-BET-10	10/124	6.355620816341397E-7	6.425532645321152E-4	0	0	8.807733619763695	125.67540247645493	CA12;STEAP3;SLC43A3;CLEC5A;SPP1;CHI3L1;PI3;TGFBI;EMP3;MMP9
LJP006 HME1 24H-KIN001-043-0.12	9/98	7.809734100386298E-7	7.402163602022388E-4	0	0	10.114926139280215	142.2434219987241	SPARC;ANXA1;COL4A2;COL4A1;TGFB1I1;FN1;PI3;IGF2BP2;CD44
LJP006 MCF10A 24H-KIN001-043-10	8/75	1.0326373906114434E-6	9.211732958013258E-4	0	0	11.896276194783658	163.97106733828454	LIMA1;SPARC;COL4A2;PLAU;COL4A1;IGFBP3;FN1;IGF2BP2
