Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-XMD-1150-10	15/151	1.4150430705416116E-7	0.002219636560451572	0	0	6.056545153272577	95.51738406606458	ENPEP;SPARC;NNMT;ANXA1;PLA2G2A;TNC;FN1;EMP3;MMP14;COL4A2;COL4A1;TAGLN2;IGFBP7;PLP2;GBP1
LJP006 BT20 3H-geldanamycin-0.04	5/11	8.891762371817782E-7	0.006973809228216687	0	0	44.80365296803653	624.2479696760204	TFAP2A;SPARC;TNC;MMP9;LOXL2
LJP006 HS578T 24H-BI-2536-10	12/118	1.9736607002650574E-6	0.010319613914785896	0	0	6.1739222093390955	81.0982992377445	NNMT;ANXA1;COL4A2;IGFBP3;TGFB1I1;TNC;IGFBP7;EMP3;NES;GBP1;S100A11;EGFR
LJP008 HEPG2 24H-GSK-1070916-10	12/131	5.9190538992312116E-6	0.02030312956577544	0	0	5.495798319327731	66.15475961552974	CSTA;ANXA1;ANGPT2;PLAU;PLA2G2A;SPP1;CHI3L1;S100A4;PI3;LYZ;GBP1;EGFR
LJP005 MCF7 24H-linsitinib-0.37	7/39	6.4717358044675004E-6	0.02030312956577544	0	0	11.810089531680442	141.10773155661963	NNMT;TNC;SPP1;HAS2;PI3;GBP1;PITX1
LJP005 HCC515 24H-GDC-0980-0.37	9/76	1.1008445185393453E-5	0.023899205052871405	0	0	7.279406292636541	83.10787397656955	IGFBP3;PLA2G2A;TNC;LYZ;PITX1;MMP9;GBP1;NES;IDO1
LJP006 HME1 24H-BI-2536-10	11/119	1.3263272054826798E-5	0.023899205052871405	0	0	5.538584545548334	62.20113932862598	CSTA;SPARC;NNMT;ANXA1;SRPX2;COL4A2;COL4A1;TNC;TAGLN2;IGFBP7;GBP1
LJP006 HME1 24H-KIN001-043-0.12	10/98	1.3730389192842676E-5	0.023899205052871405	0	0	6.168560606060606	69.06258147408393	CSTA;SPARC;ANXA1;COL4A2;COL4A1;TGFB1I1;FN1;PI3;IGF2BP2;CD44
LJP005 A549 24H-dasatinib-0.12	7/45	1.735803369444563E-5	0.023899205052871405	0	0	9.942293750906192	108.98200675628439	SPARC;COL4A2;COL4A1;CHI3L1;GBP1;MMP9;LOXL2
LJP006 PC3 24H-saracatinib-0.37	6/31	1.916578976276704E-5	0.023899205052871405	0	0	12.926373626373627	140.41122955079595	CD163;SPARC;IL1R2;IGFBP3;PI3;MMP9
LJP006 HME1 24H-BI-2536-0.37	10/102	1.9560843243783385E-5	0.023899205052871405	0	0	5.899154589371981	63.95852069783412	ENPEP;CSTA;SPARC;ANXA1;COL4A2;COL4A1;TGFB1I1;IGFBP7;MMP9;GBP1
LJP006 HME1 24H-BI-2536-1.11	10/102	1.9560843243783385E-5	0.023899205052871405	0	0	5.899154589371981	63.95852069783412	CD163;NNMT;ANXA1;COL4A2;COL4A1;TGFB1I1;TNC;PLP2;MMP9;GBP1
