Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP009 A375 24H-BI-2536-1.11	7/40	5.553286147994376E-4	0.9999937325412067	0	0	5.627795193312434	42.18567430971123	POSTN;SPARC;COL4A2;COL4A1;TGFB1I1;CYTL1;NID1
LJP006 HME1 24H-BI-2536-0.37	11/102	0.0012667726017733132	0.9999937325412067	0	0	3.2151163676822483	21.44895075339217	POSTN;ENPEP;CXCL9;SPARC;ANXA1;COL4A2;COL4A1;TGFB1I1;IGFBP2;HOXB2;IGFBP7
LJP008 HA1E 24H-I-BET151-0.37	10/109	0.0066677103861744625	0.9999937325412067	0	0	2.6818041914994826	13.437122908942563	POSTN;CXCL9;PRDX4;ANXA1;SRPX2;IGFBP3;TGFB1I1;DPEP1;CHI3L1;IDO1
LJP008 A549 24H-MK-1775-1.11	2/4	0.007641354389770813	0.9999937325412067	0	0	26.39178082191781	128.63830120885692	SRPX;TIMP4
LJP009 A549 24H-CH5424802-10	3/12	0.008386968673287006	0.9999937325412067	0	0	8.80612711476909	42.102764112159214	CXCL9;SPARC;IGFBP7
LJP005 HCC515 24H-crizotinib-10	5/37	0.01070492658073434	0.9999937325412067	0	0	4.134284731774415	18.757461566994152	COL4A2;COL4A1;IGFBP3;ID3;IGFBP7
LJP006 HCC515 24H-KIN001-043-10	10/117	0.010776607751310558	0.9999937325412067	0	0	2.480259921816346	11.236513602238132	SPARC;CSRP2;CDKN2C;COL4A2;COL4A1;IGFBP3;ID3;HOXB2;IGFBP7;TFPI
LJP005 HS578T 24H-TG-101348-10	11/135	0.010834612168049798	0.9999937325412067	0	0	2.355420339134714	10.658299267397043	CXCL9;SPARC;ANXA1;CDKN2C;COL4A2;COL4A1;IGFBP3;TGFB1I1;IGFBP2;IGFBP7;IGF2BP3
LJP009 MCF7 24H-ON-01910-0.04	4/25	0.012202451204060232	0.9999937325412067	0	0	5.035845107273679	22.188529933043768	SPARC;CSRP2;CDKN2C;CYTL1
LJP006 LNCAP 3H-withaferin-a-3.33	5/39	0.013321348545190476	0.9999937325412067	0	0	3.890686948782264	16.801493406947397	POSTN;SPARC;IGFBP3;IGFBP2;EGFR
LJP008 A375 24H-GSK-1070916-3.33	7/70	0.0139295024673087	0.9999937325412067	0	0	2.943295019157088	12.578895928504217	POSTN;SPARC;ANXA1;IL1R2;LPL;IGF2BP3;TFPI
LJP006 A375 24H-KIN001-043-3.33	9/104	0.014048892143816244	0.9999937325412067	0	0	2.5122952609740117	10.715471234632382	SRPX;POSTN;SPARC;COL4A2;COL4A1;F2R;IGFBP7;NID1;TFPI
LJP005 HCC515 24H-YM-201636-0.37	4/27	0.015983987864300248	0.9999937325412067	0	0	4.5974677496416625	19.01589814262182	POSTN;CSRP2;IGFBP7;IDO1
LJP007 PC3 24H-SB-525334-0.12	5/42	0.018002804450235253	0.9999937325412067	0	0	3.5746682032789323	14.360256233302511	CXCL9;MMP2;IGFBP3;IGFBP7;IDO1
LJP006 BT20 3H-XMD11-85H-1.11	4/28	0.018121111718906596	0.9999937325412067	0	0	4.405677655677656	17.66975280587948	ABCC3;ANXA1;ID3;IGF2BP3
LJP006 HEPG2 24H-NVP-TAE684-0.37	4/28	0.018121111718906596	0.9999937325412067	0	0	4.405677655677656	17.66975280587948	POSTN;LPL;ID3;CHI3L1
LJP005 SKBR3 3H-SB590885-0.37	3/16	0.01915061669724246	0.9999937325412067	0	0	6.095283317505539	24.1094077362402	CXCL9;SPARC;TFPI
LJP007 A375 24H-vorinostat-10	12/167	0.02006901508662196	0.9999937325412067	0	0	2.0551612903225807	8.0327585989347	SPARC;ANXA1;COL4A2;COL4A1;SLC43A3;TGFB1I1;LPL;HOXB2;CYTL1;IGFBP7;NID1;TFPI
LJP005 A549 24H-dasatinib-0.12	5/45	0.023657440040123007	0.9999937325412067	0	0	3.3060522696011003	12.378116326661303	POSTN;SPARC;COL4A2;COL4A1;CHI3L1
LJP006 HCC515 24H-canertinib-10	7/79	0.025493946142639508	0.9999937325412067	0	0	2.574176245210728	9.445461607327225	SPARC;COL4A2;COL4A1;IGFBP3;IGFBP2;IGFBP7;IGF2BP3
LJP007 HEPG2 24H-BIX-02189-3.33	4/31	0.025559800707652	0.9999937325412067	0	0	3.9155474155474157	14.357272585661768	ABCC3;IL1R2;IGFBP3;APOC1
LJP007 HCC515 24H-GDC-0068-10	4/32	0.028390699135705102	0.9999937325412067	0	0	3.7755102040816326	13.44721084275217	CSRP2;IGFBP3;CHI3L1;CA9
LJP006 HS578T 24H-BI-2536-10	9/118	0.029326408567348118	0.9999937325412067	0	0	2.1880162929688987	7.72209337574355	POSTN;CXCL9;ANXA1;COL4A2;IGFBP3;TGFB1I1;IGFBP2;IGFBP7;EGFR
LJP009 A375 24H-ponatinib-1.11	8/101	0.031887461811521564	0.9999937325412067	0	0	2.2782629358997206	7.849851528305559	CSRP2;COL4A2;COL4A1;SLC43A3;HOXB2;CYTL1;NID1;EGFR
LJP008 HEPG2 24H-NPK76-II-72-1-10	5/49	0.032813363378007596	0.9999937325412067	0	0	3.004876828810804	10.267422010614917	CXCL9;ANXA1;CHI3L1;LPL;NID1
LJP006 MCF10A 24H-dasatinib-1.11	5/49	0.032813363378007596	0.9999937325412067	0	0	3.004876828810804	10.267422010614917	COL4A2;COL4A1;TGFB1I1;IGFBP3;IGF2BP3
LJP006 A375 24H-CHIR-99021-10	9/121	0.03370710010963715	0.9999937325412067	0	0	2.129075281564908	7.217664798535543	SRPX;SPARC;VNN1;COL4A2;COL4A1;IGFBP3;HOXB2;IGFBP7;NID1
LJP007 MCF7 24H-AT7867-0.37	4/34	0.03459070023723271	0.9999937325412067	0	0	3.5234432234432234	11.853463441785864	CXCL9;IGFBP2;ID3;CHI3L1
LJP009 HCC515 24H-XMD-1499-1.11	3/20	0.03500236250199176	0.9999937325412067	0	0	4.660130718954249	15.62234130820895	CXCL9;IGF2BP3;IDO1
LJP006 BT20 3H-NVP-TAE684-10	3/20	0.03500236250199176	0.9999937325412067	0	0	4.660130718954249	15.62234130820895	SPARC;CSRP2;TFPI
LJP007 HCC515 24H-dasatinib-0.37	5/50	0.035402349138540096	0.9999937325412067	0	0	2.9379489530796272	9.81562017672873	FOXD1;SLC43A3;TGFB1I1;IGF2BP3;EGFR
LJP008 A375 24H-I-BET151-0.37	7/85	0.036091836535767814	0.9999937325412067	0	0	2.375419982316534	7.890405413614464	POSTN;SPARC;ANXA1;COL4A2;COL4A1;LPL;HOXB2
LJP006 HME1 3H-celastrol-0.04	4/35	0.03796198560109349	0.9999937325412067	0	0	3.4096065225097485	11.153402564444335	SRPX;POSTN;CYTL1;IGFBP7
CPC013 VCAP 24H-BRD-K97764662-10.0	3/21	0.039756204090048264	0.9999937325412067	0	0	4.401005944215821	14.193197397628994	ID3;NOX4;EDA2R
LJP006 A375 24H-WYE-125132-10	9/127	0.043779901857781904	0.9999937325412067	0	0	2.0201842604965186	6.320308939562156	POSTN;SPARC;CSRP2;COL4A2;COL4A1;IGFBP3;MMP2;IGFBP2;NID1
LJP006 BT20 3H-geldanamycin-1.11	3/22	0.04481873278117396	0.9999937325412067	0	0	4.169157461555122	12.945772091824495	ANXA1;IGFBP2;CYTL1
LJP006 SKBR3 3H-QL-XII-47-0.12	4/37	0.04524941886256509	0.9999937325412067	0	0	3.2026307026307026	9.913952957729112	SRPX;CXCL9;POSTN;CDKN2C
LJP007 HEPG2 24H-masitinib-10	3/23	0.05018430997855413	0.9999937325412067	0	0	3.960493827160494	11.850006848374823	ID3;IGFBP7;NID1
LJP005 A549 24H-ruxolitinib-10	5/55	0.05020250776196366	0.9999937325412067	0	0	2.6434662998624483	7.908432482691337	POSTN;COL4A2;COL4A1;TGFB1I1;IGFBP7
LJP005 A375 24H-nilotinib-10	4/39	0.05326172910002748	0.9999937325412067	0	0	3.019309262166405	8.854236831835554	SRPX;POSTN;SPARC;COL4A2
LJP007 A375 24H-BIX-02189-10	4/39	0.05326172910002748	0.9999937325412067	0	0	3.019309262166405	8.854236831835554	SPARC;COL4A1;LPL;NID1
LJP006 BT20 24H-XMD11-85H-10	6/74	0.05361877447808234	0.9999937325412067	0	0	2.333495381623724	6.8274714682481115	POSTN;SPARC;COL4A1;ANXA5;F2R;IGFBP7
CPC006 HA1E 24H-cyclosporine-10.0	3/24	0.055846447571043685	0.9999937325412067	0	0	3.771702919851068	10.88192627322436	ABCC3;IGFBP2;LAMB4
LJP009 PC3 24H-rondual-kinase-inhibitor-10	3/24	0.055846447571043685	0.9999937325412067	0	0	3.771702919851068	10.88192627322436	SPARC;APOC1;CHI3L1
LJP009 HA1E 24H-PF 573228-3.33	3/24	0.055846447571043685	0.9999937325412067	0	0	3.771702919851068	10.88192627322436	MS4A6A;VNN1;SLC43A3
LJP005 MDAMB231 3H-torin-2-1.11	5/57	0.05699866184692576	0.9999937325412067	0	0	2.5415299968257328	7.280790842956839	SPARC;CSRP2;IL1R2;CHI3L1;ID3
LJP008 HT29 24H-GSK-461364-3.33	4/40	0.057537701717317126	0.9999937325412067	0	0	2.935286935286935	8.381168416441787	ENPEP;CDKN2C;IGFBP2;ANG
LJP005 MCF10A 3H-GSK-690693-10	4/40	0.057537701717317126	0.9999937325412067	0	0	2.935286935286935	8.381168416441787	POSTN;SRPX2;F2R;ID3
LJP006 A375 24H-BI-2536-10	8/114	0.05799460192901418	0.9999937325412067	0	0	1.9974981757531534	5.687686978185246	POSTN;SPARC;ANXA1;CDKN2C;COL4A2;COL4A1;HOXB2;IGFBP7
CPC018 A375 6H-BRD-K41557448-10.0	2/11	0.059111127199948155	0.9999937325412067	0	0	5.862709284627093	16.581712283013335	LAMB4;NOX4
LJP006 MCF10A 3H-HG-6-64-01-1.11	2/11	0.059111127199948155	0.9999937325412067	0	0	5.862709284627093	16.581712283013335	ID3;CHI3L1
LJP009 HEPG2 24H-serdemetan-10	5/58	0.06058506890920324	0.9999937325412067	0	0	2.4934468350159613	6.990893856502654	POSTN;ANXA1;IL1R2;ID3;IGFBP7
LJP009 MCF7 24H-AZD-1480-10	3/25	0.061797908389756594	0.9999937325412067	0	0	3.6000748222970445	10.022197032429137	PRDX4;CSRP2;VNN1
LJP006 HT29 24H-ZSTK-474-3.33	4/41	0.06199177296696521	0.9999937325412067	0	0	2.855806355806356	7.941293795738195	CSRP2;CHI3L1;NID1;IDO1
LJP008 A549 24H-(+)-JQ1-3.33	6/77	0.06273987021436962	0.9999937325412067	0	0	2.2345477825631477	6.186922373024434	POSTN;COL4A2;COL4A1;IGFBP3;IGFBP2;TFPI
LJP006 A375 24H-BI-2536-0.37	6/77	0.06273987021436962	0.9999937325412067	0	0	2.2345477825631477	6.186922373024434	CXCL9;POSTN;SPARC;COL4A2;COL4A1;IGFBP7
LJP008 HA1E 24H-garcinol-10	4/42	0.06662219490942302	0.9999937325412067	0	0	2.780508964719491	7.531613291796319	IL1R2;MMP2;CHI3L1;CA9
LJP005 A375 24H-neratinib-1.11	4/42	0.06662219490942302	0.9999937325412067	0	0	2.780508964719491	7.531613291796319	SPARC;IGFBP2;ID3;NID1
LJP008 PC3 24H-epigallocatechin-0.12	4/42	0.06662219490942302	0.9999937325412067	0	0	2.780508964719491	7.531613291796319	ABCC3;MS4A6A;APOC1;TFPI
LJP005 A375 24H-neratinib-0.37	3/26	0.06803079919401457	0.9999937325412067	0	0	3.4433709071390233	9.255074236262884	SRPX;COL4A2;NID1
LJP005 PC3 24H-tozasertib-10	3/26	0.06803079919401457	0.9999937325412067	0	0	3.4433709071390233	9.255074236262884	MS4A6A;SPARC;IGF2BP3
