Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-XMD-1150-10	9/100	1.0460910920960422E-6	0.013626382565643046	0	0	9.741758241758241	134.14839585161286	SFRP4;PPP1R14B;ANXA1;PLAU;MDK;IGFBP7;VIM;HOXB7;HOXA5
LJP006 BT20 24H-XMD11-85H-10	7/74	1.2240817356675086E-5	0.07385986346936523	0	0	10.201566425299246	115.3872093778381	SFRP4;ANXA5;TAGLN2;IGFBP7;VIM;HOXA5;AQP1
LJP005 A549 24H-XMD16-144-10	9/143	1.991364407596186E-5	0.07385986346936523	0	0	6.601231343283582	71.45242402233447	NNMT;ANXA1;IGFBP3;TAGLN2;HOXB2;IGFBP7;EMP3;HOXB7;SLC16A4
LJP006 HS578T 24H-BI-2536-0.37	8/115	2.8252811886637675E-5	0.07385986346936523	0	0	7.321895196912633	76.69185550316949	ANXA1;IGFBP3;TGFB1I1;TAGLN2;HOXB2;IGFBP7;HOXB7;NES
LJP008 PC3 24H-belinostat-10	9/151	3.0673889606451915E-5	0.07385986346936523	0	0	6.226795774647887	64.70947669003151	ANXA1;PLAU;MDK;SLC43A3;HOXB2;IGFBP7;HOXB7;NES;HOXB6
LJP006 HS578T 24H-BI-2536-10	8/118	3.4021125504083476E-5	0.07385986346936523	0	0	7.121121664405247	73.26586595879347	NNMT;ANXA1;IGFBP3;TGFB1I1;IGFBP7;EMP3;NES;EGFR
LJP005 SKBR3 3H-PF-477736-0.37	5/39	5.1220052592179466E-5	0.08327946618018857	0	0	14.242358708189158	140.7056659469594	ANXA5;EGFR;HOXA5;HOXB6;AQP1
LJP007 HA1E 24H-tivantinib-10	7/93	5.451129709509864E-5	0.08327946618018857	0	0	7.94007598434262	77.94854052360748	SFRP4;IGFBP3;SHOX2;PLA2G2A;HOXC10;AQP1;PPIC
LJP006 BT20 24H-KIN001-043-3.33	8/127	5.753993517746792E-5	0.08327946618018857	0	0	6.5795392783979265	64.23624808831896	OSR2;NNMT;CSRP2;STON1;ID3;IGFBP7;MMP9;HOXC10
LJP008 PC3 24H-I-BET151-3.33	9/187	1.5962961545596064E-4	0.2079335370929343	0	0	4.958342696629214	43.34907624463226	ANXA1;MDK;IGFBP3;ID3;TAGLN2;HOXB2;IGFBP7;NES;AQP1
LJP006 HME1 24H-XMD-1150-10	8/151	1.9256404196912972E-4	0.228030837335444	0	0	5.468601050690603	46.78432917809557	NNMT;ANXA1;CDKN2C;PLA2G2A;TAGLN2;IGFBP7;EMP3;HOXC6
LJP006 HCC515 24H-KIN001-043-10	7/117	2.3112719524836335E-4	0.24370062613662666	0	0	6.20013501350135	51.91089310151355	CSRP2;CDKN2C;MDK;IGFBP3;ID3;HOXB2;IGFBP7
