Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP009 HEPG2 24H-SYK-inhibitor-1.11	9/55	3.790721101288437E-6	0.06243317653822056	0	0	8.553860401637746	106.77744842042776	CA12;VNN1;IL1R2;S100A4;TAGLN2;HOXB2;LYZ;HOXB6;TMEM45A
LJP008 HEPG2 24H-PFI-1-10	13/143	2.4127678567545518E-5	0.19676853120807986	0	0	4.392533936651584	46.7020835960008	CA12;STEAP3;CD163;SLC43A3;IL1R2;IGFBP2;HP;EMP3;TFPI;SERPINH1;SPP1;CHI3L1;TGFBI
LJP006 PC3 24H-BI-2536-10	11/109	3.8763267823727336E-5	0.19676853120807986	0	0	4.916275969847399	49.93971549155165	HOXA10;CA12;FCGBP;SPARC;LOX;MDK;TGFB1I1;S100A4;HOXB7;CD99;HOXC6
LJP009 HEPG2 24H-rondual-kinase-inhibitor-10	7/43	4.7788350020177254E-5	0.19676853120807986	0	0	8.467447916666666	84.24034186381711	CA12;SPARC;LOX;HOXB2;TGFBI;CD44;LOXL2
LJP007 HA1E 24H-AZ-628-10	8/66	1.2200278255348026E-4	0.300954996727742	0	0	6.013114248245005	54.18697884548403	CA12;CD163;FOXD1;HOXB2;IGF2BP3;TGFBI;HOXB7;HOXB6
LJP008 HEPG2 24H-I-BET-10	11/124	1.2599529684909126E-4	0.300954996727742	0	0	4.260384278083393	38.255123602695306	CA12;STEAP3;SLC43A3;IL1R2;CLEC5A;IGFBP2;SPP1;CHI3L1;PI3;TGFBI;EMP3
LJP008 A549 24H-I-BET151-10	13/168	1.2791044183935605E-4	0.300954996727742	0	0	3.6793168880455407	32.982059641716624	ABCC3;CA12;GDF15;EMP3;TFPI;MDK;SPP1;HOXB2;IGF2BP3;TGFBI;HOXB7;HOXA5;CD99
LJP006 A549 24H-celastrol-10	7/53	1.8798290525298748E-4	0.32154138705434815	0	0	6.623301630434782	56.82236129468926	HOXA10;CA12;SPP1;FN1;EMP3;TFPI;HOXC6
LJP008 A549 24H-I-BET151-3.33	10/109	1.9255641880535948E-4	0.32154138705434815	0	0	4.414027919645897	37.76254454992017	HOXA10;CA12;LOX;SPP1;TGFBI;EMP3;TFPI;HOXB7;HOXA5;S100A11
LJP006 HEPG2 24H-BI-2536-10	11/131	2.0511282467804327E-4	0.32154138705434815	0	0	4.010416666666667	34.05625928006227	ABCC3;CA12;FCGBP;SPARC;LOX;MDK;IL1R2;IGFBP2;SPP1;ANG;LYZ
LJP006 MCF10A 3H-QL-X-138-1.11	7/56	2.667464100516406E-4	0.32154138705434815	0	0	6.216836734693878	51.159668242341375	CA12;SPARC;IL1R2;FN1;CYTL1;PI3;TMEM45A
LJP006 PC3 24H-XMD-1150-10	7/56	2.667464100516406E-4	0.32154138705434815	0	0	6.216836734693878	51.159668242341375	CA12;LOX;MDK;FN1;S100A4;NES;CD44
LJP009 HEPG2 24H-dasatinib-10	7/57	2.9821729704022996E-4	0.32154138705434815	0	0	6.0921875	49.45447829147395	CA12;MS4A6A;ST14;SPP1;S100A4;TAGLN2;TGFBI
LJP008 HEPG2 24H-ABT-737-10	7/57	2.9821729704022996E-4	0.32154138705434815	0	0	6.0921875	49.45447829147395	CA12;TFAP2A;IGFBP2;CHI3L1;S100A4;HOXB7;HOXB6
LJP006 MCF7 3H-celastrol-10	5/27	3.181769618192804E-4	0.32154138705434815	0	0	9.86010101010101	79.40243548860727	HOXA10;LOX;MDK;GDF15;SPP1
LJP006 HEPG2 24H-BI-2536-3.33	10/117	3.429797532135191E-4	0.32154138705434815	0	0	4.082326997794812	32.568148109664854	CA12;FCGBP;LOX;MDK;IGFBP2;SPP1;LPL;TGFBI;LYZ;TFPI
LJP006 HT29 24H-AZD-5438-1.11	11/139	3.435007828787979E-4	0.32154138705434815	0	0	3.7582172015765765	29.976747415800226	HOXA10;FCGBP;SPARC;VNN1;LPL;CHI3L1;HOXB2;LYZ;TFPI;NES;S100A11
LJP006 HME1 3H-GW-843682X-3.33	6/42	3.514113519719652E-4	0.32154138705434815	0	0	7.241648106904232	57.596832588631784	SPARC;MDK;IGF2BP3;PI3;TFPI;HOXA5
LJP006 PC3 24H-BI-2536-3.33	10/120	4.2020419027549385E-4	0.3570029111033339	0	0	3.9703779366700713	30.86877446670388	ABCC3;CA12;FCGBP;ST14;LOX;S100A4;TGFBI;TFPI;HOXB7;CD99
LJP006 HME1 3H-geldanamycin-0.37	6/44	4.551092091323975E-4	0.3570029111033339	0	0	6.859805415543312	52.7860184713432	CA12;IGFBP2;HP;SPP1;PI3;HOXC6
LJP006 HA1E 24H-AZD-7762-0.12	7/61	4.5519496861991563E-4	0.3570029111033339	0	0	5.639756944444445	43.39671560762071	CA12;SPARC;LOX;FN1;S100A4;PI3;CD99
LJP005 SKBR3 24H-TG-101348-1.11	5/30	5.310113291863353E-4	0.365751861584814	0	0	8.675555555555556	65.41999776488241	SLC43A3;HP;SPP1;CHI3L1;NES
LJP006 MDAMB231 3H-geldanamycin-0.04	5/30	5.310113291863353E-4	0.365751861584814	0	0	8.675555555555556	65.41999776488241	HOXA10;CA12;SPP1;CHI3L1;IGF2BP3
LJP006 HME1 24H-BI-2536-1.11	9/102	5.329717473002754E-4	0.365751861584814	0	0	4.220743526688847	31.811921831838152	CA12;CD163;LOX;MDK;SLC43A3;TGFB1I1;IGFBP2;SERPINH1;PLP2
LJP008 HEPG2 24H-I-BET151-3.33	8/83	5.988529195335474E-4	0.36587934407637746	0	0	4.646085011185682	34.476248426979005	CA12;FCGBP;IL1R2;IGFBP2;SPP1;LPL;S100A4;HOXA5
LJP006 HA1E 24H-A443654-3.33	7/64	6.113994112244061E-4	0.36587934407637746	0	0	5.342105263157895	39.53029743776998	HOXA10;ANXA5;EMP3;TGFBI;HOXA5;S100A11;HOXC6
LJP007 HEPG2 24H-dacomitinib-0.04	5/31	6.214128929966149E-4	0.36587934407637746	0	0	8.341452991452991	61.58924172363356	CA12;CHI3L1;HOXB2;HOXB6;TMEM45A
LJP005 PC3 24H-LDN-193189-10	12/174	6.559355077044163E-4	0.36587934407637746	0	0	3.2410333584148483	23.754985743159935	HOXA10;CA12;STEAP3;SPARC;PLAU;F2R;S100A4;LYZ;HOXB7;NES;CD99;PDIA4
LJP008 PC3 24H-belinostat-10	11/151	6.927446916283065E-4	0.36587934407637746	0	0	3.4339607464607464	24.98154602949572	STEAP3;MMP14;SPARC;PLAU;MDK;SLC43A3;HOXB2;HOXB7;NES;HOXB6;CD99
