Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP005 A549 24H-WH-4-025-0.37	10/47	2.0737945108510184E-8	3.267959791747156E-4	0	0	13.809893444358197	244.31497780377734	EFEMP1;ANXA1;ANXA2;COL4A1;SERPINE1;EIF4EBP1;FN1;ANXA2P2;LOXL2;S100A10
LJP006 HEPG2 24H-BI-2536-10	15/131	4.6373686137743454E-8	3.267959791747156E-4	0	0	6.667692939244663	112.594221170965	ABCC3;CA12;FCGBP;SPARC;C1R;PROS1;SERPINE1;IGFBP2;CFI;EFEMP1;LOX;SPP1;ANG;GBP2;GBP1
LJP006 HME1 24H-XMD-1150-10	16/151	4.9953527846945216E-8	3.267959791747156E-4	0	0	6.121465762845073	102.91513962358839	CA12;SPARC;ANXA1;TNC;FN1;EMP3;FSTL1;ACTG2;MMP14;LOX;COL4A2;COL4A1;TAGLN2;PTX3;PLP2;GBP1
LJP006 BT20 24H-XMD11-85H-10	11/74	2.0216320343820983E-7	9.919137576695765E-4	0	0	8.933100639906923	137.6965152687733	SFRP4;SPARC;COL4A1;CAV1;ANXA5;F2R;TAGLN2;VIM;FSTL1;HOXA5;AQP1
LJP006 HS578T 24H-BI-2536-10	13/118	5.763217756061479E-7	0.0022621782336092514	0	0	6.354035087719298	91.28587854705623	ANXA1;IGFBP3;TGFB1I1;IGFBP2;TNC;EMP3;ACTG2;EGFR;COL4A2;DPYD;GBP2;GBP1;S100A11
LJP008 HCC515 24H-I-BET151-10	16/185	8.201709560359835E-7	0.002315102360252457	0	0	4.881389983205939	68.4065936943526	ANXA1;C1R;IGFBP3;IGFBP2;CFI;SFRP4;EFEMP1;LOX;COL4A2;COL4A1;ADAM12;DPYD;GBP2;FMOD;GBP1;LTF
LJP006 A549 24H-BI-2536-10	17/208	8.257269194826862E-7	0.002315102360252457	0	0	4.596078868218782	64.37728463096794	CA12;ABCC3;ANXA1;VCAM1;C1R;IGFBP3;CFI;F2R;EMP3;FSTL1;EGFR;LOX;COL4A1;DPYD;ID3;ANG;HOXA5
LJP006 PC3 24H-KIN001-043-0.12	7/29	1.1523306739367347E-6	0.0025757662784010164	0	0	16.144017899199245	220.74884490028714	FCGBP;EFEMP1;CAV1;SPP1;CXCR4;ACTG2;CD44
LJP006 PC3 24H-BI-2536-10	12/109	1.5805462303544546E-6	0.0025757662784010164	0	0	6.334929783261629	84.62034531311436	DENND2D;CA12;FCGBP;SPARC;EFEMP1;ANXA1;LOX;COL4A2;C1R;TGFB1I1;FSTL1;ACTG2
LJP005 HA1E 24H-XMD16-144-10	12/110	1.743092775122099E-6	0.0025757662784010164	0	0	6.269966254218223	83.13880931218652	SPARC;EFEMP1;LOX;COL4A2;IGFBP3;TGFB1I1;SERPINE1;TAGLN2;EMP3;FSTL1;GBP1;LOXL2
LJP007 HA1E 24H-AT7867-3.33	10/74	1.7952514242864699E-6	0.0025757662784010164	0	0	7.972829634464752	105.48344994657558	CA12;EFEMP1;VCAM1;IGFBP3;CAV1;SERPINE1;GBP1;ACTG2;AQP1;LTF
LJP008 HEPG2 24H-GSK-1070916-10	13/131	1.9115460923174948E-6	0.0025757662784010164	0	0	5.650245316681534	74.40015989726588	CA12;ANXA1;ANGPT2;CAV1;EGFR;AQP1;EFEMP1;PLAU;SPP1;CHI3L1;PI3;GBP1;S100A10
LJP006 MCF10A 24H-KIN001-043-10	10/75	2.035633266851581E-6	0.0025757662784010164	0	0	7.849769029925688	102.86889646435218	SPARC;COL4A2;PLAU;COL4A1;IGFBP3;CAV1;SERPINE1;FN1;PTX3;FSTL1
LJP007 HA1E 24H-AT7867-10	11/93	2.1122850280151945E-6	0.0025757662784010164	0	0	6.856563657259609	89.59979284486371	CA12;EFEMP1;VCAM1;IGFBP3;SERPINE1;IGFBP2;TNC;ID3;TAGLN2;GBP1;ACTG2
LJP007 HA1E 24H-tivantinib-10	11/93	2.1122850280151945E-6	0.0025757662784010164	0	0	6.856563657259609	89.59979284486371	SFRP4;WEE1;EFEMP1;VCAM1;C1R;IGFBP3;ADAM12;SHOX2;PI3;AQP1;PPIC
LJP006 BT20 24H-NVP-TAE684-3.33	11/94	2.350640440055243E-6	0.0025757662784010164	0	0	6.773607519081562	87.79152636009451	WEE1;EFEMP1;COL4A1;TGFB1I1;SERPINE1;DPYD;FN1;NID1;FSTL1;LOXL2;VEGFA
LJP005 A549 24H-dasatinib-0.12	8/45	2.3623658927554416E-6	0.0025757662784010164	0	0	10.99052299052299	142.39153370149793	SPARC;EFEMP1;COL4A2;COL4A1;SERPINE1;CHI3L1;GBP1;LOXL2
LJP009 A375 24H-chelerythrine chloride-1.11	8/45	2.3623658927554416E-6	0.0025757662784010164	0	0	10.99052299052299	142.39153370149793	CA12;SPARC;VCAM1;F2R;EMP3;VIM;FSTL1;AQP1
LJP006 HA1E 24H-AZD-7762-0.12	9/61	2.8030364401804097E-6	0.0028603175192048625	0	0	8.813852163461538	112.68340135225829	CA12;SPARC;LOX;STC2;CAV1;ADAM12;FN1;PI3;LTF
LJP005 HA1E 24H-pelitinib-10	13/136	2.914824741877981E-6	0.0028603175192048625	0	0	5.419169875909286	69.07111816316771	SPARC;VCAM1;IGFBP3;TGFB1I1;F2R;CFI;ALOX15B;LOXL2;EFEMP1;LOX;COL4A1;ADAM12;GBP1
LJP005 PC3 24H-AZD-6482-0.37	7/34	3.6492999511836006E-6	0.0032579635443848263	0	0	13.151026674342736	164.66367888292416	ANXA2;LOX;TNC;SPP1;CXCR4;GBP2;GBP1
LJP006 HCC515 24H-BI-2536-3.33	12/118	3.6723525155560936E-6	0.0032579635443848263	0	0	5.79438419254197	72.51485289275709	LOX;COL4A2;COL4A1;C1R;IGFBP3;ADAM12;CFI;TNC;NID1;GBP2;GBP1;LTF
LJP006 HCC515 24H-BI-2536-10	13/141	4.359894480817851E-6	0.0032579635443848263	0	0	5.206147203947369	64.25980137699378	DENND2D;FCGBP;C1R;IGFBP3;CFI;FSTL1;EFEMP1;LOX;COL4A2;COL4A1;GBP2;GBP1;HOXA5
LJP008 HA1E 24H-I-BET-3.33	12/120	4.38098352695688E-6	0.0032579635443848263	0	0	5.68649752114319	70.16135587432575	CA12;PLAU;IGFBP3;SERPINE1;ADAM12;TAGLN2;PI3;GBP2;GBP1;S100A11;AQP1;VEGFA
LJP008 HA1E 24H-pracinostat-10	16/211	4.603735345351225E-6	0.0032579635443848263	0	0	4.224879276338163	51.91803125392157	CA12;ANXA1;TGFB1I1;CFI;EMP3;FSTL1;VEGFA;LOXL2;EFEMP1;COL4A2;LOX;PLAU;ADAM12;PTX3;GBP1;CD44
LJP008 PC3 24H-I-BET151-3.33	15/187	4.605565594697895E-6	0.0032579635443848263	0	0	4.4838962716869695	55.09921627257907	CA12;SPARC;ANXA1;C1R;IGFBP3;CFI;AQP1;MRC2;MMP14;LOX;COL4A2;COL4A1;DPYD;ID3;TAGLN2
LJP006 MCF10A 24H-dasatinib-1.11	8/49	4.615016279746974E-6	0.0032579635443848263	0	0	9.916249604054482	121.83297791491351	COL4A2;PLAU;COL4A1;TGFB1I1;IGFBP3;CAV1;SERPINE1;SPP1
LJP008 HA1E 24H-PFI-1-10	14/164	4.648067830570423E-6	0.0032579635443848263	0	0	4.791521547933157	58.83537552342833	VCAM1;ANXA1;IGFBP3;SERPINE1;TNC;ACTG2;LOX;PLAU;STC2;CLEC5A;ADAM12;GBP2;GBP1;S100A11
LJP006 HA1E 24H-BI-2536-3.33	13/143	5.095873438987046E-6	0.0034486762797779225	0	0	5.1255263157894735	62.46519656360838	DENND2D;CA12;VCAM1;IGFBP3;TGFB1I1;EMP3;ACTG2;LOX;NOX4;PTX3;PLP2;GBP2;GBP1
LJP008 HA1E 24H-belinostat-10	14/168	6.152741813880919E-6	0.003928877492647157	0	0	4.666106980091149	55.98681071398587	CA12;ANXA1;TGFB1I1;IGFBP2;CFI;EMP3;FSTL1;LOXL2;LOX;ADAM12;HAS2;PTX3;GBP1;S100A11
LJP006 HS578T 24H-GSK-1059615-3.33	8/51	6.296759756644671E-6	0.003928877492647157	0	0	9.454062216852915	113.21688933043515	MTHFD2;TNC;CHI3L2;EIF4EBP1;TAGLN2;EMP3;GBP1;S100A11
LJP008 HA1E 24H-(+)-JQ1-3.33	13/146	6.405996115597117E-6	0.003928877492647157	0	0	5.009141274238227	59.90069444710157	VCAM1;ANXA1;IGFBP3;TGFB1I1;SERPINE1;TNC;LOX;PLAU;TAGLN2;GBP2;GBP1;S100A11;S100A10
LJP008 HA1E 24H-(+)-JQ1-1.11	11/110	1.0966960402031612E-5	0.006401034232978108	0	0	5.674229203025014	64.80323484049393	VCAM1;LOX;IGFBP3;TGFB1I1;TNC;TAGLN2;EMP3;GBP2;GBP1;S100A11;LTF
LJP009 HA1E 24H-KIN236-10	7/40	1.1426541722152361E-5	0.006401034232978108	0	0	10.756633694457529	122.40588424150445	EFEMP1;ANXA1;IGFBP3;SERPINE1;ID3;GBP2;GBP1
LJP009 PC3 24H-PF 573228-3.33	6/27	1.1561955768586186E-5	0.006401034232978108	0	0	14.459948320413437	164.3776635072862	EFEMP1;LOX;PLAU;STC2;CAV1;SERPINE1
LJP005 HA1E 24H-radicicol-3.33	12/132	1.1741426291002338E-5	0.006401034232978108	0	0	5.114698162729659	58.06403426683996	SFRP4;LOX;PLAU;IGFBP3;TGFB1I1;SERPINE1;ADAM12;TNC;ID3;GBP1;EGFR;VEGFA
LJP008 HA1E 24H-I-BET151-10	13/156	1.3172884730426431E-5	0.006941540501655369	0	0	4.656459330143541	52.32626338488649	VCAM1;ANXA1;IGFBP3;TGFB1I1;SERPINE1;TNC;LOX;PLAU;ADAM12;TAGLN2;GBP2;GBP1;S100A11
LJP007 HA1E 24H-tanespimycin-10	12/134	1.3685450329107494E-5	0.006941540501655369	0	0	5.030334322963728	56.33560600765655	SPARC;ANXA1;LOX;PLAU;IGFBP3;SERPINE1;TNC;FN1;TAGLN2;PTX3;CD44;S100A10
LJP006 HT29 24H-BI-2536-3.33	13/157	1.4110835725246875E-5	0.006941540501655369	0	0	4.623885233918129	51.64217464581377	CA12;FCGBP;STEAP3;ANXA1;C1R;CFI;EMP3;EGFR;WEE1;DPYD;TAGLN2;GBP2;LTF
LJP006 BT20 3H-XMD11-85H-1.11	6/28	1.4472754557142161E-5	0.006941540501655369	0	0	13.801973220577871	153.7987369510625	ABCC3;EFEMP1;ANXA1;CAV1;ID3;S100A10
