Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-0.37	16/178	2.0229316273479158E-7	0.0016868198056789415	0	0	5.462962962962963	84.20364125637194	GINS2;ANXA1;CDKN2C;SLC43A3;TNC;CDCA8;CDC20;PTTG1;ESPL1;CDK2;TAGLN2;KIF2C;KIF20A;PLP2;DTL;ASF1B
LJP006 LNCAP 24H-palbociclib-0.37	12/100	3.0900401112113214E-7	0.0016868198056789415	0	0	7.4862104187946885	112.21763224070662	CDC20;CA12;GINS2;PTTG1;ESPL1;CDK2;CDCA8;ID3;E2F2;KIF20A;DTL;ASF1B
LJP006 BT20 24H-palbociclib-3.33	15/163	3.594018849493443E-7	0.0016868198056789415	0	0	5.594135211698951	83.0103912952147	OSR2;GINS2;CDKN2C;TNC;CDCA8;EMP3;CDC20;WEE1;PTTG1;ESPL1;CDK2;KIF20A;PLP2;DTL;ASF1B
LJP006 LNCAP 24H-palbociclib-1.11	14/143	4.1463032155814945E-7	0.0016868198056789415	0	0	5.97910918407568	87.86826213809701	GINS2;GDF15;CDCA8;CDC20;CSRP2;PTTG1;ESPL1;CDK2;ID3;CHI3L1;E2F2;KIF20A;DTL;ASF1B
LJP006 LNCAP 24H-torin-1-0.04	13/150	4.241433377011818E-6	0.013804169068822663	0	0	5.210959185771563	64.46274008848125	GINS2;CDKN2C;IL1R2;CDCA8;EMP3;CDC20;PTTG1;CDK2;EIF4EBP1;E2F2;DTL;ASF1B;LTF
LJP006 SKBR3 24H-lapatinib-0.04	10/90	6.095335515403111E-6	0.014130681613568034	0	0	6.826815642458101	81.97631177182001	CDC20;CA12;GINS2;PTTG1;CHI3L2;CHI3L1;E2F2;ID3;KIF20A;GBP1
LJP009 MCF7 24H-XMD-1499-10	9/78	1.306617974250799E-5	0.014130681613568034	0	0	7.10778733196076	79.93050420447696	CDC20;GINS2;CSRP2;PTTG1;ESPL1;CDCA8;ID3;KIF20A;DTL
LJP006 LNCAP 24H-torin-1-0.37	10/98	1.3102200332685754E-5	0.014130681613568034	0	0	6.203656678517014	69.74603939135763	CDC20;CA12;GINS2;PTTG1;CDK2;EIF4EBP1;ID3;EMP3;DTL;ASF1B
LJP005 A549 24H-PD-184352-10	12/143	1.377112270978059E-5	0.014130681613568034	0	0	5.017840295051034	56.1643688710946	CDC20;TFAP2B;GINS2;ANXA1;IL1R2;CDK2;TNC;CHI3L1;KIF20A;DTL;ASF1B;LTF
LJP005 HCC515 24H-HG-5-113-01-10	12/144	1.4778318653911854E-5	0.014130681613568034	0	0	4.979570990806946	55.384528457253204	CDC20;FCGBP;NNMT;ANXA1;DYNLT1;TNC;CHI3L2;TAGLN2;KIF20A;DTL;SLC16A4;LTF
