Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-BI-2536-1.11	18/102	7.055671855515256E-13	1.0198800426186666E-8	0	0	11.596952908587257	324.48012607533536	CA12;POSTN;CD163;NNMT;ANXA1;SLC43A3;TGFB1I1;IGFBP2;TNC;MMP9;LOX;COL4A2;COL4A1;MDK;MFAP2;SERPINH1;KIF20A;PLP2
LJP006 HME1 24H-XMD-1150-10	21/151	1.0747458165537348E-12	1.0198800426186666E-8	0	0	8.79482165878814	242.37593542295	CA12;POSTN;ENPEP;SPARC;NNMT;ANXA1;PLK1;TNC;FN1;EMP3;MMP14;COL3A1;LOX;COL4A2;COL4A1;MFAP2;SERPINH1;TAGLN2;IGFBP7;KIF20A;PLP2
LJP006 LNCAP 24H-palbociclib-1.11	20/143	3.3702563562100166E-12	2.0810301829489213E-8	0	0	8.831215888760559	233.28568420432453	SPARC;PCNA;GDF15;IGFBP2;PLK1;NCAPG;KIF23;HMMR;TYMS;MMP9;LOXL2;CDC20;CSRP2;CDK2;SPP1;ID3;CHI3L1;KIF20A;TGFBI;DLGAP5
LJP006 HCC515 24H-A443654-1.11	20/145	4.3859638188501426E-12	2.0810301829489213E-8	0	0	8.689025069637882	227.2406988299047	CA12;NNMT;ANXA1;PCNA;PLK1;TNC;NCAPG;HMMR;TYMS;LOXL2;CDC20;COL3A1;CHI3L1;TAGLN2;KIF20A;TGFBI;DLGAP5;CD44;PPIC;LTF
LJP005 A549 24H-TG-101348-10	22/194	1.980495223406551E-11	7.517563769006586E-8	0	0	6.9682431111979675	171.73297232272714	CSTA;NNMT;IGFBP3;PLK1;TNC;NCAPG;KIF23;HMMR;TYMS;LOXL2;CDC20;COL3A1;KIF18A;COL4A2;COL4A1;CDK2;ID3;KIF20A;PITX1;DLGAP5;APOBEC3B;LTF
LJP005 HCC515 24H-NU-7441-10	20/168	6.815911540738814E-11	2.1559864188613659E-7	0	0	7.330045923360687	171.59033665958142	POSTN;ANXA1;IGFBP3;PLK1;TNC;NCAPG;KIF23;HMMR;TYMS;CDC20;COL3A1;COL4A2;COL4A1;IGFBP7;IGF2BP3;KIF20A;DLGAP5;APOBEC3B;LTF;E2F8
LJP005 HCC515 24H-TG-101348-10	20/175	1.4351166203573833E-10	3.4097672120502733E-7	0	0	6.996495642016353	158.5728088195934	POSTN;ANXA1;PCNA;IGFBP3;TNC;NCAPG;HMMR;TYMS;CDC20;COL3A1;LOX;COL4A2;COL4A1;CDK2;SERPINH1;IGFBP7;KIF20A;DLGAP5;APOBEC3B;LTF
LJP006 HME1 24H-nintedanib-10	14/76	1.4372800303705247E-10	3.4097672120502733E-7	0	0	12.100132567388423	274.2264958785426	CA12;POSTN;SPARC;PLK1;TNC;GPX7;MMP9;COL3A1;LOX;DEPDC1;SERPINH1;TAGLN2;KIF20A;DLGAP5
LJP006 HME1 24H-MK-2206-10	14/84	5.786483160335255E-10	1.2202407100000312E-6	0	0	10.712876712328766	227.8663824451874	POSTN;PLK1;TNC;NCAPG;KIF23;HMMR;CDC20;COL3A1;PRDX4;MDK;DEPDC1;KIF20A;PITX1;DLGAP5
LJP006 HME1 24H-BI-2536-10	16/119	9.20449108981053E-10	1.7469203639351405E-6	0	0	8.352403113215116	173.7814305721834	POSTN;CSTA;SPARC;NNMT;ANXA1;IGFBP2;TNC;COL3A1;SRPX2;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;IGFBP7;KIF20A
LJP006 LNCAP 24H-palbociclib-10	19/180	1.6197611716134928E-9	2.7946770250956797E-6	0	0	6.379227053140097	129.12185264049273	CA12;NNMT;PCNA;IGFBP2;F2R;PLK1;NCAPG;KIF23;HMMR;TYMS;CDC20;KIF18A;WEE1;CDK2;DEPDC1;KIF20A;DLGAP5;TMEM45A;E2F8
LJP006 BT20 24H-palbociclib-3.33	18/163	2.1152417154713806E-9	3.345431043160944E-6	0	0	6.697258572929601	133.7716906599905	OSR2;PCNA;PLK1;TNC;NCAPG;KIF23;HMMR;EMP3;TYMS;CDC20;WEE1;CDK2;DEPDC1;KIF20A;PLP2;DLGAP5;APOBEC3B;E2F8
LJP006 LNCAP 24H-JW-7-24-1-1.11	13/78	2.3996148307997707E-9	3.50325306721145E-6	0	0	10.686338797814207	212.10199935439056	CA12;PLK1;NCAPG;LPL;KIF23;HMMR;TYMS;CDC20;DEPDC1;KIF20A;DLGAP5;TMEM45A;APOBEC3B
LJP006 BT20 24H-palbociclib-10	18/168	3.4448656161535728E-9	4.670007466355618E-6	0	0	6.472354570637119	126.12276675263824	SPARC;PCNA;PLK1;NCAPG;KIF23;HMMR;TYMS;MMP9;CDC20;KIF18A;CSRP2;CDK2;IGF2BP3;KIF20A;PLP2;DLGAP5;APOBEC3B;E2F8
LJP006 A375 24H-KIN001-043-10	19/190	4.017336399779711E-9	5.0830018354279425E-6	0	0	6.003086419753086	116.05554910903786	POSTN;SPARC;PCNA;F2R;PLK1;FN1;STON1;NCAPG;KIF23;HMMR;NID1;COL3A1;COL4A2;COL4A1;IGF2BP3;KIF20A;TGFBI;DLGAP5;E2F8
LJP006 MCF10A 24H-canertinib-3.33	19/193	5.214674534418318E-9	6.1855817492953285E-6	0	0	5.89867496807152	112.4982853141274	PCNA;PLK1;FN1;NCAPG;KIF23;HMMR;TYMS;MMP9;CDC20;COL4A2;PLAU;DEPDC1;SPP1;EIF4EBP1;KIF20A;VIM;DLGAP5;APOBEC3B;LTF
